# id;timestamp;commentText;codeText;commentWords;codeWords
HeartbeatManager -> void monitorTarget(ResourceID resourceID, HeartbeatTarget<O> heartbeatTarget)_;1482522861;Start monitoring a {@link HeartbeatTarget}. Heartbeat timeouts for this target are reported_to the {@link HeartbeatListener} associated with this heartbeat manager.__@param resourceID Resource ID identifying the heartbeat target_@param heartbeatTarget Interface to send heartbeat requests and responses to the heartbeat_target;void monitorTarget(ResourceID resourceID, HeartbeatTarget<O> heartbeatTarget)_;start,monitoring,a,link,heartbeat,target,heartbeat,timeouts,for,this,target,are,reported,to,the,link,heartbeat,listener,associated,with,this,heartbeat,manager,param,resource,id,resource,id,identifying,the,heartbeat,target,param,heartbeat,target,interface,to,send,heartbeat,requests,and,responses,to,the,heartbeat,target;void,monitor,target,resource,id,resource,id,heartbeat,target,o,heartbeat,target
HeartbeatManager -> void monitorTarget(ResourceID resourceID, HeartbeatTarget<O> heartbeatTarget)_;1489762322;Start monitoring a {@link HeartbeatTarget}. Heartbeat timeouts for this target are reported_to the {@link HeartbeatListener} associated with this heartbeat manager.__@param resourceID Resource ID identifying the heartbeat target_@param heartbeatTarget Interface to send heartbeat requests and responses to the heartbeat_target;void monitorTarget(ResourceID resourceID, HeartbeatTarget<O> heartbeatTarget)_;start,monitoring,a,link,heartbeat,target,heartbeat,timeouts,for,this,target,are,reported,to,the,link,heartbeat,listener,associated,with,this,heartbeat,manager,param,resource,id,resource,id,identifying,the,heartbeat,target,param,heartbeat,target,interface,to,send,heartbeat,requests,and,responses,to,the,heartbeat,target;void,monitor,target,resource,id,resource,id,heartbeat,target,o,heartbeat,target
HeartbeatManager -> void monitorTarget(ResourceID resourceID, HeartbeatTarget<O> heartbeatTarget)_;1499497171;Start monitoring a {@link HeartbeatTarget}. Heartbeat timeouts for this target are reported_to the {@link HeartbeatListener} associated with this heartbeat manager.__@param resourceID Resource ID identifying the heartbeat target_@param heartbeatTarget Interface to send heartbeat requests and responses to the heartbeat_target;void monitorTarget(ResourceID resourceID, HeartbeatTarget<O> heartbeatTarget)_;start,monitoring,a,link,heartbeat,target,heartbeat,timeouts,for,this,target,are,reported,to,the,link,heartbeat,listener,associated,with,this,heartbeat,manager,param,resource,id,resource,id,identifying,the,heartbeat,target,param,heartbeat,target,interface,to,send,heartbeat,requests,and,responses,to,the,heartbeat,target;void,monitor,target,resource,id,resource,id,heartbeat,target,o,heartbeat,target
HeartbeatManager -> void monitorTarget(ResourceID resourceID, HeartbeatTarget<O> heartbeatTarget)_;1508501697;Start monitoring a {@link HeartbeatTarget}. Heartbeat timeouts for this target are reported_to the {@link HeartbeatListener} associated with this heartbeat manager.__@param resourceID Resource ID identifying the heartbeat target_@param heartbeatTarget Interface to send heartbeat requests and responses to the heartbeat_target;void monitorTarget(ResourceID resourceID, HeartbeatTarget<O> heartbeatTarget)_;start,monitoring,a,link,heartbeat,target,heartbeat,timeouts,for,this,target,are,reported,to,the,link,heartbeat,listener,associated,with,this,heartbeat,manager,param,resource,id,resource,id,identifying,the,heartbeat,target,param,heartbeat,target,interface,to,send,heartbeat,requests,and,responses,to,the,heartbeat,target;void,monitor,target,resource,id,resource,id,heartbeat,target,o,heartbeat,target
HeartbeatManager -> void stop()_;1482522861;Stops the heartbeat manager.;void stop()_;stops,the,heartbeat,manager;void,stop
HeartbeatManager -> void stop()_;1489762322;Stops the heartbeat manager.;void stop()_;stops,the,heartbeat,manager;void,stop
HeartbeatManager -> void stop()_;1499497171;Stops the heartbeat manager.;void stop()_;stops,the,heartbeat,manager;void,stop
HeartbeatManager -> void stop()_;1508501697;Stops the heartbeat manager.;void stop()_;stops,the,heartbeat,manager;void,stop
HeartbeatManager -> void unmonitorTarget(ResourceID resourceID)_;1482522861;Stops monitoring the heartbeat target with the associated resource ID.__@param resourceID Resource ID of the heartbeat target which shall no longer be monitored;void unmonitorTarget(ResourceID resourceID)_;stops,monitoring,the,heartbeat,target,with,the,associated,resource,id,param,resource,id,resource,id,of,the,heartbeat,target,which,shall,no,longer,be,monitored;void,unmonitor,target,resource,id,resource,id
HeartbeatManager -> void unmonitorTarget(ResourceID resourceID)_;1489762322;Stops monitoring the heartbeat target with the associated resource ID.__@param resourceID Resource ID of the heartbeat target which shall no longer be monitored;void unmonitorTarget(ResourceID resourceID)_;stops,monitoring,the,heartbeat,target,with,the,associated,resource,id,param,resource,id,resource,id,of,the,heartbeat,target,which,shall,no,longer,be,monitored;void,unmonitor,target,resource,id,resource,id
HeartbeatManager -> void unmonitorTarget(ResourceID resourceID)_;1499497171;Stops monitoring the heartbeat target with the associated resource ID.__@param resourceID Resource ID of the heartbeat target which shall no longer be monitored;void unmonitorTarget(ResourceID resourceID)_;stops,monitoring,the,heartbeat,target,with,the,associated,resource,id,param,resource,id,resource,id,of,the,heartbeat,target,which,shall,no,longer,be,monitored;void,unmonitor,target,resource,id,resource,id
HeartbeatManager -> void unmonitorTarget(ResourceID resourceID)_;1508501697;Stops monitoring the heartbeat target with the associated resource ID.__@param resourceID Resource ID of the heartbeat target which shall no longer be monitored;void unmonitorTarget(ResourceID resourceID)_;stops,monitoring,the,heartbeat,target,with,the,associated,resource,id,param,resource,id,resource,id,of,the,heartbeat,target,which,shall,no,longer,be,monitored;void,unmonitor,target,resource,id,resource,id
