# id;timestamp;commentText;codeText;commentWords;codeWords
IOManager -> ReaderThread -> protected void shutdown();1404155775;Shuts the thread down. This operation does not wait for all pending requests to be served, halts the thread_immediately. All buffers of pending requests are handed back to their channel readers and an exception is_reported to them, declaring their request queue as closed.;protected void shutdown()_		{_			if (this.alive) {_				_				try {_					this.alive = false__					this.requestQueue.close()__					this.interrupt()__				}_				catch (Throwable t) {}_			}_			_			_			IOException ioex = new IOException("IO-Manager has been closed.")__			_			while (!this.requestQueue.isEmpty()) {_				ReadRequest request = this.requestQueue.poll()__				request.requestDone(ioex)__			}_		};shuts,the,thread,down,this,operation,does,not,wait,for,all,pending,requests,to,be,served,halts,the,thread,immediately,all,buffers,of,pending,requests,are,handed,back,to,their,channel,readers,and,an,exception,is,reported,to,them,declaring,their,request,queue,as,closed;protected,void,shutdown,if,this,alive,try,this,alive,false,this,request,queue,close,this,interrupt,catch,throwable,t,ioexception,ioex,new,ioexception,io,manager,has,been,closed,while,this,request,queue,is,empty,read,request,request,this,request,queue,poll,request,request,done,ioex
IOManager -> ReaderThread -> protected void shutdown();1404986750;Shuts the thread down. This operation does not wait for all pending requests to be served, halts the thread_immediately. All buffers of pending requests are handed back to their channel readers and an exception is_reported to them, declaring their request queue as closed.;protected void shutdown()_		{_			if (this.alive) {_				_				try {_					this.alive = false__					this.requestQueue.close()__					this.interrupt()__				}_				catch (Throwable t) {}_			}_			_			_			IOException ioex = new IOException("IO-Manager has been closed.")__			_			while (!this.requestQueue.isEmpty()) {_				ReadRequest request = this.requestQueue.poll()__				request.requestDone(ioex)__			}_		};shuts,the,thread,down,this,operation,does,not,wait,for,all,pending,requests,to,be,served,halts,the,thread,immediately,all,buffers,of,pending,requests,are,handed,back,to,their,channel,readers,and,an,exception,is,reported,to,them,declaring,their,request,queue,as,closed;protected,void,shutdown,if,this,alive,try,this,alive,false,this,request,queue,close,this,interrupt,catch,throwable,t,ioexception,ioex,new,ioexception,io,manager,has,been,closed,while,this,request,queue,is,empty,read,request,request,this,request,queue,poll,request,request,done,ioex
IOManager -> ReaderThread -> protected void shutdown();1405088715;Shuts the thread down. This operation does not wait for all pending requests to be served, halts the thread_immediately. All buffers of pending requests are handed back to their channel readers and an exception is_reported to them, declaring their request queue as closed.;protected void shutdown()_		{_			if (this.alive) {_				_				try {_					this.alive = false__					this.requestQueue.close()__					this.interrupt()__				}_				catch (Throwable t) {}_			}_			_			_			IOException ioex = new IOException("IO-Manager has been closed.")__			_			while (!this.requestQueue.isEmpty()) {_				ReadRequest request = this.requestQueue.poll()__				request.requestDone(ioex)__			}_		};shuts,the,thread,down,this,operation,does,not,wait,for,all,pending,requests,to,be,served,halts,the,thread,immediately,all,buffers,of,pending,requests,are,handed,back,to,their,channel,readers,and,an,exception,is,reported,to,them,declaring,their,request,queue,as,closed;protected,void,shutdown,if,this,alive,try,this,alive,false,this,request,queue,close,this,interrupt,catch,throwable,t,ioexception,ioex,new,ioexception,io,manager,has,been,closed,while,this,request,queue,is,empty,read,request,request,this,request,queue,poll,request,request,done,ioex
IOManager -> ReaderThread -> protected void shutdown();1409222213;Shuts the thread down. This operation does not wait for all pending requests to be served, halts the thread_immediately. All buffers of pending requests are handed back to their channel readers and an exception is_reported to them, declaring their request queue as closed.;protected void shutdown()_		{_			if (this.alive) {_				_				try {_					this.alive = false__					this.requestQueue.close()__					this.interrupt()__				}_				catch (Throwable t) {}_			}_			_			_			IOException ioex = new IOException("IO-Manager has been closed.")__			_			while (!this.requestQueue.isEmpty()) {_				ReadRequest request = this.requestQueue.poll()__				request.requestDone(ioex)__			}_		};shuts,the,thread,down,this,operation,does,not,wait,for,all,pending,requests,to,be,served,halts,the,thread,immediately,all,buffers,of,pending,requests,are,handed,back,to,their,channel,readers,and,an,exception,is,reported,to,them,declaring,their,request,queue,as,closed;protected,void,shutdown,if,this,alive,try,this,alive,false,this,request,queue,close,this,interrupt,catch,throwable,t,ioexception,ioex,new,ioexception,io,manager,has,been,closed,while,this,request,queue,is,empty,read,request,request,this,request,queue,poll,request,request,done,ioex
IOManager -> ReaderThread -> protected void shutdown();1410211782;Shuts the thread down. This operation does not wait for all pending requests to be served, halts the thread_immediately. All buffers of pending requests are handed back to their channel readers and an exception is_reported to them, declaring their request queue as closed.;protected void shutdown()_		{_			if (this.alive) {_				_				try {_					this.alive = false__					this.requestQueue.close()__					this.interrupt()__				}_				catch (Throwable t) {}_			}_			_			_			IOException ioex = new IOException("IO-Manager has been closed.")__			_			while (!this.requestQueue.isEmpty()) {_				ReadRequest request = this.requestQueue.poll()__				request.requestDone(ioex)__			}_		};shuts,the,thread,down,this,operation,does,not,wait,for,all,pending,requests,to,be,served,halts,the,thread,immediately,all,buffers,of,pending,requests,are,handed,back,to,their,channel,readers,and,an,exception,is,reported,to,them,declaring,their,request,queue,as,closed;protected,void,shutdown,if,this,alive,try,this,alive,false,this,request,queue,close,this,interrupt,catch,throwable,t,ioexception,ioex,new,ioexception,io,manager,has,been,closed,while,this,request,queue,is,empty,read,request,request,this,request,queue,poll,request,request,done,ioex
IOManager -> ReaderThread -> protected void shutdown();1411473561;Shuts the thread down. This operation does not wait for all pending requests to be served, halts the thread_immediately. All buffers of pending requests are handed back to their channel readers and an exception is_reported to them, declaring their request queue as closed.;protected void shutdown()_		{_			if (this.alive) {_				_				try {_					this.alive = false__					this.requestQueue.close()__					this.interrupt()__				}_				catch (Throwable t) {}_			}_			_			_			IOException ioex = new IOException("IO-Manager has been closed.")__			_			while (!this.requestQueue.isEmpty()) {_				ReadRequest request = this.requestQueue.poll()__				request.requestDone(ioex)__			}_		};shuts,the,thread,down,this,operation,does,not,wait,for,all,pending,requests,to,be,served,halts,the,thread,immediately,all,buffers,of,pending,requests,are,handed,back,to,their,channel,readers,and,an,exception,is,reported,to,them,declaring,their,request,queue,as,closed;protected,void,shutdown,if,this,alive,try,this,alive,false,this,request,queue,close,this,interrupt,catch,throwable,t,ioexception,ioex,new,ioexception,io,manager,has,been,closed,while,this,request,queue,is,empty,read,request,request,this,request,queue,poll,request,request,done,ioex
IOManager -> public abstract BlockChannelWriterWithCallback createBlockChannelWriter(FileIOChannel.ID channelID, RequestDoneCallback<MemorySegment> callback) throws IOException_;1412761231;Creates a block channel writer that writes to the given channel. The writer calls the given callback_after the I/O operation has been performed (successfully or unsuccessfully), to allow_for asynchronous implementations.__@param channelID The descriptor for the channel to write to._@param callback The callback to be called for_@return A block channel writer that writes to the given channel._@throws IOException Thrown, if the channel for the writer could not be opened.;public abstract BlockChannelWriterWithCallback createBlockChannelWriter(FileIOChannel.ID channelID, RequestDoneCallback<MemorySegment> callback) throws IOException_;creates,a,block,channel,writer,that,writes,to,the,given,channel,the,writer,calls,the,given,callback,after,the,i,o,operation,has,been,performed,successfully,or,unsuccessfully,to,allow,for,asynchronous,implementations,param,channel,id,the,descriptor,for,the,channel,to,write,to,param,callback,the,callback,to,be,called,for,return,a,block,channel,writer,that,writes,to,the,given,channel,throws,ioexception,thrown,if,the,channel,for,the,writer,could,not,be,opened;public,abstract,block,channel,writer,with,callback,create,block,channel,writer,file,iochannel,id,channel,id,request,done,callback,memory,segment,callback,throws,ioexception
IOManager -> public abstract BlockChannelWriterWithCallback createBlockChannelWriter(FileIOChannel.ID channelID, RequestDoneCallback<MemorySegment> callback) throws IOException_;1417555226;Creates a block channel writer that writes to the given channel. The writer calls the given callback_after the I/O operation has been performed (successfully or unsuccessfully), to allow_for asynchronous implementations.__@param channelID The descriptor for the channel to write to._@param callback The callback to be called for_@return A block channel writer that writes to the given channel._@throws IOException Thrown, if the channel for the writer could not be opened.;public abstract BlockChannelWriterWithCallback createBlockChannelWriter(FileIOChannel.ID channelID, RequestDoneCallback<MemorySegment> callback) throws IOException_;creates,a,block,channel,writer,that,writes,to,the,given,channel,the,writer,calls,the,given,callback,after,the,i,o,operation,has,been,performed,successfully,or,unsuccessfully,to,allow,for,asynchronous,implementations,param,channel,id,the,descriptor,for,the,channel,to,write,to,param,callback,the,callback,to,be,called,for,return,a,block,channel,writer,that,writes,to,the,given,channel,throws,ioexception,thrown,if,the,channel,for,the,writer,could,not,be,opened;public,abstract,block,channel,writer,with,callback,create,block,channel,writer,file,iochannel,id,channel,id,request,done,callback,memory,segment,callback,throws,ioexception
IOManager -> public abstract BlockChannelWriterWithCallback createBlockChannelWriter(FileIOChannel.ID channelID, RequestDoneCallback<MemorySegment> callback) throws IOException_;1421771162;Creates a block channel writer that writes to the given channel. The writer calls the given callback_after the I/O operation has been performed (successfully or unsuccessfully), to allow_for asynchronous implementations.__@param channelID The descriptor for the channel to write to._@param callback The callback to be called for_@return A block channel writer that writes to the given channel._@throws IOException Thrown, if the channel for the writer could not be opened.;public abstract BlockChannelWriterWithCallback createBlockChannelWriter(FileIOChannel.ID channelID, RequestDoneCallback<MemorySegment> callback) throws IOException_;creates,a,block,channel,writer,that,writes,to,the,given,channel,the,writer,calls,the,given,callback,after,the,i,o,operation,has,been,performed,successfully,or,unsuccessfully,to,allow,for,asynchronous,implementations,param,channel,id,the,descriptor,for,the,channel,to,write,to,param,callback,the,callback,to,be,called,for,return,a,block,channel,writer,that,writes,to,the,given,channel,throws,ioexception,thrown,if,the,channel,for,the,writer,could,not,be,opened;public,abstract,block,channel,writer,with,callback,create,block,channel,writer,file,iochannel,id,channel,id,request,done,callback,memory,segment,callback,throws,ioexception
IOManager -> public abstract BlockChannelWriterWithCallback createBlockChannelWriter(FileIOChannel.ID channelID, RequestDoneCallback<MemorySegment> callback) throws IOException_;1424268205;Creates a block channel writer that writes to the given channel. The writer calls the given callback_after the I/O operation has been performed (successfully or unsuccessfully), to allow_for asynchronous implementations.__@param channelID The descriptor for the channel to write to._@param callback The callback to be called for_@return A block channel writer that writes to the given channel._@throws IOException Thrown, if the channel for the writer could not be opened.;public abstract BlockChannelWriterWithCallback createBlockChannelWriter(FileIOChannel.ID channelID, RequestDoneCallback<MemorySegment> callback) throws IOException_;creates,a,block,channel,writer,that,writes,to,the,given,channel,the,writer,calls,the,given,callback,after,the,i,o,operation,has,been,performed,successfully,or,unsuccessfully,to,allow,for,asynchronous,implementations,param,channel,id,the,descriptor,for,the,channel,to,write,to,param,callback,the,callback,to,be,called,for,return,a,block,channel,writer,that,writes,to,the,given,channel,throws,ioexception,thrown,if,the,channel,for,the,writer,could,not,be,opened;public,abstract,block,channel,writer,with,callback,create,block,channel,writer,file,iochannel,id,channel,id,request,done,callback,memory,segment,callback,throws,ioexception
