# id;timestamp;commentText;codeText;commentWords;codeWords
SubmittedJobGraph -> public SubmittedJobGraph(JobGraph jobGraph, JobInfo jobInfo);1441121146;Creates a {@link SubmittedJobGraph}.__@param jobGraph The submitted {@link JobGraph}_@param jobInfo  The {@link JobInfo};public SubmittedJobGraph(JobGraph jobGraph, JobInfo jobInfo) {_		this.jobGraph = checkNotNull(jobGraph, "Job graph")__		this.jobInfo = checkNotNull(jobInfo, "Job info")__	};creates,a,link,submitted,job,graph,param,job,graph,the,submitted,link,job,graph,param,job,info,the,link,job,info;public,submitted,job,graph,job,graph,job,graph,job,info,job,info,this,job,graph,check,not,null,job,graph,job,graph,this,job,info,check,not,null,job,info,job,info
SubmittedJobGraph -> public SubmittedJobGraph(JobGraph jobGraph, JobInfo jobInfo);1465394479;Creates a {@link SubmittedJobGraph}.__@param jobGraph The submitted {@link JobGraph}_@param jobInfo  The {@link JobInfo};public SubmittedJobGraph(JobGraph jobGraph, JobInfo jobInfo) {_		this.jobGraph = checkNotNull(jobGraph, "Job graph")__		this.jobInfo = checkNotNull(jobInfo, "Job info")__	};creates,a,link,submitted,job,graph,param,job,graph,the,submitted,link,job,graph,param,job,info,the,link,job,info;public,submitted,job,graph,job,graph,job,graph,job,info,job,info,this,job,graph,check,not,null,job,graph,job,graph,this,job,info,check,not,null,job,info,job,info
SubmittedJobGraph -> public SubmittedJobGraph(JobGraph jobGraph, JobInfo jobInfo);1480433714;Creates a {@link SubmittedJobGraph}.__@param jobGraph The submitted {@link JobGraph}_@param jobInfo  The {@link JobInfo};public SubmittedJobGraph(JobGraph jobGraph, JobInfo jobInfo) {_		this.jobGraph = checkNotNull(jobGraph, "Job graph")__		this.jobInfo = checkNotNull(jobInfo, "Job info")__	};creates,a,link,submitted,job,graph,param,job,graph,the,submitted,link,job,graph,param,job,info,the,link,job,info;public,submitted,job,graph,job,graph,job,graph,job,info,job,info,this,job,graph,check,not,null,job,graph,job,graph,this,job,info,check,not,null,job,info,job,info
SubmittedJobGraph -> public JobGraph getJobGraph();1441121146;Returns the submitted {@link JobGraph}.;public JobGraph getJobGraph() {_		return jobGraph__	};returns,the,submitted,link,job,graph;public,job,graph,get,job,graph,return,job,graph
SubmittedJobGraph -> public JobGraph getJobGraph();1465394479;Returns the submitted {@link JobGraph}.;public JobGraph getJobGraph() {_		return jobGraph__	};returns,the,submitted,link,job,graph;public,job,graph,get,job,graph,return,job,graph
SubmittedJobGraph -> public JobGraph getJobGraph();1480433714;Returns the submitted {@link JobGraph}.;public JobGraph getJobGraph() {_		return jobGraph__	};returns,the,submitted,link,job,graph;public,job,graph,get,job,graph,return,job,graph
SubmittedJobGraph -> public JobGraph getJobGraph();1499202952;Returns the submitted {@link JobGraph}.;public JobGraph getJobGraph() {_		return jobGraph__	};returns,the,submitted,link,job,graph;public,job,graph,get,job,graph,return,job,graph
SubmittedJobGraph -> public JobGraph getJobGraph();1547642070;Returns the submitted {@link JobGraph}.;public JobGraph getJobGraph() {_		return jobGraph__	};returns,the,submitted,link,job,graph;public,job,graph,get,job,graph,return,job,graph
SubmittedJobGraph -> public JobGraph getJobGraph();1547642382;Returns the submitted {@link JobGraph}.;public JobGraph getJobGraph() {_		return jobGraph__	};returns,the,submitted,link,job,graph;public,job,graph,get,job,graph,return,job,graph
SubmittedJobGraph -> public JobGraph getJobGraph();1550485513;Returns the submitted {@link JobGraph}.;public JobGraph getJobGraph() {_		return jobGraph__	};returns,the,submitted,link,job,graph;public,job,graph,get,job,graph,return,job,graph
