# id;timestamp;commentText;codeText;commentWords;codeWords
SlotSharingManager -> @Nullable 	MultiTaskSlotLocality getResolvedRootSlot(AbstractID groupId, Collection<TaskManagerLocation> locationPreferences);1513261475;Gets a resolved root slot which does not yet contain the given groupId. First the given set of_preferred locations is checked.__@param groupId which the returned slot must not contain_@param locationPreferences specifying which locations are preferred_@return the resolved root slot and its locality wrt to the specified location preferences_or null if there was no root slot which did not contain the given groupId;@Nullable_	MultiTaskSlotLocality getResolvedRootSlot(AbstractID groupId, Collection<TaskManagerLocation> locationPreferences) {_		Preconditions.checkNotNull(locationPreferences)___		final MultiTaskSlotLocality multiTaskSlotLocality___		if (locationPreferences.isEmpty()) {_			multiTaskSlotLocality = getResolvedRootSlotWithoutLocationPreferences(groupId)__		} else {_			multiTaskSlotLocality = getResolvedRootSlotWithLocationPreferences(groupId, locationPreferences)__		}__		return multiTaskSlotLocality__	};gets,a,resolved,root,slot,which,does,not,yet,contain,the,given,group,id,first,the,given,set,of,preferred,locations,is,checked,param,group,id,which,the,returned,slot,must,not,contain,param,location,preferences,specifying,which,locations,are,preferred,return,the,resolved,root,slot,and,its,locality,wrt,to,the,specified,location,preferences,or,null,if,there,was,no,root,slot,which,did,not,contain,the,given,group,id;nullable,multi,task,slot,locality,get,resolved,root,slot,abstract,id,group,id,collection,task,manager,location,location,preferences,preconditions,check,not,null,location,preferences,final,multi,task,slot,locality,multi,task,slot,locality,if,location,preferences,is,empty,multi,task,slot,locality,get,resolved,root,slot,without,location,preferences,group,id,else,multi,task,slot,locality,get,resolved,root,slot,with,location,preferences,group,id,location,preferences,return,multi,task,slot,locality
SlotSharingManager -> @Nullable 	MultiTaskSlotLocality getResolvedRootSlot(AbstractID groupId, Collection<TaskManagerLocation> locationPreferences);1519305029;Gets a resolved root slot which does not yet contain the given groupId. First the given set of_preferred locations is checked.__@param groupId which the returned slot must not contain_@param locationPreferences specifying which locations are preferred_@return the resolved root slot and its locality wrt to the specified location preferences_or null if there was no root slot which did not contain the given groupId;@Nullable_	MultiTaskSlotLocality getResolvedRootSlot(AbstractID groupId, Collection<TaskManagerLocation> locationPreferences) {_		Preconditions.checkNotNull(locationPreferences)___		final MultiTaskSlotLocality multiTaskSlotLocality___		if (locationPreferences.isEmpty()) {_			multiTaskSlotLocality = getResolvedRootSlotWithoutLocationPreferences(groupId)__		} else {_			multiTaskSlotLocality = getResolvedRootSlotWithLocationPreferences(groupId, locationPreferences)__		}__		return multiTaskSlotLocality__	};gets,a,resolved,root,slot,which,does,not,yet,contain,the,given,group,id,first,the,given,set,of,preferred,locations,is,checked,param,group,id,which,the,returned,slot,must,not,contain,param,location,preferences,specifying,which,locations,are,preferred,return,the,resolved,root,slot,and,its,locality,wrt,to,the,specified,location,preferences,or,null,if,there,was,no,root,slot,which,did,not,contain,the,given,group,id;nullable,multi,task,slot,locality,get,resolved,root,slot,abstract,id,group,id,collection,task,manager,location,location,preferences,preconditions,check,not,null,location,preferences,final,multi,task,slot,locality,multi,task,slot,locality,if,location,preferences,is,empty,multi,task,slot,locality,get,resolved,root,slot,without,location,preferences,group,id,else,multi,task,slot,locality,get,resolved,root,slot,with,location,preferences,group,id,location,preferences,return,multi,task,slot,locality
SlotSharingManager -> @Nullable 	MultiTaskSlotLocality getResolvedRootSlot(AbstractID groupId, Collection<TaskManagerLocation> locationPreferences);1519310248;Gets a resolved root slot which does not yet contain the given groupId. First the given set of_preferred locations is checked.__@param groupId which the returned slot must not contain_@param locationPreferences specifying which locations are preferred_@return the resolved root slot and its locality wrt to the specified location preferences_or null if there was no root slot which did not contain the given groupId;@Nullable_	MultiTaskSlotLocality getResolvedRootSlot(AbstractID groupId, Collection<TaskManagerLocation> locationPreferences) {_		Preconditions.checkNotNull(locationPreferences)___		final MultiTaskSlotLocality multiTaskSlotLocality___		if (locationPreferences.isEmpty()) {_			multiTaskSlotLocality = getResolvedRootSlotWithoutLocationPreferences(groupId)__		} else {_			multiTaskSlotLocality = getResolvedRootSlotWithLocationPreferences(groupId, locationPreferences)__		}__		return multiTaskSlotLocality__	};gets,a,resolved,root,slot,which,does,not,yet,contain,the,given,group,id,first,the,given,set,of,preferred,locations,is,checked,param,group,id,which,the,returned,slot,must,not,contain,param,location,preferences,specifying,which,locations,are,preferred,return,the,resolved,root,slot,and,its,locality,wrt,to,the,specified,location,preferences,or,null,if,there,was,no,root,slot,which,did,not,contain,the,given,group,id;nullable,multi,task,slot,locality,get,resolved,root,slot,abstract,id,group,id,collection,task,manager,location,location,preferences,preconditions,check,not,null,location,preferences,final,multi,task,slot,locality,multi,task,slot,locality,if,location,preferences,is,empty,multi,task,slot,locality,get,resolved,root,slot,without,location,preferences,group,id,else,multi,task,slot,locality,get,resolved,root,slot,with,location,preferences,group,id,location,preferences,return,multi,task,slot,locality
SlotSharingManager -> TaskSlot -> public abstract boolean release(Throwable cause)_;1513261475;Release the task slot.__@param cause for the release_@return true if the slot could be released, otherwise false;public abstract boolean release(Throwable cause)_;release,the,task,slot,param,cause,for,the,release,return,true,if,the,slot,could,be,released,otherwise,false;public,abstract,boolean,release,throwable,cause
SlotSharingManager -> TaskSlot -> public abstract boolean release(Throwable cause)_;1517497348;Release the task slot.__@param cause for the release_@return true if the slot could be released, otherwise false;public abstract boolean release(Throwable cause)_;release,the,task,slot,param,cause,for,the,release,return,true,if,the,slot,could,be,released,otherwise,false;public,abstract,boolean,release,throwable,cause
SlotSharingManager -> TaskSlot -> public abstract boolean release(Throwable cause)_;1519305029;Release the task slot.__@param cause for the release_@return true if the slot could be released, otherwise false;public abstract boolean release(Throwable cause)_;release,the,task,slot,param,cause,for,the,release,return,true,if,the,slot,could,be,released,otherwise,false;public,abstract,boolean,release,throwable,cause
SlotSharingManager -> TaskSlot -> public abstract boolean release(Throwable cause)_;1519310248;Release the task slot.__@param cause for the release_@return true if the slot could be released, otherwise false;public abstract boolean release(Throwable cause)_;release,the,task,slot,param,cause,for,the,release,return,true,if,the,slot,could,be,released,otherwise,false;public,abstract,boolean,release,throwable,cause
SlotSharingManager -> MultiTaskSlot createRootSlot( 			SlotRequestId slotRequestId, 			CompletableFuture<? extends SlotContext> slotContextFuture, 			SlotRequestId allocatedSlotRequestId);1513261475;Creates a new root slot with the given {@link SlotRequestId}, {@link SlotContext} future and_the {@link SlotRequestId} of the allocated slot.__@param slotRequestId of the root slot_@param slotContextFuture with which we create the root slot_@param allocatedSlotRequestId slot request id of the underlying allocated slot which can be used_to cancel the pending slot request or release the allocated slot_@return New root slot;MultiTaskSlot createRootSlot(_			SlotRequestId slotRequestId,_			CompletableFuture<? extends SlotContext> slotContextFuture,_			SlotRequestId allocatedSlotRequestId) {_		final MultiTaskSlot rootMultiTaskSlot = new MultiTaskSlot(_			slotRequestId,_			slotContextFuture,_			allocatedSlotRequestId)___		allTaskSlots.put(slotRequestId, rootMultiTaskSlot)___		synchronized (lock) {_			unresolvedRootSlots.put(slotRequestId, rootMultiTaskSlot)__		}__		_		_		slotContextFuture.whenComplete(_			(SlotContext slotContext, Throwable throwable) -> {_				if (slotContext != null) {_					synchronized (lock) {_						final MultiTaskSlot resolvedRootNode = unresolvedRootSlots.remove(slotRequestId)___						if (resolvedRootNode != null) {_							final Set<MultiTaskSlot> innerCollection = resolvedRootSlots.computeIfAbsent(_								slotContext.getTaskManagerLocation(),_								taskManagerLocation -> new HashSet<>(4))___							innerCollection.add(resolvedRootNode)__						}_					}_				} else {_					rootMultiTaskSlot.release(throwable)__				}_			})___		return rootMultiTaskSlot__	};creates,a,new,root,slot,with,the,given,link,slot,request,id,link,slot,context,future,and,the,link,slot,request,id,of,the,allocated,slot,param,slot,request,id,of,the,root,slot,param,slot,context,future,with,which,we,create,the,root,slot,param,allocated,slot,request,id,slot,request,id,of,the,underlying,allocated,slot,which,can,be,used,to,cancel,the,pending,slot,request,or,release,the,allocated,slot,return,new,root,slot;multi,task,slot,create,root,slot,slot,request,id,slot,request,id,completable,future,extends,slot,context,slot,context,future,slot,request,id,allocated,slot,request,id,final,multi,task,slot,root,multi,task,slot,new,multi,task,slot,slot,request,id,slot,context,future,allocated,slot,request,id,all,task,slots,put,slot,request,id,root,multi,task,slot,synchronized,lock,unresolved,root,slots,put,slot,request,id,root,multi,task,slot,slot,context,future,when,complete,slot,context,slot,context,throwable,throwable,if,slot,context,null,synchronized,lock,final,multi,task,slot,resolved,root,node,unresolved,root,slots,remove,slot,request,id,if,resolved,root,node,null,final,set,multi,task,slot,inner,collection,resolved,root,slots,compute,if,absent,slot,context,get,task,manager,location,task,manager,location,new,hash,set,4,inner,collection,add,resolved,root,node,else,root,multi,task,slot,release,throwable,return,root,multi,task,slot
SlotSharingManager -> MultiTaskSlot createRootSlot( 			SlotRequestId slotRequestId, 			CompletableFuture<? extends SlotContext> slotContextFuture, 			SlotRequestId allocatedSlotRequestId);1517497348;Creates a new root slot with the given {@link SlotRequestId}, {@link SlotContext} future and_the {@link SlotRequestId} of the allocated slot.__@param slotRequestId of the root slot_@param slotContextFuture with which we create the root slot_@param allocatedSlotRequestId slot request id of the underlying allocated slot which can be used_to cancel the pending slot request or release the allocated slot_@return New root slot;MultiTaskSlot createRootSlot(_			SlotRequestId slotRequestId,_			CompletableFuture<? extends SlotContext> slotContextFuture,_			SlotRequestId allocatedSlotRequestId) {_		final MultiTaskSlot rootMultiTaskSlot = new MultiTaskSlot(_			slotRequestId,_			slotContextFuture,_			allocatedSlotRequestId)___		allTaskSlots.put(slotRequestId, rootMultiTaskSlot)___		synchronized (lock) {_			unresolvedRootSlots.put(slotRequestId, rootMultiTaskSlot)__		}__		_		_		slotContextFuture.whenComplete(_			(SlotContext slotContext, Throwable throwable) -> {_				if (slotContext != null) {_					synchronized (lock) {_						final MultiTaskSlot resolvedRootNode = unresolvedRootSlots.remove(slotRequestId)___						if (resolvedRootNode != null) {_							final Set<MultiTaskSlot> innerCollection = resolvedRootSlots.computeIfAbsent(_								slotContext.getTaskManagerLocation(),_								taskManagerLocation -> new HashSet<>(4))___							innerCollection.add(resolvedRootNode)__						}_					}_				} else {_					rootMultiTaskSlot.release(throwable)__				}_			})___		return rootMultiTaskSlot__	};creates,a,new,root,slot,with,the,given,link,slot,request,id,link,slot,context,future,and,the,link,slot,request,id,of,the,allocated,slot,param,slot,request,id,of,the,root,slot,param,slot,context,future,with,which,we,create,the,root,slot,param,allocated,slot,request,id,slot,request,id,of,the,underlying,allocated,slot,which,can,be,used,to,cancel,the,pending,slot,request,or,release,the,allocated,slot,return,new,root,slot;multi,task,slot,create,root,slot,slot,request,id,slot,request,id,completable,future,extends,slot,context,slot,context,future,slot,request,id,allocated,slot,request,id,final,multi,task,slot,root,multi,task,slot,new,multi,task,slot,slot,request,id,slot,context,future,allocated,slot,request,id,all,task,slots,put,slot,request,id,root,multi,task,slot,synchronized,lock,unresolved,root,slots,put,slot,request,id,root,multi,task,slot,slot,context,future,when,complete,slot,context,slot,context,throwable,throwable,if,slot,context,null,synchronized,lock,final,multi,task,slot,resolved,root,node,unresolved,root,slots,remove,slot,request,id,if,resolved,root,node,null,final,set,multi,task,slot,inner,collection,resolved,root,slots,compute,if,absent,slot,context,get,task,manager,location,task,manager,location,new,hash,set,4,inner,collection,add,resolved,root,node,else,root,multi,task,slot,release,throwable,return,root,multi,task,slot
SlotSharingManager -> MultiTaskSlot createRootSlot( 			SlotRequestId slotRequestId, 			CompletableFuture<? extends SlotContext> slotContextFuture, 			SlotRequestId allocatedSlotRequestId);1519305029;Creates a new root slot with the given {@link SlotRequestId}, {@link SlotContext} future and_the {@link SlotRequestId} of the allocated slot.__@param slotRequestId of the root slot_@param slotContextFuture with which we create the root slot_@param allocatedSlotRequestId slot request id of the underlying allocated slot which can be used_to cancel the pending slot request or release the allocated slot_@return New root slot;MultiTaskSlot createRootSlot(_			SlotRequestId slotRequestId,_			CompletableFuture<? extends SlotContext> slotContextFuture,_			SlotRequestId allocatedSlotRequestId) {_		final MultiTaskSlot rootMultiTaskSlot = new MultiTaskSlot(_			slotRequestId,_			slotContextFuture,_			allocatedSlotRequestId)___		allTaskSlots.put(slotRequestId, rootMultiTaskSlot)___		synchronized (lock) {_			unresolvedRootSlots.put(slotRequestId, rootMultiTaskSlot)__		}__		_		_		slotContextFuture.whenComplete(_			(SlotContext slotContext, Throwable throwable) -> {_				if (slotContext != null) {_					synchronized (lock) {_						final MultiTaskSlot resolvedRootNode = unresolvedRootSlots.remove(slotRequestId)___						if (resolvedRootNode != null) {_							final Set<MultiTaskSlot> innerCollection = resolvedRootSlots.computeIfAbsent(_								slotContext.getTaskManagerLocation(),_								taskManagerLocation -> new HashSet<>(4))___							innerCollection.add(resolvedRootNode)__						}_					}_				} else {_					rootMultiTaskSlot.release(throwable)__				}_			})___		return rootMultiTaskSlot__	};creates,a,new,root,slot,with,the,given,link,slot,request,id,link,slot,context,future,and,the,link,slot,request,id,of,the,allocated,slot,param,slot,request,id,of,the,root,slot,param,slot,context,future,with,which,we,create,the,root,slot,param,allocated,slot,request,id,slot,request,id,of,the,underlying,allocated,slot,which,can,be,used,to,cancel,the,pending,slot,request,or,release,the,allocated,slot,return,new,root,slot;multi,task,slot,create,root,slot,slot,request,id,slot,request,id,completable,future,extends,slot,context,slot,context,future,slot,request,id,allocated,slot,request,id,final,multi,task,slot,root,multi,task,slot,new,multi,task,slot,slot,request,id,slot,context,future,allocated,slot,request,id,all,task,slots,put,slot,request,id,root,multi,task,slot,synchronized,lock,unresolved,root,slots,put,slot,request,id,root,multi,task,slot,slot,context,future,when,complete,slot,context,slot,context,throwable,throwable,if,slot,context,null,synchronized,lock,final,multi,task,slot,resolved,root,node,unresolved,root,slots,remove,slot,request,id,if,resolved,root,node,null,final,set,multi,task,slot,inner,collection,resolved,root,slots,compute,if,absent,slot,context,get,task,manager,location,task,manager,location,new,hash,set,4,inner,collection,add,resolved,root,node,else,root,multi,task,slot,release,throwable,return,root,multi,task,slot
