# id;timestamp;commentText;codeText;commentWords;codeWords
StandaloneLeaderRetrievalService -> @Deprecated 	public StandaloneLeaderRetrievalService(String leaderAddress);1480898072;Creates a StandaloneLeaderRetrievalService with the given leader address._The leaderId will be null.__@param leaderAddress The leader's pre-configured address;@Deprecated_	public StandaloneLeaderRetrievalService(String leaderAddress) {_		this.leaderAddress = checkNotNull(leaderAddress)__		this.leaderId = null__	};creates,a,standalone,leader,retrieval,service,with,the,given,leader,address,the,leader,id,will,be,null,param,leader,address,the,leader,s,pre,configured,address;deprecated,public,standalone,leader,retrieval,service,string,leader,address,this,leader,address,check,not,null,leader,address,this,leader,id,null
StandaloneLeaderRetrievalService -> @Deprecated 	public StandaloneLeaderRetrievalService(String leaderAddress);1490006752;Creates a StandaloneLeaderRetrievalService with the given leader address._The leaderId will be null.__@param leaderAddress The leader's pre-configured address_@deprecated Use {@link #StandaloneLeaderRetrievalService(String, UUID)} instead;@Deprecated_	public StandaloneLeaderRetrievalService(String leaderAddress) {_		this.leaderAddress = checkNotNull(leaderAddress)__		this.leaderId = HighAvailabilityServices.DEFAULT_LEADER_ID__	};creates,a,standalone,leader,retrieval,service,with,the,given,leader,address,the,leader,id,will,be,null,param,leader,address,the,leader,s,pre,configured,address,deprecated,use,link,standalone,leader,retrieval,service,string,uuid,instead;deprecated,public,standalone,leader,retrieval,service,string,leader,address,this,leader,address,check,not,null,leader,address,this,leader,id,high,availability,services
StandaloneLeaderRetrievalService -> @Deprecated 	public StandaloneLeaderRetrievalService(String leaderAddress);1490030157;Creates a StandaloneLeaderRetrievalService with the given leader address._The leaderId will be null.__@param leaderAddress The leader's pre-configured address;@Deprecated_	public StandaloneLeaderRetrievalService(String leaderAddress) {_		this.leaderAddress = checkNotNull(leaderAddress)__		this.leaderId = HighAvailabilityServices.DEFAULT_LEADER_ID__	};creates,a,standalone,leader,retrieval,service,with,the,given,leader,address,the,leader,id,will,be,null,param,leader,address,the,leader,s,pre,configured,address;deprecated,public,standalone,leader,retrieval,service,string,leader,address,this,leader,address,check,not,null,leader,address,this,leader,id,high,availability,services
StandaloneLeaderRetrievalService -> @Deprecated 	public StandaloneLeaderRetrievalService(String leaderAddress);1496312848;Creates a StandaloneLeaderRetrievalService with the given leader address._The leaderId will be null.__@param leaderAddress The leader's pre-configured address_@deprecated Use {@link #StandaloneLeaderRetrievalService(String, UUID)} instead;@Deprecated_	public StandaloneLeaderRetrievalService(String leaderAddress) {_		this.leaderAddress = checkNotNull(leaderAddress)__		this.leaderId = HighAvailabilityServices.DEFAULT_LEADER_ID__	};creates,a,standalone,leader,retrieval,service,with,the,given,leader,address,the,leader,id,will,be,null,param,leader,address,the,leader,s,pre,configured,address,deprecated,use,link,standalone,leader,retrieval,service,string,uuid,instead;deprecated,public,standalone,leader,retrieval,service,string,leader,address,this,leader,address,check,not,null,leader,address,this,leader,id,high,availability,services
StandaloneLeaderRetrievalService -> public StandaloneLeaderRetrievalService(String leaderAddress, UUID leaderId);1470854565;Creates a StandaloneLeaderRetrievalService with the given leader address.__@param leaderAddress The leader's pre-configured address_@param leaderId      The constant leaderId.;public StandaloneLeaderRetrievalService(String leaderAddress, UUID leaderId) {_		this.leaderAddress = checkNotNull(leaderAddress)__		this.leaderId = checkNotNull(leaderId)__	};creates,a,standalone,leader,retrieval,service,with,the,given,leader,address,param,leader,address,the,leader,s,pre,configured,address,param,leader,id,the,constant,leader,id;public,standalone,leader,retrieval,service,string,leader,address,uuid,leader,id,this,leader,address,check,not,null,leader,address,this,leader,id,check,not,null,leader,id
StandaloneLeaderRetrievalService -> public StandaloneLeaderRetrievalService(String leaderAddress, UUID leaderId);1480898072;Creates a StandaloneLeaderRetrievalService with the given leader address.__@param leaderAddress The leader's pre-configured address_@param leaderId      The constant leaderId.;public StandaloneLeaderRetrievalService(String leaderAddress, UUID leaderId) {_		this.leaderAddress = checkNotNull(leaderAddress)__		this.leaderId = checkNotNull(leaderId)__	};creates,a,standalone,leader,retrieval,service,with,the,given,leader,address,param,leader,address,the,leader,s,pre,configured,address,param,leader,id,the,constant,leader,id;public,standalone,leader,retrieval,service,string,leader,address,uuid,leader,id,this,leader,address,check,not,null,leader,address,this,leader,id,check,not,null,leader,id
StandaloneLeaderRetrievalService -> public StandaloneLeaderRetrievalService(String leaderAddress, UUID leaderId);1490006752;Creates a StandaloneLeaderRetrievalService with the given leader address.__@param leaderAddress The leader's pre-configured address_@param leaderId      The constant leaderId.;public StandaloneLeaderRetrievalService(String leaderAddress, UUID leaderId) {_		this.leaderAddress = checkNotNull(leaderAddress)__		this.leaderId = checkNotNull(leaderId)__	};creates,a,standalone,leader,retrieval,service,with,the,given,leader,address,param,leader,address,the,leader,s,pre,configured,address,param,leader,id,the,constant,leader,id;public,standalone,leader,retrieval,service,string,leader,address,uuid,leader,id,this,leader,address,check,not,null,leader,address,this,leader,id,check,not,null,leader,id
StandaloneLeaderRetrievalService -> public StandaloneLeaderRetrievalService(String leaderAddress, UUID leaderId);1490030157;Creates a StandaloneLeaderRetrievalService with the given leader address.__@param leaderAddress The leader's pre-configured address_@param leaderId      The constant leaderId.;public StandaloneLeaderRetrievalService(String leaderAddress, UUID leaderId) {_		this.leaderAddress = checkNotNull(leaderAddress)__		this.leaderId = checkNotNull(leaderId)__	};creates,a,standalone,leader,retrieval,service,with,the,given,leader,address,param,leader,address,the,leader,s,pre,configured,address,param,leader,id,the,constant,leader,id;public,standalone,leader,retrieval,service,string,leader,address,uuid,leader,id,this,leader,address,check,not,null,leader,address,this,leader,id,check,not,null,leader,id
StandaloneLeaderRetrievalService -> public StandaloneLeaderRetrievalService(String leaderAddress, UUID leaderId);1496312848;Creates a StandaloneLeaderRetrievalService with the given leader address.__@param leaderAddress The leader's pre-configured address_@param leaderId      The constant leaderId.;public StandaloneLeaderRetrievalService(String leaderAddress, UUID leaderId) {_		this.leaderAddress = checkNotNull(leaderAddress)__		this.leaderId = checkNotNull(leaderId)__	};creates,a,standalone,leader,retrieval,service,with,the,given,leader,address,param,leader,address,the,leader,s,pre,configured,address,param,leader,id,the,constant,leader,id;public,standalone,leader,retrieval,service,string,leader,address,uuid,leader,id,this,leader,address,check,not,null,leader,address,this,leader,id,check,not,null,leader,id
StandaloneLeaderRetrievalService -> public StandaloneLeaderRetrievalService(String jobManagerAddress);1435313259;Creates a StandaloneLeaderRetrievalService with the given JobManager address.__@param jobManagerAddress The JobManager's address which is returned to the_{@link LeaderRetrievalListener};public StandaloneLeaderRetrievalService(String jobManagerAddress) {_		this.jobManagerAddress = jobManagerAddress__	};creates,a,standalone,leader,retrieval,service,with,the,given,job,manager,address,param,job,manager,address,the,job,manager,s,address,which,is,returned,to,the,link,leader,retrieval,listener;public,standalone,leader,retrieval,service,string,job,manager,address,this,job,manager,address,job,manager,address
