# id;timestamp;commentText;codeText;commentWords;codeWords
KvStateLocation -> void registerKvState(KeyGroupRange keyGroupRange, KvStateID kvStateId, KvStateServerAddress kvStateAddress);1474626282;Registers a KvState instance for the given key group index.__@param keyGroupRange  Key group range to register_@param kvStateId      ID of the KvState instance at the key group index._@param kvStateAddress Server address of the KvState instance at the key group index._@throws IndexOutOfBoundsException If key group range start < 0 or key group range end >= Number of key groups;void registerKvState(KeyGroupRange keyGroupRange, KvStateID kvStateId, KvStateServerAddress kvStateAddress) {__		if (keyGroupRange.getStartKeyGroup() < 0 || keyGroupRange.getEndKeyGroup() >= numKeyGroups) {_			throw new IndexOutOfBoundsException("Key group index")__		}__		for (int kgIdx = keyGroupRange.getStartKeyGroup()_ kgIdx <= keyGroupRange.getEndKeyGroup()_ ++kgIdx) {__			if (kvStateIds[kgIdx] == null && kvStateAddresses[kgIdx] == null) {_				numRegisteredKeyGroups++__			}__			kvStateIds[kgIdx] = kvStateId__			kvStateAddresses[kgIdx] = kvStateAddress__		}_	};registers,a,kv,state,instance,for,the,given,key,group,index,param,key,group,range,key,group,range,to,register,param,kv,state,id,id,of,the,kv,state,instance,at,the,key,group,index,param,kv,state,address,server,address,of,the,kv,state,instance,at,the,key,group,index,throws,index,out,of,bounds,exception,if,key,group,range,start,0,or,key,group,range,end,number,of,key,groups;void,register,kv,state,key,group,range,key,group,range,kv,state,id,kv,state,id,kv,state,server,address,kv,state,address,if,key,group,range,get,start,key,group,0,key,group,range,get,end,key,group,num,key,groups,throw,new,index,out,of,bounds,exception,key,group,index,for,int,kg,idx,key,group,range,get,start,key,group,kg,idx,key,group,range,get,end,key,group,kg,idx,if,kv,state,ids,kg,idx,null,kv,state,addresses,kg,idx,null,num,registered,key,groups,kv,state,ids,kg,idx,kv,state,id,kv,state,addresses,kg,idx,kv,state,address
KvStateLocation -> void registerKvState(KeyGroupRange keyGroupRange, KvStateID kvStateId, KvStateServerAddress kvStateAddress);1485118419;Registers a KvState instance for the given key group index.__@param keyGroupRange  Key group range to register_@param kvStateId      ID of the KvState instance at the key group index._@param kvStateAddress Server address of the KvState instance at the key group index._@throws IndexOutOfBoundsException If key group range start < 0 or key group range end >= Number of key groups;void registerKvState(KeyGroupRange keyGroupRange, KvStateID kvStateId, KvStateServerAddress kvStateAddress) {__		if (keyGroupRange.getStartKeyGroup() < 0 || keyGroupRange.getEndKeyGroup() >= numKeyGroups) {_			throw new IndexOutOfBoundsException("Key group index")__		}__		for (int kgIdx = keyGroupRange.getStartKeyGroup()_ kgIdx <= keyGroupRange.getEndKeyGroup()_ ++kgIdx) {__			if (kvStateIds[kgIdx] == null && kvStateAddresses[kgIdx] == null) {_				numRegisteredKeyGroups++__			}__			kvStateIds[kgIdx] = kvStateId__			kvStateAddresses[kgIdx] = kvStateAddress__		}_	};registers,a,kv,state,instance,for,the,given,key,group,index,param,key,group,range,key,group,range,to,register,param,kv,state,id,id,of,the,kv,state,instance,at,the,key,group,index,param,kv,state,address,server,address,of,the,kv,state,instance,at,the,key,group,index,throws,index,out,of,bounds,exception,if,key,group,range,start,0,or,key,group,range,end,number,of,key,groups;void,register,kv,state,key,group,range,key,group,range,kv,state,id,kv,state,id,kv,state,server,address,kv,state,address,if,key,group,range,get,start,key,group,0,key,group,range,get,end,key,group,num,key,groups,throw,new,index,out,of,bounds,exception,key,group,index,for,int,kg,idx,key,group,range,get,start,key,group,kg,idx,key,group,range,get,end,key,group,kg,idx,if,kv,state,ids,kg,idx,null,kv,state,addresses,kg,idx,null,num,registered,key,groups,kv,state,ids,kg,idx,kv,state,id,kv,state,addresses,kg,idx,kv,state,address
KvStateLocation -> void registerKvState(KeyGroupRange keyGroupRange, KvStateID kvStateId, KvStateServerAddress kvStateAddress);1499682192;Registers a KvState instance for the given key group index.__@param keyGroupRange  Key group range to register_@param kvStateId      ID of the KvState instance at the key group index._@param kvStateAddress Server address of the KvState instance at the key group index._@throws IndexOutOfBoundsException If key group range start < 0 or key group range end >= Number of key groups;void registerKvState(KeyGroupRange keyGroupRange, KvStateID kvStateId, KvStateServerAddress kvStateAddress) {__		if (keyGroupRange.getStartKeyGroup() < 0 || keyGroupRange.getEndKeyGroup() >= numKeyGroups) {_			throw new IndexOutOfBoundsException("Key group index")__		}__		for (int kgIdx = keyGroupRange.getStartKeyGroup()_ kgIdx <= keyGroupRange.getEndKeyGroup()_ ++kgIdx) {__			if (kvStateIds[kgIdx] == null && kvStateAddresses[kgIdx] == null) {_				numRegisteredKeyGroups++__			}__			kvStateIds[kgIdx] = kvStateId__			kvStateAddresses[kgIdx] = kvStateAddress__		}_	};registers,a,kv,state,instance,for,the,given,key,group,index,param,key,group,range,key,group,range,to,register,param,kv,state,id,id,of,the,kv,state,instance,at,the,key,group,index,param,kv,state,address,server,address,of,the,kv,state,instance,at,the,key,group,index,throws,index,out,of,bounds,exception,if,key,group,range,start,0,or,key,group,range,end,number,of,key,groups;void,register,kv,state,key,group,range,key,group,range,kv,state,id,kv,state,id,kv,state,server,address,kv,state,address,if,key,group,range,get,start,key,group,0,key,group,range,get,end,key,group,num,key,groups,throw,new,index,out,of,bounds,exception,key,group,index,for,int,kg,idx,key,group,range,get,start,key,group,kg,idx,key,group,range,get,end,key,group,kg,idx,if,kv,state,ids,kg,idx,null,kv,state,addresses,kg,idx,null,num,registered,key,groups,kv,state,ids,kg,idx,kv,state,id,kv,state,addresses,kg,idx,kv,state,address
KvStateLocation -> public int getNumRegisteredKeyGroups();1470753725;Returns the current number of registered key groups.__@return Number of registered key groups.;public int getNumRegisteredKeyGroups() {_		return numRegisteredKeyGroups__	};returns,the,current,number,of,registered,key,groups,return,number,of,registered,key,groups;public,int,get,num,registered,key,groups,return,num,registered,key,groups
KvStateLocation -> public int getNumRegisteredKeyGroups();1474626282;Returns the current number of registered key groups.__@return Number of registered key groups.;public int getNumRegisteredKeyGroups() {_		return numRegisteredKeyGroups__	};returns,the,current,number,of,registered,key,groups,return,number,of,registered,key,groups;public,int,get,num,registered,key,groups,return,num,registered,key,groups
KvStateLocation -> public int getNumRegisteredKeyGroups();1485118419;Returns the current number of registered key groups.__@return Number of registered key groups.;public int getNumRegisteredKeyGroups() {_		return numRegisteredKeyGroups__	};returns,the,current,number,of,registered,key,groups,return,number,of,registered,key,groups;public,int,get,num,registered,key,groups,return,num,registered,key,groups
KvStateLocation -> public int getNumRegisteredKeyGroups();1499682192;Returns the current number of registered key groups.__@return Number of registered key groups.;public int getNumRegisteredKeyGroups() {_		return numRegisteredKeyGroups__	};returns,the,current,number,of,registered,key,groups,return,number,of,registered,key,groups;public,int,get,num,registered,key,groups,return,num,registered,key,groups
KvStateLocation -> public int getNumRegisteredKeyGroups();1507728810;Returns the current number of registered key groups.__@return Number of registered key groups.;public int getNumRegisteredKeyGroups() {_		return numRegisteredKeyGroups__	};returns,the,current,number,of,registered,key,groups,return,number,of,registered,key,groups;public,int,get,num,registered,key,groups,return,num,registered,key,groups
KvStateLocation -> public int getNumRegisteredKeyGroups();1507728812;Returns the current number of registered key groups.__@return Number of registered key groups.;public int getNumRegisteredKeyGroups() {_		return numRegisteredKeyGroups__	};returns,the,current,number,of,registered,key,groups,return,number,of,registered,key,groups;public,int,get,num,registered,key,groups,return,num,registered,key,groups
KvStateLocation -> public int getNumRegisteredKeyGroups();1509037054;Returns the current number of registered key groups.__@return Number of registered key groups.;public int getNumRegisteredKeyGroups() {_		return numRegisteredKeyGroups__	};returns,the,current,number,of,registered,key,groups,return,number,of,registered,key,groups;public,int,get,num,registered,key,groups,return,num,registered,key,groups
KvStateLocation -> public JobVertexID getJobVertexId();1470753725;Returns the JobVertexID the KvState instances belong to.__@return JobVertexID the KvState instances belong to;public JobVertexID getJobVertexId() {_		return jobVertexId__	};returns,the,job,vertex,id,the,kv,state,instances,belong,to,return,job,vertex,id,the,kv,state,instances,belong,to;public,job,vertex,id,get,job,vertex,id,return,job,vertex,id
KvStateLocation -> public JobVertexID getJobVertexId();1474626282;Returns the JobVertexID the KvState instances belong to.__@return JobVertexID the KvState instances belong to;public JobVertexID getJobVertexId() {_		return jobVertexId__	};returns,the,job,vertex,id,the,kv,state,instances,belong,to,return,job,vertex,id,the,kv,state,instances,belong,to;public,job,vertex,id,get,job,vertex,id,return,job,vertex,id
KvStateLocation -> public JobVertexID getJobVertexId();1485118419;Returns the JobVertexID the KvState instances belong to.__@return JobVertexID the KvState instances belong to;public JobVertexID getJobVertexId() {_		return jobVertexId__	};returns,the,job,vertex,id,the,kv,state,instances,belong,to,return,job,vertex,id,the,kv,state,instances,belong,to;public,job,vertex,id,get,job,vertex,id,return,job,vertex,id
KvStateLocation -> public JobVertexID getJobVertexId();1499682192;Returns the JobVertexID the KvState instances belong to.__@return JobVertexID the KvState instances belong to;public JobVertexID getJobVertexId() {_		return jobVertexId__	};returns,the,job,vertex,id,the,kv,state,instances,belong,to,return,job,vertex,id,the,kv,state,instances,belong,to;public,job,vertex,id,get,job,vertex,id,return,job,vertex,id
KvStateLocation -> public JobVertexID getJobVertexId();1507728810;Returns the JobVertexID the KvState instances belong to.__@return JobVertexID the KvState instances belong to;public JobVertexID getJobVertexId() {_		return jobVertexId__	};returns,the,job,vertex,id,the,kv,state,instances,belong,to,return,job,vertex,id,the,kv,state,instances,belong,to;public,job,vertex,id,get,job,vertex,id,return,job,vertex,id
KvStateLocation -> public JobVertexID getJobVertexId();1507728812;Returns the JobVertexID the KvState instances belong to.__@return JobVertexID the KvState instances belong to;public JobVertexID getJobVertexId() {_		return jobVertexId__	};returns,the,job,vertex,id,the,kv,state,instances,belong,to,return,job,vertex,id,the,kv,state,instances,belong,to;public,job,vertex,id,get,job,vertex,id,return,job,vertex,id
KvStateLocation -> public JobVertexID getJobVertexId();1509037054;Returns the JobVertexID the KvState instances belong to.__@return JobVertexID the KvState instances belong to;public JobVertexID getJobVertexId() {_		return jobVertexId__	};returns,the,job,vertex,id,the,kv,state,instances,belong,to,return,job,vertex,id,the,kv,state,instances,belong,to;public,job,vertex,id,get,job,vertex,id,return,job,vertex,id
KvStateLocation -> public KvStateLocation(JobID jobId, JobVertexID jobVertexId, int numKeyGroups, String registrationName);1470753725;Creates the location information__@param jobId            JobID the KvState instances belong to_@param jobVertexId      JobVertexID the KvState instances belong to_@param numKeyGroups     Number of key groups of the operator_@param registrationName Name under which the KvState instances have been registered;public KvStateLocation(JobID jobId, JobVertexID jobVertexId, int numKeyGroups, String registrationName) {_		this.jobId = Preconditions.checkNotNull(jobId, "JobID")__		this.jobVertexId = Preconditions.checkNotNull(jobVertexId, "JobVertexID")__		Preconditions.checkArgument(numKeyGroups >= 0, "Negative number of key groups")__		this.numKeyGroups = numKeyGroups__		this.registrationName = Preconditions.checkNotNull(registrationName, "Registration name")__		this.kvStateIds = new KvStateID[numKeyGroups]__		this.kvStateAddresses = new KvStateServerAddress[numKeyGroups]__	};creates,the,location,information,param,job,id,job,id,the,kv,state,instances,belong,to,param,job,vertex,id,job,vertex,id,the,kv,state,instances,belong,to,param,num,key,groups,number,of,key,groups,of,the,operator,param,registration,name,name,under,which,the,kv,state,instances,have,been,registered;public,kv,state,location,job,id,job,id,job,vertex,id,job,vertex,id,int,num,key,groups,string,registration,name,this,job,id,preconditions,check,not,null,job,id,job,id,this,job,vertex,id,preconditions,check,not,null,job,vertex,id,job,vertex,id,preconditions,check,argument,num,key,groups,0,negative,number,of,key,groups,this,num,key,groups,num,key,groups,this,registration,name,preconditions,check,not,null,registration,name,registration,name,this,kv,state,ids,new,kv,state,id,num,key,groups,this,kv,state,addresses,new,kv,state,server,address,num,key,groups
