# id;timestamp;commentText;codeText;commentWords;codeWords
DefaultOperatorStateBackend -> @Override 	public RunnableFuture<OperatorStateHandle> snapshot( 			long checkpointId, long timestamp, CheckpointStreamFactory streamFactory) throws Exception;1472680767;@see SnapshotProvider;@Override_	public RunnableFuture<OperatorStateHandle> snapshot(_			long checkpointId, long timestamp, CheckpointStreamFactory streamFactory) throws Exception {__		if (registeredStates.isEmpty()) {_			return new DoneFuture<>(null)__		}__		Map<String, long[]> writtenStatesMetaData = new HashMap<>(registeredStates.size())___		CheckpointStreamFactory.CheckpointStateOutputStream out = streamFactory._				createCheckpointStateOutputStream(checkpointId, timestamp)___		try {_			closeStreamOnCancelRegistry.registerClosable(out)___			DataOutputView dov = new DataOutputViewStreamWrapper(out)___			dov.writeInt(registeredStates.size())__			for (Map.Entry<String, PartitionableListState<?>> entry : registeredStates.entrySet()) {__				long[] partitionOffsets = entry.getValue().write(out)__				writtenStatesMetaData.put(entry.getKey(), partitionOffsets)__			}__			OperatorStateHandle handle = new OperatorStateHandle(out.closeAndGetHandle(), writtenStatesMetaData)___			return new DoneFuture<>(handle)__		} finally {_			closeStreamOnCancelRegistry.unregisterClosable(out)__			out.close()__		}_	};see,snapshot,provider;override,public,runnable,future,operator,state,handle,snapshot,long,checkpoint,id,long,timestamp,checkpoint,stream,factory,stream,factory,throws,exception,if,registered,states,is,empty,return,new,done,future,null,map,string,long,written,states,meta,data,new,hash,map,registered,states,size,checkpoint,stream,factory,checkpoint,state,output,stream,out,stream,factory,create,checkpoint,state,output,stream,checkpoint,id,timestamp,try,close,stream,on,cancel,registry,register,closable,out,data,output,view,dov,new,data,output,view,stream,wrapper,out,dov,write,int,registered,states,size,for,map,entry,string,partitionable,list,state,entry,registered,states,entry,set,long,partition,offsets,entry,get,value,write,out,written,states,meta,data,put,entry,get,key,partition,offsets,operator,state,handle,handle,new,operator,state,handle,out,close,and,get,handle,written,states,meta,data,return,new,done,future,handle,finally,close,stream,on,cancel,registry,unregister,closable,out,out,close
DefaultOperatorStateBackend -> @Override 	public RunnableFuture<OperatorStateHandle> snapshot( 			long checkpointId, long timestamp, CheckpointStreamFactory streamFactory) throws Exception;1475656513;@see SnapshotProvider;@Override_	public RunnableFuture<OperatorStateHandle> snapshot(_			long checkpointId, long timestamp, CheckpointStreamFactory streamFactory) throws Exception {__		if (registeredStates.isEmpty()) {_			return new DoneFuture<>(null)__		}__		Map<String, long[]> writtenStatesMetaData = new HashMap<>(registeredStates.size())___		CheckpointStreamFactory.CheckpointStateOutputStream out = streamFactory._				createCheckpointStateOutputStream(checkpointId, timestamp)___		try {_			closeStreamOnCancelRegistry.registerClosable(out)___			DataOutputView dov = new DataOutputViewStreamWrapper(out)___			dov.writeInt(registeredStates.size())__			for (Map.Entry<String, PartitionableListState<?>> entry : registeredStates.entrySet()) {__				long[] partitionOffsets = entry.getValue().write(out)__				writtenStatesMetaData.put(entry.getKey(), partitionOffsets)__			}__			OperatorStateHandle handle = new OperatorStateHandle(out.closeAndGetHandle(), writtenStatesMetaData)___			return new DoneFuture<>(handle)__		} finally {_			closeStreamOnCancelRegistry.unregisterClosable(out)__			out.close()__		}_	};see,snapshot,provider;override,public,runnable,future,operator,state,handle,snapshot,long,checkpoint,id,long,timestamp,checkpoint,stream,factory,stream,factory,throws,exception,if,registered,states,is,empty,return,new,done,future,null,map,string,long,written,states,meta,data,new,hash,map,registered,states,size,checkpoint,stream,factory,checkpoint,state,output,stream,out,stream,factory,create,checkpoint,state,output,stream,checkpoint,id,timestamp,try,close,stream,on,cancel,registry,register,closable,out,data,output,view,dov,new,data,output,view,stream,wrapper,out,dov,write,int,registered,states,size,for,map,entry,string,partitionable,list,state,entry,registered,states,entry,set,long,partition,offsets,entry,get,value,write,out,written,states,meta,data,put,entry,get,key,partition,offsets,operator,state,handle,handle,new,operator,state,handle,out,close,and,get,handle,written,states,meta,data,return,new,done,future,handle,finally,close,stream,on,cancel,registry,unregister,closable,out,out,close
DefaultOperatorStateBackend -> @Override 	public RunnableFuture<OperatorStateHandle> snapshot( 			long checkpointId, long timestamp, CheckpointStreamFactory streamFactory) throws Exception;1475674226;@see SnapshotProvider;@Override_	public RunnableFuture<OperatorStateHandle> snapshot(_			long checkpointId, long timestamp, CheckpointStreamFactory streamFactory) throws Exception {__		if (registeredStates.isEmpty()) {_			return new DoneFuture<>(null)__		}__		Map<String, long[]> writtenStatesMetaData = new HashMap<>(registeredStates.size())___		CheckpointStreamFactory.CheckpointStateOutputStream out = streamFactory._				createCheckpointStateOutputStream(checkpointId, timestamp)___		try {_			closeStreamOnCancelRegistry.registerClosable(out)___			DataOutputView dov = new DataOutputViewStreamWrapper(out)___			dov.writeInt(registeredStates.size())__			for (Map.Entry<String, PartitionableListState<?>> entry : registeredStates.entrySet()) {__				long[] partitionOffsets = entry.getValue().write(out)__				writtenStatesMetaData.put(entry.getKey(), partitionOffsets)__			}__			OperatorStateHandle handle = new OperatorStateHandle(out.closeAndGetHandle(), writtenStatesMetaData)___			return new DoneFuture<>(handle)__		} finally {_			closeStreamOnCancelRegistry.unregisterClosable(out)__			out.close()__		}_	};see,snapshot,provider;override,public,runnable,future,operator,state,handle,snapshot,long,checkpoint,id,long,timestamp,checkpoint,stream,factory,stream,factory,throws,exception,if,registered,states,is,empty,return,new,done,future,null,map,string,long,written,states,meta,data,new,hash,map,registered,states,size,checkpoint,stream,factory,checkpoint,state,output,stream,out,stream,factory,create,checkpoint,state,output,stream,checkpoint,id,timestamp,try,close,stream,on,cancel,registry,register,closable,out,data,output,view,dov,new,data,output,view,stream,wrapper,out,dov,write,int,registered,states,size,for,map,entry,string,partitionable,list,state,entry,registered,states,entry,set,long,partition,offsets,entry,get,value,write,out,written,states,meta,data,put,entry,get,key,partition,offsets,operator,state,handle,handle,new,operator,state,handle,out,close,and,get,handle,written,states,meta,data,return,new,done,future,handle,finally,close,stream,on,cancel,registry,unregister,closable,out,out,close
DefaultOperatorStateBackend -> @Deprecated 	@Override 	public <S> ListState<S> getOperatorState(ListStateDescriptor<S> stateDescriptor) throws Exception;1489497957;@deprecated This was deprecated as part of a refinement to the function names._Please use {@link #getListState(ListStateDescriptor)} instead.;@Deprecated_	@Override_	public <S> ListState<S> getOperatorState(ListStateDescriptor<S> stateDescriptor) throws Exception {_		return getListState(stateDescriptor)__	};deprecated,this,was,deprecated,as,part,of,a,refinement,to,the,function,names,please,use,link,get,list,state,list,state,descriptor,instead;deprecated,override,public,s,list,state,s,get,operator,state,list,state,descriptor,s,state,descriptor,throws,exception,return,get,list,state,state,descriptor
DefaultOperatorStateBackend -> @Deprecated 	@Override 	public <S> ListState<S> getOperatorState(ListStateDescriptor<S> stateDescriptor) throws Exception;1492539588;@deprecated This was deprecated as part of a refinement to the function names._Please use {@link #getListState(ListStateDescriptor)} instead.;@Deprecated_	@Override_	public <S> ListState<S> getOperatorState(ListStateDescriptor<S> stateDescriptor) throws Exception {_		return getListState(stateDescriptor)__	};deprecated,this,was,deprecated,as,part,of,a,refinement,to,the,function,names,please,use,link,get,list,state,list,state,descriptor,instead;deprecated,override,public,s,list,state,s,get,operator,state,list,state,descriptor,s,state,descriptor,throws,exception,return,get,list,state,state,descriptor
DefaultOperatorStateBackend -> @Deprecated 	@Override 	public <S> ListState<S> getOperatorState(ListStateDescriptor<S> stateDescriptor) throws Exception;1492541611;@deprecated This was deprecated as part of a refinement to the function names._Please use {@link #getListState(ListStateDescriptor)} instead.;@Deprecated_	@Override_	public <S> ListState<S> getOperatorState(ListStateDescriptor<S> stateDescriptor) throws Exception {_		return getListState(stateDescriptor)__	};deprecated,this,was,deprecated,as,part,of,a,refinement,to,the,function,names,please,use,link,get,list,state,list,state,descriptor,instead;deprecated,override,public,s,list,state,s,get,operator,state,list,state,descriptor,s,state,descriptor,throws,exception,return,get,list,state,state,descriptor
DefaultOperatorStateBackend -> @Deprecated 	@Override 	public <S> ListState<S> getOperatorState(ListStateDescriptor<S> stateDescriptor) throws Exception;1494180263;@deprecated This was deprecated as part of a refinement to the function names._Please use {@link #getListState(ListStateDescriptor)} instead.;@Deprecated_	@Override_	public <S> ListState<S> getOperatorState(ListStateDescriptor<S> stateDescriptor) throws Exception {_		return getListState(stateDescriptor)__	};deprecated,this,was,deprecated,as,part,of,a,refinement,to,the,function,names,please,use,link,get,list,state,list,state,descriptor,instead;deprecated,override,public,s,list,state,s,get,operator,state,list,state,descriptor,s,state,descriptor,throws,exception,return,get,list,state,state,descriptor
DefaultOperatorStateBackend -> @Deprecated 	@Override 	public <S> ListState<S> getOperatorState(ListStateDescriptor<S> stateDescriptor) throws Exception;1494181354;@deprecated This was deprecated as part of a refinement to the function names._Please use {@link #getListState(ListStateDescriptor)} instead.;@Deprecated_	@Override_	public <S> ListState<S> getOperatorState(ListStateDescriptor<S> stateDescriptor) throws Exception {_		return getListState(stateDescriptor)__	};deprecated,this,was,deprecated,as,part,of,a,refinement,to,the,function,names,please,use,link,get,list,state,list,state,descriptor,instead;deprecated,override,public,s,list,state,s,get,operator,state,list,state,descriptor,s,state,descriptor,throws,exception,return,get,list,state,state,descriptor
DefaultOperatorStateBackend -> @Deprecated 	@Override 	public <S> ListState<S> getOperatorState(ListStateDescriptor<S> stateDescriptor) throws Exception;1494587485;@deprecated This was deprecated as part of a refinement to the function names._Please use {@link #getListState(ListStateDescriptor)} instead.;@Deprecated_	@Override_	public <S> ListState<S> getOperatorState(ListStateDescriptor<S> stateDescriptor) throws Exception {_		return getListState(stateDescriptor)__	};deprecated,this,was,deprecated,as,part,of,a,refinement,to,the,function,names,please,use,link,get,list,state,list,state,descriptor,instead;deprecated,override,public,s,list,state,s,get,operator,state,list,state,descriptor,s,state,descriptor,throws,exception,return,get,list,state,state,descriptor
DefaultOperatorStateBackend -> @Deprecated 	@Override 	public <S> ListState<S> getOperatorState(ListStateDescriptor<S> stateDescriptor) throws Exception;1495090293;@deprecated This was deprecated as part of a refinement to the function names._Please use {@link #getListState(ListStateDescriptor)} instead.;@Deprecated_	@Override_	public <S> ListState<S> getOperatorState(ListStateDescriptor<S> stateDescriptor) throws Exception {_		return getListState(stateDescriptor)__	};deprecated,this,was,deprecated,as,part,of,a,refinement,to,the,function,names,please,use,link,get,list,state,list,state,descriptor,instead;deprecated,override,public,s,list,state,s,get,operator,state,list,state,descriptor,s,state,descriptor,throws,exception,return,get,list,state,state,descriptor
DefaultOperatorStateBackend -> @Deprecated 	@Override 	public <S> ListState<S> getOperatorState(ListStateDescriptor<S> stateDescriptor) throws Exception;1495702448;@deprecated This was deprecated as part of a refinement to the function names._Please use {@link #getListState(ListStateDescriptor)} instead.;@Deprecated_	@Override_	public <S> ListState<S> getOperatorState(ListStateDescriptor<S> stateDescriptor) throws Exception {_		return getListState(stateDescriptor)__	};deprecated,this,was,deprecated,as,part,of,a,refinement,to,the,function,names,please,use,link,get,list,state,list,state,descriptor,instead;deprecated,override,public,s,list,state,s,get,operator,state,list,state,descriptor,s,state,descriptor,throws,exception,return,get,list,state,state,descriptor
DefaultOperatorStateBackend -> @Deprecated 	@Override 	public <S> ListState<S> getOperatorState(ListStateDescriptor<S> stateDescriptor) throws Exception;1496608826;@deprecated This was deprecated as part of a refinement to the function names._Please use {@link #getListState(ListStateDescriptor)} instead.;@Deprecated_	@Override_	public <S> ListState<S> getOperatorState(ListStateDescriptor<S> stateDescriptor) throws Exception {_		return getListState(stateDescriptor)__	};deprecated,this,was,deprecated,as,part,of,a,refinement,to,the,function,names,please,use,link,get,list,state,list,state,descriptor,instead;deprecated,override,public,s,list,state,s,get,operator,state,list,state,descriptor,s,state,descriptor,throws,exception,return,get,list,state,state,descriptor
DefaultOperatorStateBackend -> @Deprecated 	@Override 	public <S> ListState<S> getOperatorState(ListStateDescriptor<S> stateDescriptor) throws Exception;1504776252;@deprecated This was deprecated as part of a refinement to the function names._Please use {@link #getListState(ListStateDescriptor)} instead.;@Deprecated_	@Override_	public <S> ListState<S> getOperatorState(ListStateDescriptor<S> stateDescriptor) throws Exception {_		return getListState(stateDescriptor)__	};deprecated,this,was,deprecated,as,part,of,a,refinement,to,the,function,names,please,use,link,get,list,state,list,state,descriptor,instead;deprecated,override,public,s,list,state,s,get,operator,state,list,state,descriptor,s,state,descriptor,throws,exception,return,get,list,state,state,descriptor
DefaultOperatorStateBackend -> @Deprecated 	@Override 	public <S> ListState<S> getOperatorState(ListStateDescriptor<S> stateDescriptor) throws Exception;1506517852;@deprecated This was deprecated as part of a refinement to the function names._Please use {@link #getListState(ListStateDescriptor)} instead.;@Deprecated_	@Override_	public <S> ListState<S> getOperatorState(ListStateDescriptor<S> stateDescriptor) throws Exception {_		return getListState(stateDescriptor)__	};deprecated,this,was,deprecated,as,part,of,a,refinement,to,the,function,names,please,use,link,get,list,state,list,state,descriptor,instead;deprecated,override,public,s,list,state,s,get,operator,state,list,state,descriptor,s,state,descriptor,throws,exception,return,get,list,state,state,descriptor
DefaultOperatorStateBackend -> @Deprecated 	@Override 	public <S> ListState<S> getOperatorState(ListStateDescriptor<S> stateDescriptor) throws Exception;1507037878;@deprecated This was deprecated as part of a refinement to the function names._Please use {@link #getListState(ListStateDescriptor)} instead.;@Deprecated_	@Override_	public <S> ListState<S> getOperatorState(ListStateDescriptor<S> stateDescriptor) throws Exception {_		return getListState(stateDescriptor)__	};deprecated,this,was,deprecated,as,part,of,a,refinement,to,the,function,names,please,use,link,get,list,state,list,state,descriptor,instead;deprecated,override,public,s,list,state,s,get,operator,state,list,state,descriptor,s,state,descriptor,throws,exception,return,get,list,state,state,descriptor
