# id;timestamp;commentText;codeText;commentWords;codeWords
KeyGroupsStateHandle -> public KeyGroupsStateHandle getIntersection(KeyGroupRange keyGroupRange);1490283135;@param keyGroupRange a key group range to intersect._@return key-group state over a range that is the intersection between this handle's key-group range and the_provided key-group range.;public KeyGroupsStateHandle getIntersection(KeyGroupRange keyGroupRange) {_		return new KeyGroupsStateHandle(groupRangeOffsets.getIntersection(keyGroupRange), stateHandle)__	};param,key,group,range,a,key,group,range,to,intersect,return,key,group,state,over,a,range,that,is,the,intersection,between,this,handle,s,key,group,range,and,the,provided,key,group,range;public,key,groups,state,handle,get,intersection,key,group,range,key,group,range,return,new,key,groups,state,handle,group,range,offsets,get,intersection,key,group,range,state,handle
KeyGroupsStateHandle -> public KeyGroupsStateHandle getIntersection(KeyGroupRange keyGroupRange);1493480676;@param keyGroupRange a key group range to intersect._@return key-group state over a range that is the intersection between this handle's key-group range and the_provided key-group range.;public KeyGroupsStateHandle getIntersection(KeyGroupRange keyGroupRange) {_		return new KeyGroupsStateHandle(groupRangeOffsets.getIntersection(keyGroupRange), stateHandle)__	};param,key,group,range,a,key,group,range,to,intersect,return,key,group,state,over,a,range,that,is,the,intersection,between,this,handle,s,key,group,range,and,the,provided,key,group,range;public,key,groups,state,handle,get,intersection,key,group,range,key,group,range,return,new,key,groups,state,handle,group,range,offsets,get,intersection,key,group,range,state,handle
KeyGroupsStateHandle -> public KeyGroupsStateHandle getIntersection(KeyGroupRange keyGroupRange);1494930725;@param keyGroupRange a key group range to intersect._@return key-group state over a range that is the intersection between this handle's key-group range and the_provided key-group range.;public KeyGroupsStateHandle getIntersection(KeyGroupRange keyGroupRange) {_		return new KeyGroupsStateHandle(groupRangeOffsets.getIntersection(keyGroupRange), stateHandle)__	};param,key,group,range,a,key,group,range,to,intersect,return,key,group,state,over,a,range,that,is,the,intersection,between,this,handle,s,key,group,range,and,the,provided,key,group,range;public,key,groups,state,handle,get,intersection,key,group,range,key,group,range,return,new,key,groups,state,handle,group,range,offsets,get,intersection,key,group,range,state,handle
KeyGroupsStateHandle -> public KeyGroupsStateHandle getIntersection(KeyGroupRange keyGroupRange);1500977056;@param keyGroupRange a key group range to intersect._@return key-group state over a range that is the intersection between this handle's key-group range and the_provided key-group range.;public KeyGroupsStateHandle getIntersection(KeyGroupRange keyGroupRange) {_		return new KeyGroupsStateHandle(groupRangeOffsets.getIntersection(keyGroupRange), stateHandle)__	};param,key,group,range,a,key,group,range,to,intersect,return,key,group,state,over,a,range,that,is,the,intersection,between,this,handle,s,key,group,range,and,the,provided,key,group,range;public,key,groups,state,handle,get,intersection,key,group,range,key,group,range,return,new,key,groups,state,handle,group,range,offsets,get,intersection,key,group,range,state,handle
KeyGroupsStateHandle -> public KeyGroupsStateHandle(KeyGroupRangeOffsets groupRangeOffsets, StreamStateHandle streamStateHandle);1470909547;@param groupRangeOffsets range of key-group ids that in the state of this handle_@param streamStateHandle handle to the actual state of the key-groups;public KeyGroupsStateHandle(KeyGroupRangeOffsets groupRangeOffsets, StreamStateHandle streamStateHandle) {_		Preconditions.checkNotNull(groupRangeOffsets)__		Preconditions.checkNotNull(streamStateHandle)___		this.groupRangeOffsets = groupRangeOffsets__		this.stateHandle = streamStateHandle__	};param,group,range,offsets,range,of,key,group,ids,that,in,the,state,of,this,handle,param,stream,state,handle,handle,to,the,actual,state,of,the,key,groups;public,key,groups,state,handle,key,group,range,offsets,group,range,offsets,stream,state,handle,stream,state,handle,preconditions,check,not,null,group,range,offsets,preconditions,check,not,null,stream,state,handle,this,group,range,offsets,group,range,offsets,this,state,handle,stream,state,handle
KeyGroupsStateHandle -> public KeyGroupsStateHandle(KeyGroupRangeOffsets groupRangeOffsets, StreamStateHandle streamStateHandle);1472680767;@param groupRangeOffsets range of key-group ids that in the state of this handle_@param streamStateHandle handle to the actual state of the key-groups;public KeyGroupsStateHandle(KeyGroupRangeOffsets groupRangeOffsets, StreamStateHandle streamStateHandle) {_		Preconditions.checkNotNull(groupRangeOffsets)__		Preconditions.checkNotNull(streamStateHandle)___		this.groupRangeOffsets = groupRangeOffsets__		this.stateHandle = streamStateHandle__	};param,group,range,offsets,range,of,key,group,ids,that,in,the,state,of,this,handle,param,stream,state,handle,handle,to,the,actual,state,of,the,key,groups;public,key,groups,state,handle,key,group,range,offsets,group,range,offsets,stream,state,handle,stream,state,handle,preconditions,check,not,null,group,range,offsets,preconditions,check,not,null,stream,state,handle,this,group,range,offsets,group,range,offsets,this,state,handle,stream,state,handle
KeyGroupsStateHandle -> public KeyGroupsStateHandle(KeyGroupRangeOffsets groupRangeOffsets, StreamStateHandle streamStateHandle);1474636587;@param groupRangeOffsets range of key-group ids that in the state of this handle_@param streamStateHandle handle to the actual state of the key-groups;public KeyGroupsStateHandle(KeyGroupRangeOffsets groupRangeOffsets, StreamStateHandle streamStateHandle) {_		Preconditions.checkNotNull(groupRangeOffsets)__		Preconditions.checkNotNull(streamStateHandle)___		this.groupRangeOffsets = groupRangeOffsets__		this.stateHandle = streamStateHandle__	};param,group,range,offsets,range,of,key,group,ids,that,in,the,state,of,this,handle,param,stream,state,handle,handle,to,the,actual,state,of,the,key,groups;public,key,groups,state,handle,key,group,range,offsets,group,range,offsets,stream,state,handle,stream,state,handle,preconditions,check,not,null,group,range,offsets,preconditions,check,not,null,stream,state,handle,this,group,range,offsets,group,range,offsets,this,state,handle,stream,state,handle
KeyGroupsStateHandle -> public KeyGroupsStateHandle(KeyGroupRangeOffsets groupRangeOffsets, StreamStateHandle streamStateHandle);1475410548;@param groupRangeOffsets range of key-group ids that in the state of this handle_@param streamStateHandle handle to the actual state of the key-groups;public KeyGroupsStateHandle(KeyGroupRangeOffsets groupRangeOffsets, StreamStateHandle streamStateHandle) {_		Preconditions.checkNotNull(groupRangeOffsets)__		Preconditions.checkNotNull(streamStateHandle)___		this.groupRangeOffsets = groupRangeOffsets__		this.stateHandle = streamStateHandle__	};param,group,range,offsets,range,of,key,group,ids,that,in,the,state,of,this,handle,param,stream,state,handle,handle,to,the,actual,state,of,the,key,groups;public,key,groups,state,handle,key,group,range,offsets,group,range,offsets,stream,state,handle,stream,state,handle,preconditions,check,not,null,group,range,offsets,preconditions,check,not,null,stream,state,handle,this,group,range,offsets,group,range,offsets,this,state,handle,stream,state,handle
KeyGroupsStateHandle -> public KeyGroupsStateHandle(KeyGroupRangeOffsets groupRangeOffsets, StreamStateHandle streamStateHandle);1481547745;@param groupRangeOffsets range of key-group ids that in the state of this handle_@param streamStateHandle handle to the actual state of the key-groups;public KeyGroupsStateHandle(KeyGroupRangeOffsets groupRangeOffsets, StreamStateHandle streamStateHandle) {_		Preconditions.checkNotNull(groupRangeOffsets)__		Preconditions.checkNotNull(streamStateHandle)___		this.groupRangeOffsets = groupRangeOffsets__		this.stateHandle = streamStateHandle__	};param,group,range,offsets,range,of,key,group,ids,that,in,the,state,of,this,handle,param,stream,state,handle,handle,to,the,actual,state,of,the,key,groups;public,key,groups,state,handle,key,group,range,offsets,group,range,offsets,stream,state,handle,stream,state,handle,preconditions,check,not,null,group,range,offsets,preconditions,check,not,null,stream,state,handle,this,group,range,offsets,group,range,offsets,this,state,handle,stream,state,handle
KeyGroupsStateHandle -> public KeyGroupsStateHandle(KeyGroupRangeOffsets groupRangeOffsets, StreamStateHandle streamStateHandle);1490283135;@param groupRangeOffsets range of key-group ids that in the state of this handle_@param streamStateHandle handle to the actual state of the key-groups;public KeyGroupsStateHandle(KeyGroupRangeOffsets groupRangeOffsets, StreamStateHandle streamStateHandle) {_		Preconditions.checkNotNull(groupRangeOffsets)__		Preconditions.checkNotNull(streamStateHandle)___		this.groupRangeOffsets = groupRangeOffsets__		this.stateHandle = streamStateHandle__	};param,group,range,offsets,range,of,key,group,ids,that,in,the,state,of,this,handle,param,stream,state,handle,handle,to,the,actual,state,of,the,key,groups;public,key,groups,state,handle,key,group,range,offsets,group,range,offsets,stream,state,handle,stream,state,handle,preconditions,check,not,null,group,range,offsets,preconditions,check,not,null,stream,state,handle,this,group,range,offsets,group,range,offsets,this,state,handle,stream,state,handle
