# id;timestamp;commentText;codeText;commentWords;codeWords
StateMetaInfoSnapshotReadersWriters -> @Nonnull 	static StateMetaInfoReader getReader(int readVersion);1536657741;Returns a reader for {@link StateMetaInfoSnapshot} with the requested state type and version number.__@param readVersion the format version to read._@return the requested reader.;@Nonnull_	static StateMetaInfoReader getReader(int readVersion) {_		switch (readVersion) {_			case CURRENT_STATE_META_INFO_SNAPSHOT_VERSION:_				return CurrentReaderImpl.INSTANCE__			case 5:_				return V5ReaderImpl.INSTANCE__			default:_					throw new IllegalArgumentException("Unsupported read version for state meta info: " + readVersion)__		}_	};returns,a,reader,for,link,state,meta,info,snapshot,with,the,requested,state,type,and,version,number,param,read,version,the,format,version,to,read,return,the,requested,reader;nonnull,static,state,meta,info,reader,get,reader,int,read,version,switch,read,version,case,return,current,reader,impl,instance,case,5,return,v5reader,impl,instance,default,throw,new,illegal,argument,exception,unsupported,read,version,for,state,meta,info,read,version
StateMetaInfoSnapshotReadersWriters -> @Nonnull 	static StateMetaInfoReader getReader(int readVersion);1538721028;Returns a reader for {@link StateMetaInfoSnapshot} with the requested state type and version number.__@param readVersion the format version to read._@return the requested reader.;@Nonnull_	static StateMetaInfoReader getReader(int readVersion) {_		switch (readVersion) {_			case CURRENT_STATE_META_INFO_SNAPSHOT_VERSION:_				return CurrentReaderImpl.INSTANCE__			case 5:_				return V5ReaderImpl.INSTANCE__			default:_					throw new IllegalArgumentException("Unsupported read version for state meta info: " + readVersion)__		}_	};returns,a,reader,for,link,state,meta,info,snapshot,with,the,requested,state,type,and,version,number,param,read,version,the,format,version,to,read,return,the,requested,reader;nonnull,static,state,meta,info,reader,get,reader,int,read,version,switch,read,version,case,return,current,reader,impl,instance,case,5,return,v5reader,impl,instance,default,throw,new,illegal,argument,exception,unsupported,read,version,for,state,meta,info,read,version
StateMetaInfoSnapshotReadersWriters -> @Nonnull 	static StateMetaInfoReader getReader(int readVersion);1544343031;Returns a reader for {@link StateMetaInfoSnapshot} with the requested state type and version number.__@param readVersion the format version to read._@return the requested reader.;@Nonnull_	static StateMetaInfoReader getReader(int readVersion) {_		switch (readVersion) {_			case CURRENT_STATE_META_INFO_SNAPSHOT_VERSION:_				return CurrentReaderImpl.INSTANCE__			case 5:_				return V5ReaderImpl.INSTANCE__			default:_					throw new IllegalArgumentException("Unsupported read version for state meta info: " + readVersion)__		}_	};returns,a,reader,for,link,state,meta,info,snapshot,with,the,requested,state,type,and,version,number,param,read,version,the,format,version,to,read,return,the,requested,reader;nonnull,static,state,meta,info,reader,get,reader,int,read,version,switch,read,version,case,return,current,reader,impl,instance,case,5,return,v5reader,impl,instance,default,throw,new,illegal,argument,exception,unsupported,read,version,for,state,meta,info,read,version
StateMetaInfoSnapshotReadersWriters -> @Nonnull 	public static StateMetaInfoWriter getWriter();1528883776;Returns the writer for {@link StateMetaInfoSnapshot}.;@Nonnull_	public static StateMetaInfoWriter getWriter() {_		return CurrentWriterImpl.INSTANCE__	};returns,the,writer,for,link,state,meta,info,snapshot;nonnull,public,static,state,meta,info,writer,get,writer,return,current,writer,impl,instance
StateMetaInfoSnapshotReadersWriters -> @Nonnull 	public static StateMetaInfoWriter getWriter();1531300271;Returns the writer for {@link StateMetaInfoSnapshot}.;@Nonnull_	public static StateMetaInfoWriter getWriter() {_		return CurrentWriterImpl.INSTANCE__	};returns,the,writer,for,link,state,meta,info,snapshot;nonnull,public,static,state,meta,info,writer,get,writer,return,current,writer,impl,instance
StateMetaInfoSnapshotReadersWriters -> @Nonnull 	public static StateMetaInfoWriter getWriter();1536657741;Returns the writer for {@link StateMetaInfoSnapshot}.;@Nonnull_	public static StateMetaInfoWriter getWriter() {_		return CurrentWriterImpl.INSTANCE__	};returns,the,writer,for,link,state,meta,info,snapshot;nonnull,public,static,state,meta,info,writer,get,writer,return,current,writer,impl,instance
StateMetaInfoSnapshotReadersWriters -> @Nonnull 	public static StateMetaInfoWriter getWriter();1538721028;Returns the writer for {@link StateMetaInfoSnapshot}.;@Nonnull_	public static StateMetaInfoWriter getWriter() {_		return CurrentWriterImpl.INSTANCE__	};returns,the,writer,for,link,state,meta,info,snapshot;nonnull,public,static,state,meta,info,writer,get,writer,return,current,writer,impl,instance
StateMetaInfoSnapshotReadersWriters -> @Nonnull 	public static StateMetaInfoWriter getWriter();1544343031;Returns the writer for {@link StateMetaInfoSnapshot}.;@Nonnull_	public static StateMetaInfoWriter getWriter() {_		return CurrentWriterImpl.INSTANCE__	};returns,the,writer,for,link,state,meta,info,snapshot;nonnull,public,static,state,meta,info,writer,get,writer,return,current,writer,impl,instance
StateMetaInfoSnapshotReadersWriters -> @Nonnull 	public static StateMetaInfoReader getReader(int readVersion, @Nonnull StateTypeHint stateTypeHint);1528883776;Returns a reader for {@link StateMetaInfoSnapshot} with the requested state type and version number.__@param readVersion the format version to read._@param stateTypeHint a hint about the expected type to read._@return the requested reader.;@Nonnull_	public static StateMetaInfoReader getReader(int readVersion, @Nonnull StateTypeHint stateTypeHint) {__		if (readVersion < CURRENT_STATE_META_INFO_SNAPSHOT_VERSION) {_			switch (stateTypeHint) {_				case KEYED_STATE:_					return getLegacyKeyedStateMetaInfoReader(readVersion)__				case OPERATOR_STATE:_					return getLegacyOperatorStateMetaInfoReader(readVersion)__				default:_					throw new IllegalArgumentException("Unsupported state type hint: " + stateTypeHint +_						" with version " + readVersion)__			}_		} else {_			return getReader(readVersion)__		}_	};returns,a,reader,for,link,state,meta,info,snapshot,with,the,requested,state,type,and,version,number,param,read,version,the,format,version,to,read,param,state,type,hint,a,hint,about,the,expected,type,to,read,return,the,requested,reader;nonnull,public,static,state,meta,info,reader,get,reader,int,read,version,nonnull,state,type,hint,state,type,hint,if,read,version,switch,state,type,hint,case,return,get,legacy,keyed,state,meta,info,reader,read,version,case,return,get,legacy,operator,state,meta,info,reader,read,version,default,throw,new,illegal,argument,exception,unsupported,state,type,hint,state,type,hint,with,version,read,version,else,return,get,reader,read,version
StateMetaInfoSnapshotReadersWriters -> @Nonnull 	public static StateMetaInfoReader getReader(int readVersion, @Nonnull StateTypeHint stateTypeHint);1531300271;Returns a reader for {@link StateMetaInfoSnapshot} with the requested state type and version number.__@param readVersion the format version to read._@param stateTypeHint a hint about the expected type to read._@return the requested reader.;@Nonnull_	public static StateMetaInfoReader getReader(int readVersion, @Nonnull StateTypeHint stateTypeHint) {__		if (readVersion == CURRENT_STATE_META_INFO_SNAPSHOT_VERSION) {_			_			return CurrentReaderImpl.INSTANCE__		}__		if (readVersion > CURRENT_STATE_META_INFO_SNAPSHOT_VERSION) {_			throw new IllegalArgumentException("Unsupported read version for state meta info: " + readVersion)__		}__		switch (stateTypeHint) {_			case KEYED_STATE:_				return getLegacyKeyedStateMetaInfoReader(readVersion)__			case OPERATOR_STATE:_				return getLegacyOperatorStateMetaInfoReader(readVersion)__			default:_				throw new IllegalArgumentException("Unsupported state type hint: " + stateTypeHint)__		}_	};returns,a,reader,for,link,state,meta,info,snapshot,with,the,requested,state,type,and,version,number,param,read,version,the,format,version,to,read,param,state,type,hint,a,hint,about,the,expected,type,to,read,return,the,requested,reader;nonnull,public,static,state,meta,info,reader,get,reader,int,read,version,nonnull,state,type,hint,state,type,hint,if,read,version,return,current,reader,impl,instance,if,read,version,throw,new,illegal,argument,exception,unsupported,read,version,for,state,meta,info,read,version,switch,state,type,hint,case,return,get,legacy,keyed,state,meta,info,reader,read,version,case,return,get,legacy,operator,state,meta,info,reader,read,version,default,throw,new,illegal,argument,exception,unsupported,state,type,hint,state,type,hint
