# id;timestamp;commentText;codeText;commentWords;codeWords
TaskExecutorRegistrationSuccess -> public long getHeartbeatInterval();1482522858;Gets the interval in which the ResourceManager will heartbeat the TaskExecutor.;public long getHeartbeatInterval() {_		return heartbeatInterval__	};gets,the,interval,in,which,the,resource,manager,will,heartbeat,the,task,executor;public,long,get,heartbeat,interval,return,heartbeat,interval
TaskExecutorRegistrationSuccess -> public long getHeartbeatInterval();1490273924;Gets the interval in which the ResourceManager will heartbeat the TaskExecutor.;public long getHeartbeatInterval() {_		return heartbeatInterval__	};gets,the,interval,in,which,the,resource,manager,will,heartbeat,the,task,executor;public,long,get,heartbeat,interval,return,heartbeat,interval
TaskExecutorRegistrationSuccess -> public long getHeartbeatInterval();1517915730;Gets the interval in which the ResourceManager will heartbeat the TaskExecutor.;public long getHeartbeatInterval() {_		return heartbeatInterval__	};gets,the,interval,in,which,the,resource,manager,will,heartbeat,the,task,executor;public,long,get,heartbeat,interval,return,heartbeat,interval
TaskExecutorRegistrationSuccess -> public long getHeartbeatInterval();1518680659;Gets the interval in which the ResourceManager will heartbeat the TaskExecutor.;public long getHeartbeatInterval() {_		return heartbeatInterval__	};gets,the,interval,in,which,the,resource,manager,will,heartbeat,the,task,executor;public,long,get,heartbeat,interval,return,heartbeat,interval
TaskExecutorRegistrationSuccess -> public TaskExecutorRegistrationSuccess( 			InstanceID registrationId, 			ResourceID resourceManagerResourceId, 			long heartbeatInterval, 			ClusterInformation clusterInformation);1517915730;Create a new {@code TaskExecutorRegistrationSuccess} message.__@param registrationId The ID that the ResourceManager assigned the registration._@param resourceManagerResourceId The unique ID that identifies the ResourceManager._@param heartbeatInterval The interval in which the ResourceManager will heartbeat the TaskExecutor._@param clusterInformation information about the cluster;public TaskExecutorRegistrationSuccess(_			InstanceID registrationId,_			ResourceID resourceManagerResourceId,_			long heartbeatInterval,_			ClusterInformation clusterInformation) {_		this.registrationId = Preconditions.checkNotNull(registrationId)__		this.resourceManagerResourceId = Preconditions.checkNotNull(resourceManagerResourceId)__		this.heartbeatInterval = heartbeatInterval__		this.clusterInformation = Preconditions.checkNotNull(clusterInformation)__	};create,a,new,code,task,executor,registration,success,message,param,registration,id,the,id,that,the,resource,manager,assigned,the,registration,param,resource,manager,resource,id,the,unique,id,that,identifies,the,resource,manager,param,heartbeat,interval,the,interval,in,which,the,resource,manager,will,heartbeat,the,task,executor,param,cluster,information,information,about,the,cluster;public,task,executor,registration,success,instance,id,registration,id,resource,id,resource,manager,resource,id,long,heartbeat,interval,cluster,information,cluster,information,this,registration,id,preconditions,check,not,null,registration,id,this,resource,manager,resource,id,preconditions,check,not,null,resource,manager,resource,id,this,heartbeat,interval,heartbeat,interval,this,cluster,information,preconditions,check,not,null,cluster,information
TaskExecutorRegistrationSuccess -> public TaskExecutorRegistrationSuccess( 			InstanceID registrationId, 			ResourceID resourceManagerResourceId, 			long heartbeatInterval, 			ClusterInformation clusterInformation);1518680659;Create a new {@code TaskExecutorRegistrationSuccess} message.__@param registrationId The ID that the ResourceManager assigned the registration._@param resourceManagerResourceId The unique ID that identifies the ResourceManager._@param heartbeatInterval The interval in which the ResourceManager will heartbeat the TaskExecutor._@param clusterInformation information about the cluster;public TaskExecutorRegistrationSuccess(_			InstanceID registrationId,_			ResourceID resourceManagerResourceId,_			long heartbeatInterval,_			ClusterInformation clusterInformation) {_		this.registrationId = Preconditions.checkNotNull(registrationId)__		this.resourceManagerResourceId = Preconditions.checkNotNull(resourceManagerResourceId)__		this.heartbeatInterval = heartbeatInterval__		this.clusterInformation = Preconditions.checkNotNull(clusterInformation)__	};create,a,new,code,task,executor,registration,success,message,param,registration,id,the,id,that,the,resource,manager,assigned,the,registration,param,resource,manager,resource,id,the,unique,id,that,identifies,the,resource,manager,param,heartbeat,interval,the,interval,in,which,the,resource,manager,will,heartbeat,the,task,executor,param,cluster,information,information,about,the,cluster;public,task,executor,registration,success,instance,id,registration,id,resource,id,resource,manager,resource,id,long,heartbeat,interval,cluster,information,cluster,information,this,registration,id,preconditions,check,not,null,registration,id,this,resource,manager,resource,id,preconditions,check,not,null,resource,manager,resource,id,this,heartbeat,interval,heartbeat,interval,this,cluster,information,preconditions,check,not,null,cluster,information
TaskExecutorRegistrationSuccess -> public ResourceID getResourceManagerId();1490273924;Gets the unique ID that identifies the ResourceManager.;public ResourceID getResourceManagerId() {_		return resourceManagerResourceId__	};gets,the,unique,id,that,identifies,the,resource,manager;public,resource,id,get,resource,manager,id,return,resource,manager,resource,id
TaskExecutorRegistrationSuccess -> public ResourceID getResourceManagerId();1517915730;Gets the unique ID that identifies the ResourceManager.;public ResourceID getResourceManagerId() {_		return resourceManagerResourceId__	};gets,the,unique,id,that,identifies,the,resource,manager;public,resource,id,get,resource,manager,id,return,resource,manager,resource,id
TaskExecutorRegistrationSuccess -> public ResourceID getResourceManagerId();1518680659;Gets the unique ID that identifies the ResourceManager.;public ResourceID getResourceManagerId() {_		return resourceManagerResourceId__	};gets,the,unique,id,that,identifies,the,resource,manager;public,resource,id,get,resource,manager,id,return,resource,manager,resource,id
TaskExecutorRegistrationSuccess -> public ResourceID getResourceManagerId();1532290976;Gets the unique ID that identifies the ResourceManager.;public ResourceID getResourceManagerId() {_		return resourceManagerResourceId__	};gets,the,unique,id,that,identifies,the,resource,manager;public,resource,id,get,resource,manager,id,return,resource,manager,resource,id
TaskExecutorRegistrationSuccess -> public InstanceID getRegistrationId();1482522858;Gets the ID that the ResourceManager assigned the registration.;public InstanceID getRegistrationId() {_		return registrationId__	};gets,the,id,that,the,resource,manager,assigned,the,registration;public,instance,id,get,registration,id,return,registration,id
TaskExecutorRegistrationSuccess -> public InstanceID getRegistrationId();1490273924;Gets the ID that the ResourceManager assigned the registration.;public InstanceID getRegistrationId() {_		return registrationId__	};gets,the,id,that,the,resource,manager,assigned,the,registration;public,instance,id,get,registration,id,return,registration,id
TaskExecutorRegistrationSuccess -> public InstanceID getRegistrationId();1517915730;Gets the ID that the ResourceManager assigned the registration.;public InstanceID getRegistrationId() {_		return registrationId__	};gets,the,id,that,the,resource,manager,assigned,the,registration;public,instance,id,get,registration,id,return,registration,id
TaskExecutorRegistrationSuccess -> public InstanceID getRegistrationId();1518680659;Gets the ID that the ResourceManager assigned the registration.;public InstanceID getRegistrationId() {_		return registrationId__	};gets,the,id,that,the,resource,manager,assigned,the,registration;public,instance,id,get,registration,id,return,registration,id
TaskExecutorRegistrationSuccess -> public InstanceID getRegistrationId();1532290976;Gets the ID that the ResourceManager assigned the registration.;public InstanceID getRegistrationId() {_		return registrationId__	};gets,the,id,that,the,resource,manager,assigned,the,registration;public,instance,id,get,registration,id,return,registration,id
TaskExecutorRegistrationSuccess -> public ClusterInformation getClusterInformation();1517915730;Gets the cluster information.;public ClusterInformation getClusterInformation() {_		return clusterInformation__	};gets,the,cluster,information;public,cluster,information,get,cluster,information,return,cluster,information
TaskExecutorRegistrationSuccess -> public ClusterInformation getClusterInformation();1518680659;Gets the cluster information.;public ClusterInformation getClusterInformation() {_		return clusterInformation__	};gets,the,cluster,information;public,cluster,information,get,cluster,information,return,cluster,information
TaskExecutorRegistrationSuccess -> public ClusterInformation getClusterInformation();1532290976;Gets the cluster information.;public ClusterInformation getClusterInformation() {_		return clusterInformation__	};gets,the,cluster,information;public,cluster,information,get,cluster,information,return,cluster,information
