# id;timestamp;commentText;codeText;commentWords;codeWords
AsyncResult -> <T> AsyncCollectionResult<T> asResultCollection()_;1482206691;Return this async result as a async result collection.__@param <T> Type of the result collection's elements_@return this result as a {@link AsyncCollectionResult}.;<T> AsyncCollectionResult<T> asResultCollection()_;return,this,async,result,as,a,async,result,collection,param,t,type,of,the,result,collection,s,elements,return,this,result,as,a,link,async,collection,result;t,async,collection,result,t,as,result,collection
AsyncResult -> <T> AsyncCollectionResult<T> asResultCollection()_;1482206691;Return this async result as a async result collection.__@param <T> Type of the result collection's elements_@return this result as a {@link AsyncCollectionResult}.;<T> AsyncCollectionResult<T> asResultCollection()_;return,this,async,result,as,a,async,result,collection,param,t,type,of,the,result,collection,s,elements,return,this,result,as,a,link,async,collection,result;t,async,collection,result,t,as,result,collection
AsyncResult -> <T> AsyncCollectionResult<T> asResultCollection()_;1515177485;Return this async result as a async result collection.__@param <T> Type of the result collection's elements_@return this result as a {@link AsyncCollectionResult}.;<T> AsyncCollectionResult<T> asResultCollection()_;return,this,async,result,as,a,async,result,collection,param,t,type,of,the,result,collection,s,elements,return,this,result,as,a,link,async,collection,result;t,async,collection,result,t,as,result,collection
AsyncResult -> boolean isWatermark()_;1482206691;True if the async result is a {@link Watermark}_ otherwise false.__@return True if the async result is a {@link Watermark}_ otherwise false.;boolean isWatermark()_;true,if,the,async,result,is,a,link,watermark,otherwise,false,return,true,if,the,async,result,is,a,link,watermark,otherwise,false;boolean,is,watermark
AsyncResult -> boolean isWatermark()_;1482206691;True if the async result is a {@link Watermark}_ otherwise false.__@return True if the async result is a {@link Watermark}_ otherwise false.;boolean isWatermark()_;true,if,the,async,result,is,a,link,watermark,otherwise,false,return,true,if,the,async,result,is,a,link,watermark,otherwise,false;boolean,is,watermark
AsyncResult -> boolean isWatermark()_;1515177485;True if the async result is a {@link Watermark}_ otherwise false.__@return True if the async result is a {@link Watermark}_ otherwise false.;boolean isWatermark()_;true,if,the,async,result,is,a,link,watermark,otherwise,false,return,true,if,the,async,result,is,a,link,watermark,otherwise,false;boolean,is,watermark
AsyncResult -> boolean isResultCollection()_;1482206691;True fi the async result is a collection of output elements_ otherwise false.__@return True if the async reuslt is a collection of output elements_ otherwise false;boolean isResultCollection()_;true,fi,the,async,result,is,a,collection,of,output,elements,otherwise,false,return,true,if,the,async,reuslt,is,a,collection,of,output,elements,otherwise,false;boolean,is,result,collection
AsyncResult -> boolean isResultCollection()_;1482206691;True fi the async result is a collection of output elements_ otherwise false.__@return True if the async reuslt is a collection of output elements_ otherwise false;boolean isResultCollection()_;true,fi,the,async,result,is,a,collection,of,output,elements,otherwise,false,return,true,if,the,async,reuslt,is,a,collection,of,output,elements,otherwise,false;boolean,is,result,collection
AsyncResult -> boolean isResultCollection()_;1515177485;True fi the async result is a collection of output elements_ otherwise false.__@return True if the async result is a collection of output elements_ otherwise false;boolean isResultCollection()_;true,fi,the,async,result,is,a,collection,of,output,elements,otherwise,false,return,true,if,the,async,result,is,a,collection,of,output,elements,otherwise,false;boolean,is,result,collection
AsyncResult -> AsyncWatermarkResult asWatermark()_;1482206691;Return this async result as a async watermark result.__@return this result as a {@link AsyncWatermarkResult}.;AsyncWatermarkResult asWatermark()_;return,this,async,result,as,a,async,watermark,result,return,this,result,as,a,link,async,watermark,result;async,watermark,result,as,watermark
AsyncResult -> AsyncWatermarkResult asWatermark()_;1482206691;Return this async result as a async watermark result.__@return this result as a {@link AsyncWatermarkResult}.;AsyncWatermarkResult asWatermark()_;return,this,async,result,as,a,async,watermark,result,return,this,result,as,a,link,async,watermark,result;async,watermark,result,as,watermark
AsyncResult -> AsyncWatermarkResult asWatermark()_;1515177485;Return this async result as a async watermark result.__@return this result as a {@link AsyncWatermarkResult}.;AsyncWatermarkResult asWatermark()_;return,this,async,result,as,a,async,watermark,result,return,this,result,as,a,link,async,watermark,result;async,watermark,result,as,watermark
