# id;timestamp;commentText;codeText;commentWords;codeWords
StreamTaskException -> public StreamTaskException(Throwable cause);1445418103;Creates a compiler exception with the given cause and no message.__@param cause_The <tt>Throwable</tt> that caused this exception.;public StreamTaskException(Throwable cause) {_		super(cause)__	};creates,a,compiler,exception,with,the,given,cause,and,no,message,param,cause,the,tt,throwable,tt,that,caused,this,exception;public,stream,task,exception,throwable,cause,super,cause
StreamTaskException -> public StreamTaskException(Throwable cause);1455486690;Creates a compiler exception with the given cause and no message.__@param cause_The <tt>Throwable</tt> that caused this exception.;public StreamTaskException(Throwable cause) {_		super(cause)__	};creates,a,compiler,exception,with,the,given,cause,and,no,message,param,cause,the,tt,throwable,tt,that,caused,this,exception;public,stream,task,exception,throwable,cause,super,cause
StreamTaskException -> public StreamTaskException(Throwable cause);1493195810;Creates a compiler exception with the given cause and no message.__@param cause_The <tt>Throwable</tt> that caused this exception.;public StreamTaskException(Throwable cause) {_		super(cause)__	};creates,a,compiler,exception,with,the,given,cause,and,no,message,param,cause,the,tt,throwable,tt,that,caused,this,exception;public,stream,task,exception,throwable,cause,super,cause
StreamTaskException -> public StreamTaskException(String message);1445418103;Creates a compiler exception with the given message and no cause.__@param message_The message for the exception.;public StreamTaskException(String message) {_		super(message)__	};creates,a,compiler,exception,with,the,given,message,and,no,cause,param,message,the,message,for,the,exception;public,stream,task,exception,string,message,super,message
StreamTaskException -> public StreamTaskException(String message);1455486690;Creates a compiler exception with the given message and no cause.__@param message_The message for the exception.;public StreamTaskException(String message) {_		super(message)__	};creates,a,compiler,exception,with,the,given,message,and,no,cause,param,message,the,message,for,the,exception;public,stream,task,exception,string,message,super,message
StreamTaskException -> public StreamTaskException(String message);1493195810;Creates a compiler exception with the given message and no cause.__@param message_The message for the exception.;public StreamTaskException(String message) {_		super(message)__	};creates,a,compiler,exception,with,the,given,message,and,no,cause,param,message,the,message,for,the,exception;public,stream,task,exception,string,message,super,message
StreamTaskException -> public StreamTaskException(String message, Throwable cause);1445418103;Creates a compiler exception with the given message and cause.__@param message_The message for the exception._@param cause_The <tt>Throwable</tt> that caused this exception.;public StreamTaskException(String message, Throwable cause) {_		super(message, cause)__	};creates,a,compiler,exception,with,the,given,message,and,cause,param,message,the,message,for,the,exception,param,cause,the,tt,throwable,tt,that,caused,this,exception;public,stream,task,exception,string,message,throwable,cause,super,message,cause
StreamTaskException -> public StreamTaskException(String message, Throwable cause);1455486690;Creates a compiler exception with the given message and cause.__@param message_The message for the exception._@param cause_The <tt>Throwable</tt> that caused this exception.;public StreamTaskException(String message, Throwable cause) {_		super(message, cause)__	};creates,a,compiler,exception,with,the,given,message,and,cause,param,message,the,message,for,the,exception,param,cause,the,tt,throwable,tt,that,caused,this,exception;public,stream,task,exception,string,message,throwable,cause,super,message,cause
StreamTaskException -> public StreamTaskException(String message, Throwable cause);1493195810;Creates a compiler exception with the given message and cause.__@param message_The message for the exception._@param cause_The <tt>Throwable</tt> that caused this exception.;public StreamTaskException(String message, Throwable cause) {_		super(message, cause)__	};creates,a,compiler,exception,with,the,given,message,and,cause,param,message,the,message,for,the,exception,param,cause,the,tt,throwable,tt,that,caused,this,exception;public,stream,task,exception,string,message,throwable,cause,super,message,cause
StreamTaskException -> public StreamTaskException();1445418103;Creates a compiler exception with no message and no cause.;public StreamTaskException() {_	};creates,a,compiler,exception,with,no,message,and,no,cause;public,stream,task,exception
StreamTaskException -> public StreamTaskException();1455486690;Creates a compiler exception with no message and no cause.;public StreamTaskException() {_	};creates,a,compiler,exception,with,no,message,and,no,cause;public,stream,task,exception
StreamTaskException -> public StreamTaskException();1493195810;Creates a compiler exception with no message and no cause.;public StreamTaskException() {_	};creates,a,compiler,exception,with,no,message,and,no,cause;public,stream,task,exception
