# id;timestamp;commentText;codeText;commentWords;codeWords
Operation -> public OperationType getType();1507173536;Returns the {@link OperationType type} of the operation._@return the type;public OperationType getType() {_		return this.type__	};returns,the,link,operation,type,type,of,the,operation,return,the,type;public,operation,type,get,type,return,this,type
Operation -> public OperationType getType();1510785698;Returns the {@link OperationType type} of the operation._@return the type;public OperationType getType() {_		return this.type__	};returns,the,link,operation,type,type,of,the,operation,return,the,type;public,operation,type,get,type,return,this,type
Operation -> public OperationInvoker getInvoker();1507173536;Returns the {@code OperationInvoker} that can be used to invoke this endpoint_operation._@return the operation invoker;public OperationInvoker getInvoker() {_		return this.invoker__	};returns,the,code,operation,invoker,that,can,be,used,to,invoke,this,endpoint,operation,return,the,operation,invoker;public,operation,invoker,get,invoker,return,this,invoker
Operation -> public OperationInvoker getInvoker();1510785698;Returns the {@code OperationInvoker} that can be used to invoke this endpoint_operation._@return the operation invoker;public OperationInvoker getInvoker() {_		return this.invoker__	};returns,the,code,operation,invoker,that,can,be,used,to,invoke,this,endpoint,operation,return,the,operation,invoker;public,operation,invoker,get,invoker,return,this,invoker
Operation -> Object invoke(InvocationContext context)_;1518432379;Invoke the underlying operation using the given {@code context}._@param context the context in to use when invoking the operation_@return the result of the operation, may be {@code null};Object invoke(InvocationContext context)_;invoke,the,underlying,operation,using,the,given,code,context,param,context,the,context,in,to,use,when,invoking,the,operation,return,the,result,of,the,operation,may,be,code,null;object,invoke,invocation,context,context
Operation -> Object invoke(InvocationContext context)_;1519045463;Invoke the underlying operation using the given {@code context}._@param context the context in to use when invoking the operation_@return the result of the operation, may be {@code null};Object invoke(InvocationContext context)_;invoke,the,underlying,operation,using,the,given,code,context,param,context,the,context,in,to,use,when,invoking,the,operation,return,the,result,of,the,operation,may,be,code,null;object,invoke,invocation,context,context
Operation -> public boolean isBlocking();1507173536;Whether or not this is a blocking operation.__@return {@code true} if it is a blocking operation, otherwise {@code false}.;public boolean isBlocking() {_		return this.blocking__	};whether,or,not,this,is,a,blocking,operation,return,code,true,if,it,is,a,blocking,operation,otherwise,code,false;public,boolean,is,blocking,return,this,blocking
Operation -> public boolean isBlocking();1510785698;Whether or not this is a blocking operation.__@return {@code true} if it is a blocking operation, otherwise {@code false}.;public boolean isBlocking() {_		return this.blocking__	};whether,or,not,this,is,a,blocking,operation,return,code,true,if,it,is,a,blocking,operation,otherwise,code,false;public,boolean,is,blocking,return,this,blocking
Operation -> OperationType getType()_;1516423464;Returns the {@link OperationType type} of the operation._@return the type;OperationType getType()_;returns,the,link,operation,type,type,of,the,operation,return,the,type;operation,type,get,type
Operation -> OperationType getType()_;1518432379;Returns the {@link OperationType type} of the operation._@return the type;OperationType getType()_;returns,the,link,operation,type,type,of,the,operation,return,the,type;operation,type,get,type
Operation -> OperationType getType()_;1519045463;Returns the {@link OperationType type} of the operation._@return the type;OperationType getType()_;returns,the,link,operation,type,type,of,the,operation,return,the,type;operation,type,get,type
