commented;modifiers;parameterAmount;loc;comment;code
false;public;0;3;;public CacheType getType() {     return this.type. }
false;public;1;3;;public void setType(CacheType mode) {     this.type = mode. }
false;public;0;3;;public List<String> getCacheNames() {     return this.cacheNames. }
false;public;1;3;;public void setCacheNames(List<String> cacheNames) {     this.cacheNames = cacheNames. }
false;public;0;3;;public Caffeine getCaffeine() {     return this.caffeine. }
false;public;0;3;;public Couchbase getCouchbase() {     return this.couchbase. }
false;public;0;3;;public EhCache getEhcache() {     return this.ehcache. }
false;public;0;3;;public Infinispan getInfinispan() {     return this.infinispan. }
false;public;0;3;;public JCache getJcache() {     return this.jcache. }
false;public;0;3;;public Redis getRedis() {     return this.redis. }
true;public;1;8;/**  * Resolve the config location if set.  * @param config the config resource  * @return the location or {@code null} if it is not set  * @throws IllegalArgumentException if the config attribute is set to an unknown  * location  */ ;/**  * Resolve the config location if set.  * @param config the config resource  * @return the location or {@code null} if it is not set  * @throws IllegalArgumentException if the config attribute is set to an unknown  * location  */ public Resource resolveConfigLocation(Resource config) {     if (config != null) {         Assert.isTrue(config.exists(), () -> "Cache configuration does not exist '" + config.getDescription() + "'").         return config.     }     return null. }
false;public;0;3;;public String getSpec() {     return this.spec. }
false;public;1;3;;public void setSpec(String spec) {     this.spec = spec. }
false;public;0;3;;public Duration getExpiration() {     return this.expiration. }
false;public;1;3;;public void setExpiration(Duration expiration) {     this.expiration = expiration. }
false;public;0;3;;public Resource getConfig() {     return this.config. }
false;public;1;3;;public void setConfig(Resource config) {     this.config = config. }
false;public;0;3;;public Resource getConfig() {     return this.config. }
false;public;1;3;;public void setConfig(Resource config) {     this.config = config. }
false;public;0;3;;public String getProvider() {     return this.provider. }
false;public;1;3;;public void setProvider(String provider) {     this.provider = provider. }
false;public;0;3;;public Resource getConfig() {     return this.config. }
false;public;1;3;;public void setConfig(Resource config) {     this.config = config. }
false;public;0;3;;public Duration getTimeToLive() {     return this.timeToLive. }
false;public;1;3;;public void setTimeToLive(Duration timeToLive) {     this.timeToLive = timeToLive. }
false;public;0;3;;public boolean isCacheNullValues() {     return this.cacheNullValues. }
false;public;1;3;;public void setCacheNullValues(boolean cacheNullValues) {     this.cacheNullValues = cacheNullValues. }
false;public;0;3;;public String getKeyPrefix() {     return this.keyPrefix. }
false;public;1;3;;public void setKeyPrefix(String keyPrefix) {     this.keyPrefix = keyPrefix. }
false;public;0;3;;public boolean isUseKeyPrefix() {     return this.useKeyPrefix. }
false;public;1;3;;public void setUseKeyPrefix(boolean useKeyPrefix) {     this.useKeyPrefix = useKeyPrefix. }
