commented;modifiers;parameterAmount;loc;comment;code
false;public;0;3;;public List<String> getUris() {     return this.uris. }
false;public;1;3;;public void setUris(List<String> uris) {     this.uris = uris. }
false;public;0;3;;public String getUsername() {     return this.username. }
false;public;1;3;;public void setUsername(String username) {     this.username = username. }
false;public;0;3;;public String getPassword() {     return this.password. }
false;public;1;3;;public void setPassword(String password) {     this.password = password. }
false;public;0;3;;public boolean isMultiThreaded() {     return this.multiThreaded. }
false;public;1;3;;public void setMultiThreaded(boolean multiThreaded) {     this.multiThreaded = multiThreaded. }
false;public;0;3;;public Duration getConnectionTimeout() {     return this.connectionTimeout. }
false;public;1;3;;public void setConnectionTimeout(Duration connectionTimeout) {     this.connectionTimeout = connectionTimeout. }
false;public;0;3;;public Duration getReadTimeout() {     return this.readTimeout. }
false;public;1;3;;public void setReadTimeout(Duration readTimeout) {     this.readTimeout = readTimeout. }
false;public;0;3;;public Proxy getProxy() {     return this.proxy. }
false;public;0;3;;public String getHost() {     return this.host. }
false;public;1;3;;public void setHost(String host) {     this.host = host. }
false;public;0;3;;public Integer getPort() {     return this.port. }
false;public;1;3;;public void setPort(Integer port) {     this.port = port. }
