commented;modifiers;parameterAmount;loc;comment;code
false;public;0;3;;public Pool getPool() {     return this.pool. }
false;public;0;3;;public Shutdown getShutdown() {     return this.shutdown. }
false;public;0;3;;public String getThreadNamePrefix() {     return this.threadNamePrefix. }
false;public;1;3;;public void setThreadNamePrefix(String threadNamePrefix) {     this.threadNamePrefix = threadNamePrefix. }
false;public;0;3;;public int getSize() {     return this.size. }
false;public;1;3;;public void setSize(int size) {     this.size = size. }
false;public;0;3;;public boolean isAwaitTermination() {     return this.awaitTermination. }
false;public;1;3;;public void setAwaitTermination(boolean awaitTermination) {     this.awaitTermination = awaitTermination. }
false;public;0;3;;public Duration getAwaitTerminationPeriod() {     return this.awaitTerminationPeriod. }
false;public;1;3;;public void setAwaitTerminationPeriod(Duration awaitTerminationPeriod) {     this.awaitTerminationPeriod = awaitTerminationPeriod. }
