commented;modifiers;parameterAmount;loc;comment;code
false;public;0;3;;public boolean getEnabled() {     return this.enabled. }
false;public;1;3;;public void setEnabled(boolean enabled) {     this.enabled = enabled. }
false;public;0;3;;public String getLocation() {     return this.location. }
false;public;1;3;;public void setLocation(String location) {     this.location = location. }
false;public;0;3;;public DataSize getMaxFileSize() {     return this.maxFileSize. }
false;public;1;3;;public void setMaxFileSize(DataSize maxFileSize) {     this.maxFileSize = maxFileSize. }
false;public;0;3;;public DataSize getMaxRequestSize() {     return this.maxRequestSize. }
false;public;1;3;;public void setMaxRequestSize(DataSize maxRequestSize) {     this.maxRequestSize = maxRequestSize. }
false;public;0;3;;public DataSize getFileSizeThreshold() {     return this.fileSizeThreshold. }
false;public;1;3;;public void setFileSizeThreshold(DataSize fileSizeThreshold) {     this.fileSizeThreshold = fileSizeThreshold. }
false;public;0;3;;public boolean isResolveLazily() {     return this.resolveLazily. }
false;public;1;3;;public void setResolveLazily(boolean resolveLazily) {     this.resolveLazily = resolveLazily. }
true;public;0;9;/**  * Create a new {@link MultipartConfigElement} using the properties.  * @return a new {@link MultipartConfigElement} configured using there properties  */ ;/**  * Create a new {@link MultipartConfigElement} using the properties.  * @return a new {@link MultipartConfigElement} configured using there properties  */ public MultipartConfigElement createMultipartConfig() {     MultipartConfigFactory factory = new MultipartConfigFactory().     PropertyMapper map = PropertyMapper.get().alwaysApplyingWhenNonNull().     map.from(this.fileSizeThreshold).to(factory::setFileSizeThreshold).     map.from(this.location).whenHasText().to(factory::setLocation).     map.from(this.maxRequestSize).to(factory::setMaxRequestSize).     map.from(this.maxFileSize).to(factory::setMaxFileSize).     return factory.createMultipartConfig(). }
