commented;modifiers;parameterAmount;loc;comment;code
true;public;1;3;/**  * Set the given object as target.  * Will create a SingletonTargetSource for the object.  * @see #setTargetSource  * @see org.springframework.aop.target.SingletonTargetSource  */ ;/**  * Set the given object as target.  * Will create a SingletonTargetSource for the object.  * @see #setTargetSource  * @see org.springframework.aop.target.SingletonTargetSource  */ public void setTarget(Object target) {     setTargetSource(new SingletonTargetSource(target)). }
false;public;1;4;;@Override public void setTargetSource(@Nullable TargetSource targetSource) {     this.targetSource = (targetSource != null ? targetSource : EMPTY_TARGET_SOURCE). }
false;public;0;4;;@Override public TargetSource getTargetSource() {     return this.targetSource. }
true;public;1;3;/**  * Set a target class to be proxied, indicating that the proxy  * should be castable to the given class.  * <p>Internally, an {@link org.springframework.aop.target.EmptyTargetSource}  * for the given target class will be used. The kind of proxy needed  * will be determined on actual creation of the proxy.  * <p>This is a replacement for setting a "targetSource" or "target",  * for the case where we want a proxy based on a target class  * (which can be an interface or a concrete class) without having  * a fully capable TargetSource available.  * @see #setTargetSource  * @see #setTarget  */ ;/**  * Set a target class to be proxied, indicating that the proxy  * should be castable to the given class.  * <p>Internally, an {@link org.springframework.aop.target.EmptyTargetSource}  * for the given target class will be used. The kind of proxy needed  * will be determined on actual creation of the proxy.  * <p>This is a replacement for setting a "targetSource" or "target",  * for the case where we want a proxy based on a target class  * (which can be an interface or a concrete class) without having  * a fully capable TargetSource available.  * @see #setTargetSource  * @see #setTarget  */ public void setTargetClass(@Nullable Class<?> targetClass) {     this.targetSource = EmptyTargetSource.forClass(targetClass). }
false;public;0;5;;@Override @Nullable public Class<?> getTargetClass() {     return this.targetSource.getTargetClass(). }
false;public;1;4;;@Override public void setPreFiltered(boolean preFiltered) {     this.preFiltered = preFiltered. }
false;public;0;4;;@Override public boolean isPreFiltered() {     return this.preFiltered. }
true;public;1;4;/**  * Set the advisor chain factory to use.  * <p>Default is a {@link DefaultAdvisorChainFactory}.  */ ;/**  * Set the advisor chain factory to use.  * <p>Default is a {@link DefaultAdvisorChainFactory}.  */ public void setAdvisorChainFactory(AdvisorChainFactory advisorChainFactory) {     Assert.notNull(advisorChainFactory, "AdvisorChainFactory must not be null").     this.advisorChainFactory = advisorChainFactory. }
true;public;0;3;/**  * Return the advisor chain factory to use (never {@code null}).  */ ;/**  * Return the advisor chain factory to use (never {@code null}).  */ public AdvisorChainFactory getAdvisorChainFactory() {     return this.advisorChainFactory. }
true;public;1;7;/**  * Set the interfaces to be proxied.  */ ;/**  * Set the interfaces to be proxied.  */ public void setInterfaces(Class<?>... interfaces) {     Assert.notNull(interfaces, "Interfaces must not be null").     this.interfaces.clear().     for (Class<?> ifc : interfaces) {         addInterface(ifc).     } }
true;public;1;10;/**  * Add a new proxied interface.  * @param intf the additional interface to proxy  */ ;/**  * Add a new proxied interface.  * @param intf the additional interface to proxy  */ public void addInterface(Class<?> intf) {     Assert.notNull(intf, "Interface must not be null").     if (!intf.isInterface()) {         throw new IllegalArgumentException("[" + intf.getName() + "] is not an interface").     }     if (!this.interfaces.contains(intf)) {         this.interfaces.add(intf).         adviceChanged().     } }
true;public;1;3;/**  * Remove a proxied interface.  * <p>Does nothing if the given interface isn't proxied.  * @param intf the interface to remove from the proxy  * @return {@code true} if the interface was removed. {@code false}  * if the interface was not found and hence could not be removed  */ ;/**  * Remove a proxied interface.  * <p>Does nothing if the given interface isn't proxied.  * @param intf the interface to remove from the proxy  * @return {@code true} if the interface was removed. {@code false}  * if the interface was not found and hence could not be removed  */ public boolean removeInterface(Class<?> intf) {     return this.interfaces.remove(intf). }
false;public;0;4;;@Override public Class<?>[] getProxiedInterfaces() {     return ClassUtils.toClassArray(this.interfaces). }
false;public;1;9;;@Override public boolean isInterfaceProxied(Class<?> intf) {     for (Class<?> proxyIntf : this.interfaces) {         if (intf.isAssignableFrom(proxyIntf)) {             return true.         }     }     return false. }
