# id;timestamp;commentText;codeText;commentWords;codeWords
BeanDefinitionReader -> @Nullable 	ClassLoader getBeanClassLoader()_;1495868221;Return the class loader to use for bean classes._<p>{@code null} suggests to not load bean classes eagerly_but rather to just register bean definitions with class names,_with the corresponding Classes to be resolved later (or never).;@Nullable_	ClassLoader getBeanClassLoader()_;return,the,class,loader,to,use,for,bean,classes,p,code,null,suggests,to,not,load,bean,classes,eagerly,but,rather,to,just,register,bean,definitions,with,class,names,with,the,corresponding,classes,to,be,resolved,later,or,never;nullable,class,loader,get,bean,class,loader
BeanDefinitionReader -> @Nullable 	ClassLoader getBeanClassLoader()_;1496837955;Return the class loader to use for bean classes._<p>{@code null} suggests to not load bean classes eagerly_but rather to just register bean definitions with class names,_with the corresponding Classes to be resolved later (or never).;@Nullable_	ClassLoader getBeanClassLoader()_;return,the,class,loader,to,use,for,bean,classes,p,code,null,suggests,to,not,load,bean,classes,eagerly,but,rather,to,just,register,bean,definitions,with,class,names,with,the,corresponding,classes,to,be,resolved,later,or,never;nullable,class,loader,get,bean,class,loader
BeanDefinitionReader -> int loadBeanDefinitions(Resource resource) throws BeanDefinitionStoreException_;1328020251;Load bean definitions from the specified resource._@param resource the resource descriptor_@return the number of bean definitions found_@throws BeanDefinitionStoreException in case of loading or parsing errors;int loadBeanDefinitions(Resource resource) throws BeanDefinitionStoreException_;load,bean,definitions,from,the,specified,resource,param,resource,the,resource,descriptor,return,the,number,of,bean,definitions,found,throws,bean,definition,store,exception,in,case,of,loading,or,parsing,errors;int,load,bean,definitions,resource,resource,throws,bean,definition,store,exception
BeanDefinitionReader -> int loadBeanDefinitions(Resource resource) throws BeanDefinitionStoreException_;1356735495;Load bean definitions from the specified resource._@param resource the resource descriptor_@return the number of bean definitions found_@throws BeanDefinitionStoreException in case of loading or parsing errors;int loadBeanDefinitions(Resource resource) throws BeanDefinitionStoreException_;load,bean,definitions,from,the,specified,resource,param,resource,the,resource,descriptor,return,the,number,of,bean,definitions,found,throws,bean,definition,store,exception,in,case,of,loading,or,parsing,errors;int,load,bean,definitions,resource,resource,throws,bean,definition,store,exception
BeanDefinitionReader -> int loadBeanDefinitions(Resource resource) throws BeanDefinitionStoreException_;1382030631;Load bean definitions from the specified resource._@param resource the resource descriptor_@return the number of bean definitions found_@throws BeanDefinitionStoreException in case of loading or parsing errors;int loadBeanDefinitions(Resource resource) throws BeanDefinitionStoreException_;load,bean,definitions,from,the,specified,resource,param,resource,the,resource,descriptor,return,the,number,of,bean,definitions,found,throws,bean,definition,store,exception,in,case,of,loading,or,parsing,errors;int,load,bean,definitions,resource,resource,throws,bean,definition,store,exception
BeanDefinitionReader -> int loadBeanDefinitions(Resource resource) throws BeanDefinitionStoreException_;1495868221;Load bean definitions from the specified resource._@param resource the resource descriptor_@return the number of bean definitions found_@throws BeanDefinitionStoreException in case of loading or parsing errors;int loadBeanDefinitions(Resource resource) throws BeanDefinitionStoreException_;load,bean,definitions,from,the,specified,resource,param,resource,the,resource,descriptor,return,the,number,of,bean,definitions,found,throws,bean,definition,store,exception,in,case,of,loading,or,parsing,errors;int,load,bean,definitions,resource,resource,throws,bean,definition,store,exception
BeanDefinitionReader -> int loadBeanDefinitions(Resource resource) throws BeanDefinitionStoreException_;1496837955;Load bean definitions from the specified resource._@param resource the resource descriptor_@return the number of bean definitions found_@throws BeanDefinitionStoreException in case of loading or parsing errors;int loadBeanDefinitions(Resource resource) throws BeanDefinitionStoreException_;load,bean,definitions,from,the,specified,resource,param,resource,the,resource,descriptor,return,the,number,of,bean,definitions,found,throws,bean,definition,store,exception,in,case,of,loading,or,parsing,errors;int,load,bean,definitions,resource,resource,throws,bean,definition,store,exception
BeanDefinitionReader -> int loadBeanDefinitions(String location) throws BeanDefinitionStoreException_;1328020251;Load bean definitions from the specified resource location._<p>The location can also be a location pattern, provided that the_ResourceLoader of this bean definition reader is a ResourcePatternResolver._@param location the resource location, to be loaded with the ResourceLoader_(or ResourcePatternResolver) of this bean definition reader_@return the number of bean definitions found_@throws BeanDefinitionStoreException in case of loading or parsing errors_@see #getResourceLoader()_@see #loadBeanDefinitions(org.springframework.core.io.Resource)_@see #loadBeanDefinitions(org.springframework.core.io.Resource[]);int loadBeanDefinitions(String location) throws BeanDefinitionStoreException_;load,bean,definitions,from,the,specified,resource,location,p,the,location,can,also,be,a,location,pattern,provided,that,the,resource,loader,of,this,bean,definition,reader,is,a,resource,pattern,resolver,param,location,the,resource,location,to,be,loaded,with,the,resource,loader,or,resource,pattern,resolver,of,this,bean,definition,reader,return,the,number,of,bean,definitions,found,throws,bean,definition,store,exception,in,case,of,loading,or,parsing,errors,see,get,resource,loader,see,load,bean,definitions,org,springframework,core,io,resource,see,load,bean,definitions,org,springframework,core,io,resource;int,load,bean,definitions,string,location,throws,bean,definition,store,exception
BeanDefinitionReader -> int loadBeanDefinitions(String location) throws BeanDefinitionStoreException_;1356735495;Load bean definitions from the specified resource location._<p>The location can also be a location pattern, provided that the_ResourceLoader of this bean definition reader is a ResourcePatternResolver._@param location the resource location, to be loaded with the ResourceLoader_(or ResourcePatternResolver) of this bean definition reader_@return the number of bean definitions found_@throws BeanDefinitionStoreException in case of loading or parsing errors_@see #getResourceLoader()_@see #loadBeanDefinitions(org.springframework.core.io.Resource)_@see #loadBeanDefinitions(org.springframework.core.io.Resource[]);int loadBeanDefinitions(String location) throws BeanDefinitionStoreException_;load,bean,definitions,from,the,specified,resource,location,p,the,location,can,also,be,a,location,pattern,provided,that,the,resource,loader,of,this,bean,definition,reader,is,a,resource,pattern,resolver,param,location,the,resource,location,to,be,loaded,with,the,resource,loader,or,resource,pattern,resolver,of,this,bean,definition,reader,return,the,number,of,bean,definitions,found,throws,bean,definition,store,exception,in,case,of,loading,or,parsing,errors,see,get,resource,loader,see,load,bean,definitions,org,springframework,core,io,resource,see,load,bean,definitions,org,springframework,core,io,resource;int,load,bean,definitions,string,location,throws,bean,definition,store,exception
BeanDefinitionReader -> int loadBeanDefinitions(String location) throws BeanDefinitionStoreException_;1382030631;Load bean definitions from the specified resource location._<p>The location can also be a location pattern, provided that the_ResourceLoader of this bean definition reader is a ResourcePatternResolver._@param location the resource location, to be loaded with the ResourceLoader_(or ResourcePatternResolver) of this bean definition reader_@return the number of bean definitions found_@throws BeanDefinitionStoreException in case of loading or parsing errors_@see #getResourceLoader()_@see #loadBeanDefinitions(org.springframework.core.io.Resource)_@see #loadBeanDefinitions(org.springframework.core.io.Resource[]);int loadBeanDefinitions(String location) throws BeanDefinitionStoreException_;load,bean,definitions,from,the,specified,resource,location,p,the,location,can,also,be,a,location,pattern,provided,that,the,resource,loader,of,this,bean,definition,reader,is,a,resource,pattern,resolver,param,location,the,resource,location,to,be,loaded,with,the,resource,loader,or,resource,pattern,resolver,of,this,bean,definition,reader,return,the,number,of,bean,definitions,found,throws,bean,definition,store,exception,in,case,of,loading,or,parsing,errors,see,get,resource,loader,see,load,bean,definitions,org,springframework,core,io,resource,see,load,bean,definitions,org,springframework,core,io,resource;int,load,bean,definitions,string,location,throws,bean,definition,store,exception
