# id;timestamp;commentText;codeText;commentWords;codeWords
DelegatingWork -> public final Runnable getDelegate();1328020251;Return the wrapped Runnable implementation.;public final Runnable getDelegate() {_		return this.delegate__	};return,the,wrapped,runnable,implementation;public,final,runnable,get,delegate,return,this,delegate
DelegatingWork -> public final Runnable getDelegate();1356735495;Return the wrapped Runnable implementation.;public final Runnable getDelegate() {_		return this.delegate__	};return,the,wrapped,runnable,implementation;public,final,runnable,get,delegate,return,this,delegate
DelegatingWork -> public final Runnable getDelegate();1357119239;Return the wrapped Runnable implementation.;public final Runnable getDelegate() {_		return this.delegate__	};return,the,wrapped,runnable,implementation;public,final,runnable,get,delegate,return,this,delegate
DelegatingWork -> public final Runnable getDelegate();1368482696;Return the wrapped Runnable implementation.;public final Runnable getDelegate() {_		return this.delegate__	};return,the,wrapped,runnable,implementation;public,final,runnable,get,delegate,return,this,delegate
DelegatingWork -> public final Runnable getDelegate();1533213510;Return the wrapped Runnable implementation.;public final Runnable getDelegate() {_		return this.delegate__	};return,the,wrapped,runnable,implementation;public,final,runnable,get,delegate,return,this,delegate
DelegatingWork -> @Override 	public boolean isDaemon();1356735495;This implementation delegates to_{@link org.springframework.scheduling.SchedulingAwareRunnable#isLongLived()},_if available.;@Override_	public boolean isDaemon() {_		return (this.delegate instanceof SchedulingAwareRunnable &&_				((SchedulingAwareRunnable) this.delegate).isLongLived())__	};this,implementation,delegates,to,link,org,springframework,scheduling,scheduling,aware,runnable,is,long,lived,if,available;override,public,boolean,is,daemon,return,this,delegate,instanceof,scheduling,aware,runnable,scheduling,aware,runnable,this,delegate,is,long,lived
DelegatingWork -> @Override 	public boolean isDaemon();1368482696;This implementation delegates to_{@link org.springframework.scheduling.SchedulingAwareRunnable#isLongLived()},_if available.;@Override_	public boolean isDaemon() {_		return (this.delegate instanceof SchedulingAwareRunnable &&_				((SchedulingAwareRunnable) this.delegate).isLongLived())__	};this,implementation,delegates,to,link,org,springframework,scheduling,scheduling,aware,runnable,is,long,lived,if,available;override,public,boolean,is,daemon,return,this,delegate,instanceof,scheduling,aware,runnable,scheduling,aware,runnable,this,delegate,is,long,lived
DelegatingWork -> @Override 	public boolean isDaemon();1533213510;This implementation delegates to_{@link org.springframework.scheduling.SchedulingAwareRunnable#isLongLived()},_if available.;@Override_	public boolean isDaemon() {_		return (this.delegate instanceof SchedulingAwareRunnable &&_				((SchedulingAwareRunnable) this.delegate).isLongLived())__	};this,implementation,delegates,to,link,org,springframework,scheduling,scheduling,aware,runnable,is,long,lived,if,available;override,public,boolean,is,daemon,return,this,delegate,instanceof,scheduling,aware,runnable,scheduling,aware,runnable,this,delegate,is,long,lived
DelegatingWork -> @Override 	public void release();1356735495;This implementation is empty, since we expect the Runnable_to terminate based on some specific shutdown signal.;@Override_	public void release() {_	};this,implementation,is,empty,since,we,expect,the,runnable,to,terminate,based,on,some,specific,shutdown,signal;override,public,void,release
DelegatingWork -> @Override 	public void release();1368482696;This implementation is empty, since we expect the Runnable_to terminate based on some specific shutdown signal.;@Override_	public void release() {_	};this,implementation,is,empty,since,we,expect,the,runnable,to,terminate,based,on,some,specific,shutdown,signal;override,public,void,release
