# id;timestamp;commentText;codeText;commentWords;codeWords
AdaptableJobFactory -> @Override 	public Job newJob(TriggerFiredBundle bundle) throws SchedulerException;1356735495;Quartz 1.x version of newJob: contains actual implementation code.;@Override_	public Job newJob(TriggerFiredBundle bundle) throws SchedulerException {_		try {_			Object jobObject = createJobInstance(bundle)__			return adaptJob(jobObject)__		}_		catch (Exception ex) {_			throw new SchedulerException("Job instantiation failed", ex)__		}_	};quartz,1,x,version,of,new,job,contains,actual,implementation,code;override,public,job,new,job,trigger,fired,bundle,bundle,throws,scheduler,exception,try,object,job,object,create,job,instance,bundle,return,adapt,job,job,object,catch,exception,ex,throw,new,scheduler,exception,job,instantiation,failed,ex
AdaptableJobFactory -> @Override 	public Job newJob(TriggerFiredBundle bundle) throws SchedulerException;1368482696;Quartz 1.x version of newJob: contains actual implementation code.;@Override_	public Job newJob(TriggerFiredBundle bundle) throws SchedulerException {_		try {_			Object jobObject = createJobInstance(bundle)__			return adaptJob(jobObject)__		}_		catch (Exception ex) {_			throw new SchedulerException("Job instantiation failed", ex)__		}_	};quartz,1,x,version,of,new,job,contains,actual,implementation,code;override,public,job,new,job,trigger,fired,bundle,bundle,throws,scheduler,exception,try,object,job,object,create,job,instance,bundle,return,adapt,job,job,object,catch,exception,ex,throw,new,scheduler,exception,job,instantiation,failed,ex
AdaptableJobFactory -> @Override 	public Job newJob(TriggerFiredBundle bundle) throws SchedulerException;1375198429;Quartz 1.x version of newJob: contains actual implementation code.;@Override_	public Job newJob(TriggerFiredBundle bundle) throws SchedulerException {_		try {_			Object jobObject = createJobInstance(bundle)__			return adaptJob(jobObject)__		}_		catch (Exception ex) {_			throw new SchedulerException("Job instantiation failed", ex)__		}_	};quartz,1,x,version,of,new,job,contains,actual,implementation,code;override,public,job,new,job,trigger,fired,bundle,bundle,throws,scheduler,exception,try,object,job,object,create,job,instance,bundle,return,adapt,job,job,object,catch,exception,ex,throw,new,scheduler,exception,job,instantiation,failed,ex
AdaptableJobFactory -> @Override 	public Job newJob(TriggerFiredBundle bundle) throws SchedulerException;1385412762;Quartz 1.x version of newJob: contains actual implementation code.;@Override_	public Job newJob(TriggerFiredBundle bundle) throws SchedulerException {_		try {_			Object jobObject = createJobInstance(bundle)__			return adaptJob(jobObject)__		}_		catch (Exception ex) {_			throw new SchedulerException("Job instantiation failed", ex)__		}_	};quartz,1,x,version,of,new,job,contains,actual,implementation,code;override,public,job,new,job,trigger,fired,bundle,bundle,throws,scheduler,exception,try,object,job,object,create,job,instance,bundle,return,adapt,job,job,object,catch,exception,ex,throw,new,scheduler,exception,job,instantiation,failed,ex
AdaptableJobFactory -> @Override 	public Job newJob(TriggerFiredBundle bundle) throws SchedulerException;1388954345;Quartz 1.x version of newJob: contains actual implementation code.;@Override_	public Job newJob(TriggerFiredBundle bundle) throws SchedulerException {_		try {_			Object jobObject = createJobInstance(bundle)__			return adaptJob(jobObject)__		}_		catch (Exception ex) {_			throw new SchedulerException("Job instantiation failed", ex)__		}_	};quartz,1,x,version,of,new,job,contains,actual,implementation,code;override,public,job,new,job,trigger,fired,bundle,bundle,throws,scheduler,exception,try,object,job,object,create,job,instance,bundle,return,adapt,job,job,object,catch,exception,ex,throw,new,scheduler,exception,job,instantiation,failed,ex
AdaptableJobFactory -> protected Job adaptJob(Object jobObject) throws Exception;1328020251;Adapt the given job object to the Quartz Job interface._<p>The default implementation supports straight Quartz Jobs_as well as Runnables, which get wrapped in a DelegatingJob._@param jobObject the original instance of the specified job class_@return the adapted Quartz Job instance_@throws Exception if the given job could not be adapted_@see DelegatingJob;protected Job adaptJob(Object jobObject) throws Exception {_		if (jobObject instanceof Job) {_			return (Job) jobObject__		}_		else if (jobObject instanceof Runnable) {_			return new DelegatingJob((Runnable) jobObject)__		}_		else {_			throw new IllegalArgumentException("Unable to execute job class [" + jobObject.getClass().getName() +_					"]: only [org.quartz.Job] and [java.lang.Runnable] supported.")__		}_	};adapt,the,given,job,object,to,the,quartz,job,interface,p,the,default,implementation,supports,straight,quartz,jobs,as,well,as,runnables,which,get,wrapped,in,a,delegating,job,param,job,object,the,original,instance,of,the,specified,job,class,return,the,adapted,quartz,job,instance,throws,exception,if,the,given,job,could,not,be,adapted,see,delegating,job;protected,job,adapt,job,object,job,object,throws,exception,if,job,object,instanceof,job,return,job,job,object,else,if,job,object,instanceof,runnable,return,new,delegating,job,runnable,job,object,else,throw,new,illegal,argument,exception,unable,to,execute,job,class,job,object,get,class,get,name,only,org,quartz,job,and,java,lang,runnable,supported
AdaptableJobFactory -> protected Job adaptJob(Object jobObject) throws Exception;1356735495;Adapt the given job object to the Quartz Job interface._<p>The default implementation supports straight Quartz Jobs_as well as Runnables, which get wrapped in a DelegatingJob._@param jobObject the original instance of the specified job class_@return the adapted Quartz Job instance_@throws Exception if the given job could not be adapted_@see DelegatingJob;protected Job adaptJob(Object jobObject) throws Exception {_		if (jobObject instanceof Job) {_			return (Job) jobObject__		}_		else if (jobObject instanceof Runnable) {_			return new DelegatingJob((Runnable) jobObject)__		}_		else {_			throw new IllegalArgumentException("Unable to execute job class [" + jobObject.getClass().getName() +_					"]: only [org.quartz.Job] and [java.lang.Runnable] supported.")__		}_	};adapt,the,given,job,object,to,the,quartz,job,interface,p,the,default,implementation,supports,straight,quartz,jobs,as,well,as,runnables,which,get,wrapped,in,a,delegating,job,param,job,object,the,original,instance,of,the,specified,job,class,return,the,adapted,quartz,job,instance,throws,exception,if,the,given,job,could,not,be,adapted,see,delegating,job;protected,job,adapt,job,object,job,object,throws,exception,if,job,object,instanceof,job,return,job,job,object,else,if,job,object,instanceof,runnable,return,new,delegating,job,runnable,job,object,else,throw,new,illegal,argument,exception,unable,to,execute,job,class,job,object,get,class,get,name,only,org,quartz,job,and,java,lang,runnable,supported
AdaptableJobFactory -> protected Job adaptJob(Object jobObject) throws Exception;1357119239;Adapt the given job object to the Quartz Job interface._<p>The default implementation supports straight Quartz Jobs_as well as Runnables, which get wrapped in a DelegatingJob._@param jobObject the original instance of the specified job class_@return the adapted Quartz Job instance_@throws Exception if the given job could not be adapted_@see DelegatingJob;protected Job adaptJob(Object jobObject) throws Exception {_		if (jobObject instanceof Job) {_			return (Job) jobObject__		}_		else if (jobObject instanceof Runnable) {_			return new DelegatingJob((Runnable) jobObject)__		}_		else {_			throw new IllegalArgumentException("Unable to execute job class [" + jobObject.getClass().getName() +_					"]: only [org.quartz.Job] and [java.lang.Runnable] supported.")__		}_	};adapt,the,given,job,object,to,the,quartz,job,interface,p,the,default,implementation,supports,straight,quartz,jobs,as,well,as,runnables,which,get,wrapped,in,a,delegating,job,param,job,object,the,original,instance,of,the,specified,job,class,return,the,adapted,quartz,job,instance,throws,exception,if,the,given,job,could,not,be,adapted,see,delegating,job;protected,job,adapt,job,object,job,object,throws,exception,if,job,object,instanceof,job,return,job,job,object,else,if,job,object,instanceof,runnable,return,new,delegating,job,runnable,job,object,else,throw,new,illegal,argument,exception,unable,to,execute,job,class,job,object,get,class,get,name,only,org,quartz,job,and,java,lang,runnable,supported
AdaptableJobFactory -> protected Job adaptJob(Object jobObject) throws Exception;1363730577;Adapt the given job object to the Quartz Job interface._<p>The default implementation supports straight Quartz Jobs_as well as Runnables, which get wrapped in a DelegatingJob._@param jobObject the original instance of the specified job class_@return the adapted Quartz Job instance_@throws Exception if the given job could not be adapted_@see DelegatingJob;protected Job adaptJob(Object jobObject) throws Exception {_		if (jobObject instanceof Job) {_			return (Job) jobObject__		}_		else if (jobObject instanceof Runnable) {_			return new DelegatingJob((Runnable) jobObject)__		}_		else {_			throw new IllegalArgumentException("Unable to execute job class [" + jobObject.getClass().getName() +_					"]: only [org.quartz.Job] and [java.lang.Runnable] supported.")__		}_	};adapt,the,given,job,object,to,the,quartz,job,interface,p,the,default,implementation,supports,straight,quartz,jobs,as,well,as,runnables,which,get,wrapped,in,a,delegating,job,param,job,object,the,original,instance,of,the,specified,job,class,return,the,adapted,quartz,job,instance,throws,exception,if,the,given,job,could,not,be,adapted,see,delegating,job;protected,job,adapt,job,object,job,object,throws,exception,if,job,object,instanceof,job,return,job,job,object,else,if,job,object,instanceof,runnable,return,new,delegating,job,runnable,job,object,else,throw,new,illegal,argument,exception,unable,to,execute,job,class,job,object,get,class,get,name,only,org,quartz,job,and,java,lang,runnable,supported
AdaptableJobFactory -> protected Job adaptJob(Object jobObject) throws Exception;1368482696;Adapt the given job object to the Quartz Job interface._<p>The default implementation supports straight Quartz Jobs_as well as Runnables, which get wrapped in a DelegatingJob._@param jobObject the original instance of the specified job class_@return the adapted Quartz Job instance_@throws Exception if the given job could not be adapted_@see DelegatingJob;protected Job adaptJob(Object jobObject) throws Exception {_		if (jobObject instanceof Job) {_			return (Job) jobObject__		}_		else if (jobObject instanceof Runnable) {_			return new DelegatingJob((Runnable) jobObject)__		}_		else {_			throw new IllegalArgumentException("Unable to execute job class [" + jobObject.getClass().getName() +_					"]: only [org.quartz.Job] and [java.lang.Runnable] supported.")__		}_	};adapt,the,given,job,object,to,the,quartz,job,interface,p,the,default,implementation,supports,straight,quartz,jobs,as,well,as,runnables,which,get,wrapped,in,a,delegating,job,param,job,object,the,original,instance,of,the,specified,job,class,return,the,adapted,quartz,job,instance,throws,exception,if,the,given,job,could,not,be,adapted,see,delegating,job;protected,job,adapt,job,object,job,object,throws,exception,if,job,object,instanceof,job,return,job,job,object,else,if,job,object,instanceof,runnable,return,new,delegating,job,runnable,job,object,else,throw,new,illegal,argument,exception,unable,to,execute,job,class,job,object,get,class,get,name,only,org,quartz,job,and,java,lang,runnable,supported
AdaptableJobFactory -> protected Job adaptJob(Object jobObject) throws Exception;1375198429;Adapt the given job object to the Quartz Job interface._<p>The default implementation supports straight Quartz Jobs_as well as Runnables, which get wrapped in a DelegatingJob._@param jobObject the original instance of the specified job class_@return the adapted Quartz Job instance_@throws Exception if the given job could not be adapted_@see DelegatingJob;protected Job adaptJob(Object jobObject) throws Exception {_		if (jobObject instanceof Job) {_			return (Job) jobObject__		}_		else if (jobObject instanceof Runnable) {_			return new DelegatingJob((Runnable) jobObject)__		}_		else {_			throw new IllegalArgumentException("Unable to execute job class [" + jobObject.getClass().getName() +_					"]: only [org.quartz.Job] and [java.lang.Runnable] supported.")__		}_	};adapt,the,given,job,object,to,the,quartz,job,interface,p,the,default,implementation,supports,straight,quartz,jobs,as,well,as,runnables,which,get,wrapped,in,a,delegating,job,param,job,object,the,original,instance,of,the,specified,job,class,return,the,adapted,quartz,job,instance,throws,exception,if,the,given,job,could,not,be,adapted,see,delegating,job;protected,job,adapt,job,object,job,object,throws,exception,if,job,object,instanceof,job,return,job,job,object,else,if,job,object,instanceof,runnable,return,new,delegating,job,runnable,job,object,else,throw,new,illegal,argument,exception,unable,to,execute,job,class,job,object,get,class,get,name,only,org,quartz,job,and,java,lang,runnable,supported
