# id;timestamp;commentText;codeText;commentWords;codeWords
DefaultResourceLoader -> public void addProtocolResolver(ProtocolResolver resolver);1455225686;Register the given resolver with this resource loader, allowing for_additional protocols to be handled._<p>Any such resolver will be invoked ahead of this loader's standard_resolution rules. It may therefore also override any default rules._@since 4.3_@see #getProtocolResolvers();public void addProtocolResolver(ProtocolResolver resolver) {_		Assert.notNull(resolver, "ProtocolResolver must not be null")__		this.protocolResolvers.add(resolver)__	};register,the,given,resolver,with,this,resource,loader,allowing,for,additional,protocols,to,be,handled,p,any,such,resolver,will,be,invoked,ahead,of,this,loader,s,standard,resolution,rules,it,may,therefore,also,override,any,default,rules,since,4,3,see,get,protocol,resolvers;public,void,add,protocol,resolver,protocol,resolver,resolver,assert,not,null,resolver,protocol,resolver,must,not,be,null,this,protocol,resolvers,add,resolver
DefaultResourceLoader -> public void addProtocolResolver(ProtocolResolver resolver);1467730834;Register the given resolver with this resource loader, allowing for_additional protocols to be handled._<p>Any such resolver will be invoked ahead of this loader's standard_resolution rules. It may therefore also override any default rules._@since 4.3_@see #getProtocolResolvers();public void addProtocolResolver(ProtocolResolver resolver) {_		Assert.notNull(resolver, "ProtocolResolver must not be null")__		this.protocolResolvers.add(resolver)__	};register,the,given,resolver,with,this,resource,loader,allowing,for,additional,protocols,to,be,handled,p,any,such,resolver,will,be,invoked,ahead,of,this,loader,s,standard,resolution,rules,it,may,therefore,also,override,any,default,rules,since,4,3,see,get,protocol,resolvers;public,void,add,protocol,resolver,protocol,resolver,resolver,assert,not,null,resolver,protocol,resolver,must,not,be,null,this,protocol,resolvers,add,resolver
DefaultResourceLoader -> public void addProtocolResolver(ProtocolResolver resolver);1482842304;Register the given resolver with this resource loader, allowing for_additional protocols to be handled._<p>Any such resolver will be invoked ahead of this loader's standard_resolution rules. It may therefore also override any default rules._@since 4.3_@see #getProtocolResolvers();public void addProtocolResolver(ProtocolResolver resolver) {_		Assert.notNull(resolver, "ProtocolResolver must not be null")__		this.protocolResolvers.add(resolver)__	};register,the,given,resolver,with,this,resource,loader,allowing,for,additional,protocols,to,be,handled,p,any,such,resolver,will,be,invoked,ahead,of,this,loader,s,standard,resolution,rules,it,may,therefore,also,override,any,default,rules,since,4,3,see,get,protocol,resolvers;public,void,add,protocol,resolver,protocol,resolver,resolver,assert,not,null,resolver,protocol,resolver,must,not,be,null,this,protocol,resolvers,add,resolver
DefaultResourceLoader -> public void addProtocolResolver(ProtocolResolver resolver);1495868221;Register the given resolver with this resource loader, allowing for_additional protocols to be handled._<p>Any such resolver will be invoked ahead of this loader's standard_resolution rules. It may therefore also override any default rules._@since 4.3_@see #getProtocolResolvers();public void addProtocolResolver(ProtocolResolver resolver) {_		Assert.notNull(resolver, "ProtocolResolver must not be null")__		this.protocolResolvers.add(resolver)__	};register,the,given,resolver,with,this,resource,loader,allowing,for,additional,protocols,to,be,handled,p,any,such,resolver,will,be,invoked,ahead,of,this,loader,s,standard,resolution,rules,it,may,therefore,also,override,any,default,rules,since,4,3,see,get,protocol,resolvers;public,void,add,protocol,resolver,protocol,resolver,resolver,assert,not,null,resolver,protocol,resolver,must,not,be,null,this,protocol,resolvers,add,resolver
DefaultResourceLoader -> public void addProtocolResolver(ProtocolResolver resolver);1496837955;Register the given resolver with this resource loader, allowing for_additional protocols to be handled._<p>Any such resolver will be invoked ahead of this loader's standard_resolution rules. It may therefore also override any default rules._@since 4.3_@see #getProtocolResolvers();public void addProtocolResolver(ProtocolResolver resolver) {_		Assert.notNull(resolver, "ProtocolResolver must not be null")__		this.protocolResolvers.add(resolver)__	};register,the,given,resolver,with,this,resource,loader,allowing,for,additional,protocols,to,be,handled,p,any,such,resolver,will,be,invoked,ahead,of,this,loader,s,standard,resolution,rules,it,may,therefore,also,override,any,default,rules,since,4,3,see,get,protocol,resolvers;public,void,add,protocol,resolver,protocol,resolver,resolver,assert,not,null,resolver,protocol,resolver,must,not,be,null,this,protocol,resolvers,add,resolver
DefaultResourceLoader -> public void addProtocolResolver(ProtocolResolver resolver);1498780456;Register the given resolver with this resource loader, allowing for_additional protocols to be handled._<p>Any such resolver will be invoked ahead of this loader's standard_resolution rules. It may therefore also override any default rules._@since 4.3_@see #getProtocolResolvers();public void addProtocolResolver(ProtocolResolver resolver) {_		Assert.notNull(resolver, "ProtocolResolver must not be null")__		this.protocolResolvers.add(resolver)__	};register,the,given,resolver,with,this,resource,loader,allowing,for,additional,protocols,to,be,handled,p,any,such,resolver,will,be,invoked,ahead,of,this,loader,s,standard,resolution,rules,it,may,therefore,also,override,any,default,rules,since,4,3,see,get,protocol,resolvers;public,void,add,protocol,resolver,protocol,resolver,resolver,assert,not,null,resolver,protocol,resolver,must,not,be,null,this,protocol,resolvers,add,resolver
DefaultResourceLoader -> public void addProtocolResolver(ProtocolResolver resolver);1502974979;Register the given resolver with this resource loader, allowing for_additional protocols to be handled._<p>Any such resolver will be invoked ahead of this loader's standard_resolution rules. It may therefore also override any default rules._@since 4.3_@see #getProtocolResolvers();public void addProtocolResolver(ProtocolResolver resolver) {_		Assert.notNull(resolver, "ProtocolResolver must not be null")__		this.protocolResolvers.add(resolver)__	};register,the,given,resolver,with,this,resource,loader,allowing,for,additional,protocols,to,be,handled,p,any,such,resolver,will,be,invoked,ahead,of,this,loader,s,standard,resolution,rules,it,may,therefore,also,override,any,default,rules,since,4,3,see,get,protocol,resolvers;public,void,add,protocol,resolver,protocol,resolver,resolver,assert,not,null,resolver,protocol,resolver,must,not,be,null,this,protocol,resolvers,add,resolver
DefaultResourceLoader -> public void addProtocolResolver(ProtocolResolver resolver);1509635140;Register the given resolver with this resource loader, allowing for_additional protocols to be handled._<p>Any such resolver will be invoked ahead of this loader's standard_resolution rules. It may therefore also override any default rules._@since 4.3_@see #getProtocolResolvers();public void addProtocolResolver(ProtocolResolver resolver) {_		Assert.notNull(resolver, "ProtocolResolver must not be null")__		this.protocolResolvers.add(resolver)__	};register,the,given,resolver,with,this,resource,loader,allowing,for,additional,protocols,to,be,handled,p,any,such,resolver,will,be,invoked,ahead,of,this,loader,s,standard,resolution,rules,it,may,therefore,also,override,any,default,rules,since,4,3,see,get,protocol,resolvers;public,void,add,protocol,resolver,protocol,resolver,resolver,assert,not,null,resolver,protocol,resolver,must,not,be,null,this,protocol,resolvers,add,resolver
DefaultResourceLoader -> public void clearResourceCaches();1482842304;Clear all resource caches in this resource loader._@since 5.0_@see #getResourceCache;public void clearResourceCaches() {_		this.resourceCaches.clear()__	};clear,all,resource,caches,in,this,resource,loader,since,5,0,see,get,resource,cache;public,void,clear,resource,caches,this,resource,caches,clear
DefaultResourceLoader -> public void clearResourceCaches();1495868221;Clear all resource caches in this resource loader._@since 5.0_@see #getResourceCache;public void clearResourceCaches() {_		this.resourceCaches.clear()__	};clear,all,resource,caches,in,this,resource,loader,since,5,0,see,get,resource,cache;public,void,clear,resource,caches,this,resource,caches,clear
