# id;timestamp;commentText;codeText;commentWords;codeWords
AnnotationMetadata -> Set<String> getAnnotationTypes()_;1328020251;Return the names of all annotation types defined on the underlying class._@return the annotation type names;Set<String> getAnnotationTypes()_;return,the,names,of,all,annotation,types,defined,on,the,underlying,class,return,the,annotation,type,names;set,string,get,annotation,types
AnnotationMetadata -> Set<String> getAnnotationTypes()_;1356735495;Return the names of all annotation types defined on the underlying class._@return the annotation type names;Set<String> getAnnotationTypes()_;return,the,names,of,all,annotation,types,defined,on,the,underlying,class,return,the,annotation,type,names;set,string,get,annotation,types
AnnotationMetadata -> Set<String> getAnnotationTypes()_;1368068203;Return the names of all annotation types defined on the underlying class._@return the annotation type names;Set<String> getAnnotationTypes()_;return,the,names,of,all,annotation,types,defined,on,the,underlying,class,return,the,annotation,type,names;set,string,get,annotation,types
AnnotationMetadata -> Set<String> getAnnotationTypes()_;1395766086;Return the names of all annotation types that are <em>present</em> on the_underlying class._@return the annotation type names;Set<String> getAnnotationTypes()_;return,the,names,of,all,annotation,types,that,are,em,present,em,on,the,underlying,class,return,the,annotation,type,names;set,string,get,annotation,types
AnnotationMetadata -> Set<String> getAnnotationTypes()_;1434234880;Get the fully qualified class names of all annotation types that_are <em>present</em> on the underlying class._@return the annotation type names;Set<String> getAnnotationTypes()_;get,the,fully,qualified,class,names,of,all,annotation,types,that,are,em,present,em,on,the,underlying,class,return,the,annotation,type,names;set,string,get,annotation,types
AnnotationMetadata -> Set<String> getAnnotationTypes()_;1496837955;Get the fully qualified class names of all annotation types that_are <em>present</em> on the underlying class._@return the annotation type names;Set<String> getAnnotationTypes()_;get,the,fully,qualified,class,names,of,all,annotation,types,that,are,em,present,em,on,the,underlying,class,return,the,annotation,type,names;set,string,get,annotation,types
AnnotationMetadata -> boolean hasAnnotation(String annotationType)_;1328020251;Determine whether the underlying class has an annotation of the given_type defined._@param annotationType the annotation type to look for_@return whether a matching annotation is defined;boolean hasAnnotation(String annotationType)_;determine,whether,the,underlying,class,has,an,annotation,of,the,given,type,defined,param,annotation,type,the,annotation,type,to,look,for,return,whether,a,matching,annotation,is,defined;boolean,has,annotation,string,annotation,type
AnnotationMetadata -> boolean hasAnnotation(String annotationType)_;1356735495;Determine whether the underlying class has an annotation of the given_type defined._@param annotationType the annotation type to look for_@return whether a matching annotation is defined;boolean hasAnnotation(String annotationType)_;determine,whether,the,underlying,class,has,an,annotation,of,the,given,type,defined,param,annotation,type,the,annotation,type,to,look,for,return,whether,a,matching,annotation,is,defined;boolean,has,annotation,string,annotation,type
AnnotationMetadata -> boolean hasAnnotation(String annotationType)_;1368068203;Determine whether the underlying class has an annotation of the given_type defined._@param annotationType the annotation type to look for_@return whether a matching annotation is defined;boolean hasAnnotation(String annotationType)_;determine,whether,the,underlying,class,has,an,annotation,of,the,given,type,defined,param,annotation,type,the,annotation,type,to,look,for,return,whether,a,matching,annotation,is,defined;boolean,has,annotation,string,annotation,type
AnnotationMetadata -> boolean hasAnnotation(String annotationType)_;1395766086;Determine whether an annotation of the given type is <em>present</em> on_the underlying class._@param annotationType the annotation type to look for_@return whether a matching annotation is present;boolean hasAnnotation(String annotationType)_;determine,whether,an,annotation,of,the,given,type,is,em,present,em,on,the,underlying,class,param,annotation,type,the,annotation,type,to,look,for,return,whether,a,matching,annotation,is,present;boolean,has,annotation,string,annotation,type
AnnotationMetadata -> boolean hasAnnotation(String annotationName)_;1434234880;Determine whether an annotation of the given type is <em>present</em> on_the underlying class._@param annotationName the fully qualified class name of the annotation_type to look for_@return {@code true} if a matching annotation is present;boolean hasAnnotation(String annotationName)_;determine,whether,an,annotation,of,the,given,type,is,em,present,em,on,the,underlying,class,param,annotation,name,the,fully,qualified,class,name,of,the,annotation,type,to,look,for,return,code,true,if,a,matching,annotation,is,present;boolean,has,annotation,string,annotation,name
AnnotationMetadata -> boolean hasAnnotation(String annotationName)_;1496837955;Determine whether an annotation of the given type is <em>present</em> on_the underlying class._@param annotationName the fully qualified class name of the annotation_type to look for_@return {@code true} if a matching annotation is present;boolean hasAnnotation(String annotationName)_;determine,whether,an,annotation,of,the,given,type,is,em,present,em,on,the,underlying,class,param,annotation,name,the,fully,qualified,class,name,of,the,annotation,type,to,look,for,return,code,true,if,a,matching,annotation,is,present;boolean,has,annotation,string,annotation,name
AnnotationMetadata -> Map<String, Object> getAnnotationAttributes(String annotationType)_;1328020251;Retrieve the attributes of the annotation of the given type,_if any (i.e. if defined on the underlying class, as direct_annotation or as meta-annotation)._@param annotationType the annotation type to look for_@return a Map of attributes, with the attribute name as key (e.g. "value")_and the defined attribute value as Map value. This return value will be_<code>null</code> if no matching annotation is defined.;Map<String, Object> getAnnotationAttributes(String annotationType)_;retrieve,the,attributes,of,the,annotation,of,the,given,type,if,any,i,e,if,defined,on,the,underlying,class,as,direct,annotation,or,as,meta,annotation,param,annotation,type,the,annotation,type,to,look,for,return,a,map,of,attributes,with,the,attribute,name,as,key,e,g,value,and,the,defined,attribute,value,as,map,value,this,return,value,will,be,code,null,code,if,no,matching,annotation,is,defined;map,string,object,get,annotation,attributes,string,annotation,type
AnnotationMetadata -> Map<String, Object> getAnnotationAttributes(String annotationType)_;1356735495;Retrieve the attributes of the annotation of the given type,_if any (i.e. if defined on the underlying class, as direct_annotation or as meta-annotation)._@param annotationType the annotation type to look for_@return a Map of attributes, with the attribute name as key (e.g. "value")_and the defined attribute value as Map value. This return value will be_{@code null} if no matching annotation is defined.;Map<String, Object> getAnnotationAttributes(String annotationType)_;retrieve,the,attributes,of,the,annotation,of,the,given,type,if,any,i,e,if,defined,on,the,underlying,class,as,direct,annotation,or,as,meta,annotation,param,annotation,type,the,annotation,type,to,look,for,return,a,map,of,attributes,with,the,attribute,name,as,key,e,g,value,and,the,defined,attribute,value,as,map,value,this,return,value,will,be,code,null,if,no,matching,annotation,is,defined;map,string,object,get,annotation,attributes,string,annotation,type
AnnotationMetadata -> Set<String> getMetaAnnotationTypes(String annotationName)_;1434234880;Get the fully qualified class names of all meta-annotation types that_are <em>present</em> on the given annotation type on the underlying class._@param annotationName the fully qualified class name of the meta-annotation_type to look for_@return the meta-annotation type names;Set<String> getMetaAnnotationTypes(String annotationName)_;get,the,fully,qualified,class,names,of,all,meta,annotation,types,that,are,em,present,em,on,the,given,annotation,type,on,the,underlying,class,param,annotation,name,the,fully,qualified,class,name,of,the,meta,annotation,type,to,look,for,return,the,meta,annotation,type,names;set,string,get,meta,annotation,types,string,annotation,name
AnnotationMetadata -> Set<String> getMetaAnnotationTypes(String annotationName)_;1496837955;Get the fully qualified class names of all meta-annotation types that_are <em>present</em> on the given annotation type on the underlying class._@param annotationName the fully qualified class name of the meta-annotation_type to look for_@return the meta-annotation type names, or an empty set if none found;Set<String> getMetaAnnotationTypes(String annotationName)_;get,the,fully,qualified,class,names,of,all,meta,annotation,types,that,are,em,present,em,on,the,given,annotation,type,on,the,underlying,class,param,annotation,name,the,fully,qualified,class,name,of,the,meta,annotation,type,to,look,for,return,the,meta,annotation,type,names,or,an,empty,set,if,none,found;set,string,get,meta,annotation,types,string,annotation,name
AnnotationMetadata -> Set<String> getMetaAnnotationTypes(String annotationType)_;1328020251;Return the names of all meta-annotation types defined on the_given annotation type of the underlying class._@param annotationType the meta-annotation type to look for_@return the meta-annotation type names;Set<String> getMetaAnnotationTypes(String annotationType)_;return,the,names,of,all,meta,annotation,types,defined,on,the,given,annotation,type,of,the,underlying,class,param,annotation,type,the,meta,annotation,type,to,look,for,return,the,meta,annotation,type,names;set,string,get,meta,annotation,types,string,annotation,type
AnnotationMetadata -> Set<String> getMetaAnnotationTypes(String annotationType)_;1356735495;Return the names of all meta-annotation types defined on the_given annotation type of the underlying class._@param annotationType the meta-annotation type to look for_@return the meta-annotation type names;Set<String> getMetaAnnotationTypes(String annotationType)_;return,the,names,of,all,meta,annotation,types,defined,on,the,given,annotation,type,of,the,underlying,class,param,annotation,type,the,meta,annotation,type,to,look,for,return,the,meta,annotation,type,names;set,string,get,meta,annotation,types,string,annotation,type
