commented;modifiers;parameterAmount;loc;comment;code
false;public;1;13;;// Overridden methods @Override public void write(int datum) throws IOException {     if (this.closed) {         throw new IOException("Stream closed").     } else {         if (this.buffers.peekLast() == null || this.buffers.getLast().length == this.index) {             addBuffer(1).         }         // store the byte         this.buffers.getLast()[this.index++] = (byte) datum.     } }
false;public;3;36;;@Override public void write(byte[] data, int offset, int length) throws IOException {     if (offset < 0 || offset + length > data.length || length < 0) {         throw new IndexOutOfBoundsException().     } else if (this.closed) {         throw new IOException("Stream closed").     } else {         if (this.buffers.peekLast() == null || this.buffers.getLast().length == this.index) {             addBuffer(length).         }         if (this.index + length > this.buffers.getLast().length) {             int pos = offset.             do {                 if (this.index == this.buffers.getLast().length) {                     addBuffer(length).                 }                 int copyLength = this.buffers.getLast().length - this.index.                 if (length < copyLength) {                     copyLength = length.                 }                 System.arraycopy(data, pos, this.buffers.getLast(), this.index, copyLength).                 pos += copyLength.                 this.index += copyLength.                 length -= copyLength.             } while (length > 0).         } else {             // copy in the sub-array             System.arraycopy(data, offset, this.buffers.getLast(), this.index, length).             this.index += length.         }     } }
false;public;0;4;;@Override public void close() {     this.closed = true. }
true;public;0;4;/**  * Convert the buffer's contents into a string decoding bytes using the  * platform's default character set. The length of the new <tt>String</tt>  * is a function of the character set, and hence may not be equal to the  * size of the buffer.  * <p>This method always replaces malformed-input and unmappable-character  * sequences with the default replacement string for the platform's  * default character set. The {@linkplain java.nio.charset.CharsetDecoder}  * class should be used when more control over the decoding process is  * required.  * @return a String decoded from the buffer's contents  */ ;/**  * Convert the buffer's contents into a string decoding bytes using the  * platform's default character set. The length of the new <tt>String</tt>  * is a function of the character set, and hence may not be equal to the  * size of the buffer.  * <p>This method always replaces malformed-input and unmappable-character  * sequences with the default replacement string for the platform's  * default character set. The {@linkplain java.nio.charset.CharsetDecoder}  * class should be used when more control over the decoding process is  * required.  * @return a String decoded from the buffer's contents  */ @Override public String toString() {     return new String(toByteArrayUnsafe()). }
true;public;0;3;/**  * Return the number of bytes stored in this <code>FastByteArrayOutputStream</code>.  */ ;// Custom methods /**  * Return the number of bytes stored in this <code>FastByteArrayOutputStream</code>.  */ public int size() {     return (this.alreadyBufferedSize + this.index). }
true;public;0;8;/**  * Convert the stream's data to a byte array and return the byte array.  * <p>Also replaces the internal structures with the byte array to conserve memory:  * if the byte array is being made anyways, mind as well as use it. This approach  * also means that if this method is called twice without any writes in between,  * the second call is a no-op.  * <p>This method is "unsafe" as it returns the internal buffer.  * Callers should not modify the returned buffer.  * @return the current contents of this output stream, as a byte array.  * @see #size()  * @see #toByteArray()  */ ;/**  * Convert the stream's data to a byte array and return the byte array.  * <p>Also replaces the internal structures with the byte array to conserve memory:  * if the byte array is being made anyways, mind as well as use it. This approach  * also means that if this method is called twice without any writes in between,  * the second call is a no-op.  * <p>This method is "unsafe" as it returns the internal buffer.  * Callers should not modify the returned buffer.  * @return the current contents of this output stream, as a byte array.  * @see #size()  * @see #toByteArray()  */ public byte[] toByteArrayUnsafe() {     int totalSize = size().     if (totalSize == 0) {         return new byte[0].     }     resize(totalSize).     return this.buffers.getFirst(). }
true;public;0;6;/**  * Creates a newly allocated byte array.  * <p>Its size is the current  * size of this output stream and the valid contents of the buffer  * have been copied into it.</p>  * @return the current contents of this output stream, as a byte array.  * @see #size()  * @see #toByteArrayUnsafe()  */ ;/**  * Creates a newly allocated byte array.  * <p>Its size is the current  * size of this output stream and the valid contents of the buffer  * have been copied into it.</p>  * @return the current contents of this output stream, as a byte array.  * @see #size()  * @see #toByteArrayUnsafe()  */ public byte[] toByteArray() {     byte[] bytesUnsafe = toByteArrayUnsafe().     byte[] ret = new byte[bytesUnsafe.length].     System.arraycopy(bytesUnsafe, 0, ret, 0, bytesUnsafe.length).     return ret. }
true;public;0;7;/**  * Reset the contents of this <code>FastByteArrayOutputStream</code>.  * <p>All currently accumulated output in the output stream is discarded.  * The output stream can be used again.  */ ;/**  * Reset the contents of this <code>FastByteArrayOutputStream</code>.  * <p>All currently accumulated output in the output stream is discarded.  * The output stream can be used again.  */ public void reset() {     this.buffers.clear().     this.nextBlockSize = this.initialBlockSize.     this.closed = false.     this.index = 0.     this.alreadyBufferedSize = 0. }
true;public;0;3;/**  * Get an {@link InputStream} to retrieve the data in this OutputStream.  * <p>Note that if any methods are called on the OutputStream  * (including, but not limited to, any of the write methods, {@link #reset()},  * {@link #toByteArray()}, and {@link #toByteArrayUnsafe()}) then the  * {@link java.io.InputStream}'s behavior is undefined.  * @return {@link InputStream} of the contents of this OutputStream  */ ;/**  * Get an {@link InputStream} to retrieve the data in this OutputStream.  * <p>Note that if any methods are called on the OutputStream  * (including, but not limited to, any of the write methods, {@link #reset()},  * {@link #toByteArray()}, and {@link #toByteArrayUnsafe()}) then the  * {@link java.io.InputStream}'s behavior is undefined.  * @return {@link InputStream} of the contents of this OutputStream  */ public InputStream getInputStream() {     return new FastByteArrayInputStream(this). }
true;public;1;12;/**  * Write the buffers content to the given OutputStream.  * @param out the OutputStream to write to  */ ;/**  * Write the buffers content to the given OutputStream.  * @param out the OutputStream to write to  */ public void writeTo(OutputStream out) throws IOException {     Iterator<byte[]> it = this.buffers.iterator().     while (it.hasNext()) {         byte[] bytes = it.next().         if (it.hasNext()) {             out.write(bytes, 0, bytes.length).         } else {             out.write(bytes, 0, this.index).         }     } }
true;public;1;29;/**  * Resize the internal buffer size to a specified capacity.  * @param targetCapacity the desired size of the buffer  * @throws IllegalArgumentException if the given capacity is smaller than  * the actual size of the content stored in the buffer already  * @see FastByteArrayOutputStream#size()  */ ;/**  * Resize the internal buffer size to a specified capacity.  * @param targetCapacity the desired size of the buffer  * @throws IllegalArgumentException if the given capacity is smaller than  * the actual size of the content stored in the buffer already  * @see FastByteArrayOutputStream#size()  */ public void resize(int targetCapacity) {     Assert.isTrue(targetCapacity >= size(), "New capacity must not be smaller than current size").     if (this.buffers.peekFirst() == null) {         this.nextBlockSize = targetCapacity - size().     } else if (size() == targetCapacity && this.buffers.getFirst().length == targetCapacity) {     // do nothing - already at the targetCapacity     } else {         int totalSize = size().         byte[] data = new byte[targetCapacity].         int pos = 0.         Iterator<byte[]> it = this.buffers.iterator().         while (it.hasNext()) {             byte[] bytes = it.next().             if (it.hasNext()) {                 System.arraycopy(bytes, 0, data, pos, bytes.length).                 pos += bytes.length.             } else {                 System.arraycopy(bytes, 0, data, pos, this.index).             }         }         this.buffers.clear().         this.buffers.add(data).         this.index = totalSize.         this.alreadyBufferedSize = 0.     } }
true;private;1;11;/**  * Create a new buffer and store it in the LinkedList  * <p>Adds a new buffer that can store at least {@code minCapacity} bytes.  */ ;/**  * Create a new buffer and store it in the LinkedList  * <p>Adds a new buffer that can store at least {@code minCapacity} bytes.  */ private void addBuffer(int minCapacity) {     if (this.buffers.peekLast() != null) {         this.alreadyBufferedSize += this.index.         this.index = 0.     }     if (this.nextBlockSize < minCapacity) {         this.nextBlockSize = nextPowerOf2(minCapacity).     }     this.buffers.add(new byte[this.nextBlockSize]).     // block size doubles each time     this.nextBlockSize *= 2. }
true;private,static;1;10;/**  * Get the next power of 2 of a number (ex, the next power of 2 of 119 is 128).  */ ;/**  * Get the next power of 2 of a number (ex, the next power of 2 of 119 is 128).  */ private static int nextPowerOf2(int val) {     val--.     val = (val >> 1) | val.     val = (val >> 2) | val.     val = (val >> 4) | val.     val = (val >> 8) | val.     val = (val >> 16) | val.     val++.     return val. }
