commented;modifiers;parameterAmount;loc;comment;code
true;private;1;8;/**  * Checks the given token string for illegal characters, as defined in RFC 2616,  * section 2.2.  * @throws IllegalArgumentException in case of illegal characters  * @see <a href="http://tools.ietf.org/html/rfc2616#section-2.2">HTTP 1.1, section 2.2</a>  */ ;/**  * Checks the given token string for illegal characters, as defined in RFC 2616,  * section 2.2.  * @throws IllegalArgumentException in case of illegal characters  * @see <a href="http://tools.ietf.org/html/rfc2616#section-2.2">HTTP 1.1, section 2.2</a>  */ private void checkToken(String token) {     for (int i = 0. i < token.length(). i++) {         char ch = token.charAt(i).         if (!TOKEN.get(ch)) {             throw new IllegalArgumentException("Invalid token character '" + ch + "' in token \"" + token + "\"").         }     } }
false;protected;2;12;;protected void checkParameters(String attribute, String value) {     Assert.hasLength(attribute, "'attribute' must not be empty").     Assert.hasLength(value, "'value' must not be empty").     checkToken(attribute).     if (PARAM_CHARSET.equals(attribute)) {         value = unquote(value).         Charset.forName(value).     } else if (!isQuotedString(value)) {         checkToken(value).     } }
false;private;1;8;;private boolean isQuotedString(String s) {     if (s.length() < 2) {         return false.     } else {         return ((s.startsWith("\"") && s.endsWith("\"")) || (s.startsWith("'") && s.endsWith("'"))).     } }
false;protected;1;3;;protected String unquote(String s) {     return (isQuotedString(s) ? s.substring(1, s.length() - 1) : s). }
true;public;0;3;/**  * Indicates whether the {@linkplain #getType() type} is the wildcard character  * <code>&#42.</code> or not.  */ ;/**  * Indicates whether the {@linkplain #getType() type} is the wildcard character  * <code>&#42.</code> or not.  */ public boolean isWildcardType() {     return WILDCARD_TYPE.equals(getType()). }
true;public;0;3;/**  * Indicates whether the {@linkplain #getSubtype() subtype} is the wildcard  * character <code>&#42.</code> or the wildcard character followed by a suffix  * (e.g. <code>&#42.+xml</code>).  * @return whether the subtype is a wildcard  */ ;/**  * Indicates whether the {@linkplain #getSubtype() subtype} is the wildcard  * character <code>&#42.</code> or the wildcard character followed by a suffix  * (e.g. <code>&#42.+xml</code>).  * @return whether the subtype is a wildcard  */ public boolean isWildcardSubtype() {     return WILDCARD_TYPE.equals(getSubtype()) || getSubtype().startsWith("*+"). }
true;public;0;3;/**  * Indicates whether this MIME Type is concrete, i.e. whether neither the type  * nor the subtype is a wildcard character <code>&#42.</code>.  * @return whether this MIME Type is concrete  */ ;/**  * Indicates whether this MIME Type is concrete, i.e. whether neither the type  * nor the subtype is a wildcard character <code>&#42.</code>.  * @return whether this MIME Type is concrete  */ public boolean isConcrete() {     return !isWildcardType() && !isWildcardSubtype(). }
true;public;0;3;/**  * Return the primary type.  */ ;/**  * Return the primary type.  */ public String getType() {     return this.type. }
true;public;0;3;/**  * Return the subtype.  */ ;/**  * Return the subtype.  */ public String getSubtype() {     return this.subtype. }
true;public;0;5;/**  * Return the character set, as indicated by a {@code charset} parameter, if any.  * @return the character set, or {@code null} if not available  * @since 4.3  */ ;/**  * Return the character set, as indicated by a {@code charset} parameter, if any.  * @return the character set, or {@code null} if not available  * @since 4.3  */ @Nullable public Charset getCharset() {     String charset = getParameter(PARAM_CHARSET).     return (charset != null ? Charset.forName(unquote(charset)) : null). }
true;public;1;4;/**  * Return a generic parameter value, given a parameter name.  * @param name the parameter name  * @return the parameter value, or {@code null} if not present  */ ;/**  * Return a generic parameter value, given a parameter name.  * @param name the parameter name  * @return the parameter value, or {@code null} if not present  */ @Nullable public String getParameter(String name) {     return this.parameters.get(name). }
true;public;0;3;/**  * Return all generic parameter values.  * @return a read-only map (possibly empty, never {@code null})  */ ;/**  * Return all generic parameter values.  * @return a read-only map (possibly empty, never {@code null})  */ public Map<String, String> getParameters() {     return this.parameters. }
true;public;1;34;/**  * Indicate whether this MIME Type includes the given MIME Type.  * <p>For instance, {@code text/*} includes {@code text/plain} and {@code text/html},  * and {@code application/*+xml} includes {@code application/soap+xml}, etc.  * This method is <b>not</b> symmetric.  * @param other the reference MIME Type with which to compare  * @return {@code true} if this MIME Type includes the given MIME Type.  * {@code false} otherwise  */ ;/**  * Indicate whether this MIME Type includes the given MIME Type.  * <p>For instance, {@code text/*} includes {@code text/plain} and {@code text/html},  * and {@code application/*+xml} includes {@code application/soap+xml}, etc.  * This method is <b>not</b> symmetric.  * @param other the reference MIME Type with which to compare  * @return {@code true} if this MIME Type includes the given MIME Type.  * {@code false} otherwise  */ public boolean includes(@Nullable MimeType other) {     if (other == null) {         return false.     }     if (isWildcardType()) {         // */* includes anything         return true.     } else if (getType().equals(other.getType())) {         if (getSubtype().equals(other.getSubtype())) {             return true.         }         if (isWildcardSubtype()) {             // Wildcard with suffix, e.g. application/*+xml             int thisPlusIdx = getSubtype().lastIndexOf('+').             if (thisPlusIdx == -1) {                 return true.             } else {                 // application/*+xml includes application/soap+xml                 int otherPlusIdx = other.getSubtype().lastIndexOf('+').                 if (otherPlusIdx != -1) {                     String thisSubtypeNoSuffix = getSubtype().substring(0, thisPlusIdx).                     String thisSubtypeSuffix = getSubtype().substring(thisPlusIdx + 1).                     String otherSubtypeSuffix = other.getSubtype().substring(otherPlusIdx + 1).                     if (thisSubtypeSuffix.equals(otherSubtypeSuffix) && WILDCARD_TYPE.equals(thisSubtypeNoSuffix)) {                         return true.                     }                 }             }         }     }     return false. }
