# id;timestamp;commentText;codeText;commentWords;codeWords
CannotGetJdbcConnectionException -> public CannotGetJdbcConnectionException(String msg);1496955101;Constructor for CannotGetJdbcConnectionException._@param msg the detail message_@since 5.0;public CannotGetJdbcConnectionException(String msg) {_		super(msg)__	};constructor,for,cannot,get,jdbc,connection,exception,param,msg,the,detail,message,since,5,0;public,cannot,get,jdbc,connection,exception,string,msg,super,msg
CannotGetJdbcConnectionException -> public CannotGetJdbcConnectionException(String msg);1530174524;Constructor for CannotGetJdbcConnectionException._@param msg the detail message_@since 5.0;public CannotGetJdbcConnectionException(String msg) {_		super(msg)__	};constructor,for,cannot,get,jdbc,connection,exception,param,msg,the,detail,message,since,5,0;public,cannot,get,jdbc,connection,exception,string,msg,super,msg
CannotGetJdbcConnectionException -> public CannotGetJdbcConnectionException(String msg, @Nullable SQLException ex);1496837955;Constructor for CannotGetJdbcConnectionException._@param msg the detail message_@param ex SQLException root cause;public CannotGetJdbcConnectionException(String msg, @Nullable SQLException ex) {_		super(msg, ex)__	};constructor,for,cannot,get,jdbc,connection,exception,param,msg,the,detail,message,param,ex,sqlexception,root,cause;public,cannot,get,jdbc,connection,exception,string,msg,nullable,sqlexception,ex,super,msg,ex
CannotGetJdbcConnectionException -> public CannotGetJdbcConnectionException(String msg, @Nullable SQLException ex);1496955101;Constructor for CannotGetJdbcConnectionException._@param msg the detail message_@param ex SQLException root cause;public CannotGetJdbcConnectionException(String msg, @Nullable SQLException ex) {_		super(msg, ex)__	};constructor,for,cannot,get,jdbc,connection,exception,param,msg,the,detail,message,param,ex,sqlexception,root,cause;public,cannot,get,jdbc,connection,exception,string,msg,nullable,sqlexception,ex,super,msg,ex
CannotGetJdbcConnectionException -> public CannotGetJdbcConnectionException(String msg, @Nullable SQLException ex);1530174524;Constructor for CannotGetJdbcConnectionException._@param msg the detail message_@param ex the root cause SQLException;public CannotGetJdbcConnectionException(String msg, @Nullable SQLException ex) {_		super(msg, ex)__	};constructor,for,cannot,get,jdbc,connection,exception,param,msg,the,detail,message,param,ex,the,root,cause,sqlexception;public,cannot,get,jdbc,connection,exception,string,msg,nullable,sqlexception,ex,super,msg,ex
CannotGetJdbcConnectionException -> @Deprecated 	public CannotGetJdbcConnectionException(String msg, ClassNotFoundException ex);1328020251;Constructor for CannotGetJdbcConnectionException._@param msg the detail message_@param ex ClassNotFoundException root cause_@deprecated since Spring 2.5, in favor of throwing an_IllegalStateException in case of the driver not being found;@Deprecated_	public CannotGetJdbcConnectionException(String msg, ClassNotFoundException ex) {_		super(msg, ex)__	};constructor,for,cannot,get,jdbc,connection,exception,param,msg,the,detail,message,param,ex,class,not,found,exception,root,cause,deprecated,since,spring,2,5,in,favor,of,throwing,an,illegal,state,exception,in,case,of,the,driver,not,being,found;deprecated,public,cannot,get,jdbc,connection,exception,string,msg,class,not,found,exception,ex,super,msg,ex
CannotGetJdbcConnectionException -> @Deprecated 	public CannotGetJdbcConnectionException(String msg, ClassNotFoundException ex);1356735495;Constructor for CannotGetJdbcConnectionException._@param msg the detail message_@param ex ClassNotFoundException root cause_@deprecated since Spring 2.5, in favor of throwing an_IllegalStateException in case of the driver not being found;@Deprecated_	public CannotGetJdbcConnectionException(String msg, ClassNotFoundException ex) {_		super(msg, ex)__	};constructor,for,cannot,get,jdbc,connection,exception,param,msg,the,detail,message,param,ex,class,not,found,exception,root,cause,deprecated,since,spring,2,5,in,favor,of,throwing,an,illegal,state,exception,in,case,of,the,driver,not,being,found;deprecated,public,cannot,get,jdbc,connection,exception,string,msg,class,not,found,exception,ex,super,msg,ex
CannotGetJdbcConnectionException -> public CannotGetJdbcConnectionException(String msg, SQLException ex);1328020251;Constructor for CannotGetJdbcConnectionException._@param msg the detail message_@param ex SQLException root cause;public CannotGetJdbcConnectionException(String msg, SQLException ex) {_		super(msg, ex)__	};constructor,for,cannot,get,jdbc,connection,exception,param,msg,the,detail,message,param,ex,sqlexception,root,cause;public,cannot,get,jdbc,connection,exception,string,msg,sqlexception,ex,super,msg,ex
CannotGetJdbcConnectionException -> public CannotGetJdbcConnectionException(String msg, SQLException ex);1356735495;Constructor for CannotGetJdbcConnectionException._@param msg the detail message_@param ex SQLException root cause;public CannotGetJdbcConnectionException(String msg, SQLException ex) {_		super(msg, ex)__	};constructor,for,cannot,get,jdbc,connection,exception,param,msg,the,detail,message,param,ex,sqlexception,root,cause;public,cannot,get,jdbc,connection,exception,string,msg,sqlexception,ex,super,msg,ex
CannotGetJdbcConnectionException -> public CannotGetJdbcConnectionException(String msg, SQLException ex);1367508310;Constructor for CannotGetJdbcConnectionException._@param msg the detail message_@param ex SQLException root cause;public CannotGetJdbcConnectionException(String msg, SQLException ex) {_		super(msg, ex)__	};constructor,for,cannot,get,jdbc,connection,exception,param,msg,the,detail,message,param,ex,sqlexception,root,cause;public,cannot,get,jdbc,connection,exception,string,msg,sqlexception,ex,super,msg,ex
