# id;timestamp;commentText;codeText;commentWords;codeWords
EmbeddedDatabaseConfigurer -> void configureConnectionProperties(ConnectionProperties properties, String databaseName)_;1328020251;Configure the properties required to create and connect to the embedded database instance._@param dataSource the data source to configure_@param databaseName the name of the test database;void configureConnectionProperties(ConnectionProperties properties, String databaseName)_;configure,the,properties,required,to,create,and,connect,to,the,embedded,database,instance,param,data,source,the,data,source,to,configure,param,database,name,the,name,of,the,test,database;void,configure,connection,properties,connection,properties,properties,string,database,name
EmbeddedDatabaseConfigurer -> void configureConnectionProperties(ConnectionProperties properties, String databaseName)_;1335774711;Configure the properties required to create and connect to the embedded database instance._@param properties connection properties to configure_@param databaseName the name of the test database;void configureConnectionProperties(ConnectionProperties properties, String databaseName)_;configure,the,properties,required,to,create,and,connect,to,the,embedded,database,instance,param,properties,connection,properties,to,configure,param,database,name,the,name,of,the,test,database;void,configure,connection,properties,connection,properties,properties,string,database,name
EmbeddedDatabaseConfigurer -> void configureConnectionProperties(ConnectionProperties properties, String databaseName)_;1356735495;Configure the properties required to create and connect to the embedded database instance._@param properties connection properties to configure_@param databaseName the name of the test database;void configureConnectionProperties(ConnectionProperties properties, String databaseName)_;configure,the,properties,required,to,create,and,connect,to,the,embedded,database,instance,param,properties,connection,properties,to,configure,param,database,name,the,name,of,the,test,database;void,configure,connection,properties,connection,properties,properties,string,database,name
EmbeddedDatabaseConfigurer -> void configureConnectionProperties(ConnectionProperties properties, String databaseName)_;1395183391;Configure the properties required to create and connect to the embedded_database instance._@param properties connection properties to configure_@param databaseName the name of the embedded database;void configureConnectionProperties(ConnectionProperties properties, String databaseName)_;configure,the,properties,required,to,create,and,connect,to,the,embedded,database,instance,param,properties,connection,properties,to,configure,param,database,name,the,name,of,the,embedded,database;void,configure,connection,properties,connection,properties,properties,string,database,name
EmbeddedDatabaseConfigurer -> void configureConnectionProperties(ConnectionProperties properties, String databaseName)_;1440013447;Configure the properties required to create and connect to the embedded_database instance._@param properties connection properties to configure_@param databaseName the name of the embedded database;void configureConnectionProperties(ConnectionProperties properties, String databaseName)_;configure,the,properties,required,to,create,and,connect,to,the,embedded,database,instance,param,properties,connection,properties,to,configure,param,database,name,the,name,of,the,embedded,database;void,configure,connection,properties,connection,properties,properties,string,database,name
EmbeddedDatabaseConfigurer -> void configureConnectionProperties(ConnectionProperties properties, String databaseName)_;1520339775;Configure the properties required to create and connect to the embedded database._@param properties connection properties to configure_@param databaseName the name of the embedded database;void configureConnectionProperties(ConnectionProperties properties, String databaseName)_;configure,the,properties,required,to,create,and,connect,to,the,embedded,database,param,properties,connection,properties,to,configure,param,database,name,the,name,of,the,embedded,database;void,configure,connection,properties,connection,properties,properties,string,database,name
EmbeddedDatabaseConfigurer -> void shutdown(DataSource dataSource, String databaseName)_;1328020251;Shutdown the embedded database instance that backs dataSource._@param dataSource the data source_@param databaseName the name of the database being shutdown;void shutdown(DataSource dataSource, String databaseName)_;shutdown,the,embedded,database,instance,that,backs,data,source,param,data,source,the,data,source,param,database,name,the,name,of,the,database,being,shutdown;void,shutdown,data,source,data,source,string,database,name
EmbeddedDatabaseConfigurer -> void shutdown(DataSource dataSource, String databaseName)_;1335774711;Shutdown the embedded database instance that backs dataSource._@param dataSource the data source_@param databaseName the name of the database being shutdown;void shutdown(DataSource dataSource, String databaseName)_;shutdown,the,embedded,database,instance,that,backs,data,source,param,data,source,the,data,source,param,database,name,the,name,of,the,database,being,shutdown;void,shutdown,data,source,data,source,string,database,name
EmbeddedDatabaseConfigurer -> void shutdown(DataSource dataSource, String databaseName)_;1356735495;Shutdown the embedded database instance that backs dataSource._@param dataSource the data source_@param databaseName the name of the database being shutdown;void shutdown(DataSource dataSource, String databaseName)_;shutdown,the,embedded,database,instance,that,backs,data,source,param,data,source,the,data,source,param,database,name,the,name,of,the,database,being,shutdown;void,shutdown,data,source,data,source,string,database,name
EmbeddedDatabaseConfigurer -> void shutdown(DataSource dataSource, String databaseName)_;1395183391;Shutdown the embedded database instance that backs the supplied {@link DataSource}._@param dataSource the data source_@param databaseName the name of the database being shutdown;void shutdown(DataSource dataSource, String databaseName)_;shutdown,the,embedded,database,instance,that,backs,the,supplied,link,data,source,param,data,source,the,data,source,param,database,name,the,name,of,the,database,being,shutdown;void,shutdown,data,source,data,source,string,database,name
EmbeddedDatabaseConfigurer -> void shutdown(DataSource dataSource, String databaseName)_;1440013447;Shut down the embedded database instance that backs the supplied {@link DataSource}._@param dataSource the data source_@param databaseName the name of the database being shut down;void shutdown(DataSource dataSource, String databaseName)_;shut,down,the,embedded,database,instance,that,backs,the,supplied,link,data,source,param,data,source,the,data,source,param,database,name,the,name,of,the,database,being,shut,down;void,shutdown,data,source,data,source,string,database,name
EmbeddedDatabaseConfigurer -> void shutdown(DataSource dataSource, String databaseName)_;1520339775;Shut down the embedded database instance that backs the supplied {@link DataSource}._@param dataSource the corresponding {@link DataSource}_@param databaseName the name of the database being shut down;void shutdown(DataSource dataSource, String databaseName)_;shut,down,the,embedded,database,instance,that,backs,the,supplied,link,data,source,param,data,source,the,corresponding,link,data,source,param,database,name,the,name,of,the,database,being,shut,down;void,shutdown,data,source,data,source,string,database,name
