commented;modifiers;parameterAmount;loc;comment;code
true;public;1;11;/**  * Set the JMS ConnectionFactory that this instance should manage transactions for.  */ ;/**  * Set the JMS ConnectionFactory that this instance should manage transactions for.  */ public void setConnectionFactory(@Nullable ConnectionFactory cf) {     if (cf instanceof TransactionAwareConnectionFactoryProxy) {         // If we got a TransactionAwareConnectionFactoryProxy, we need to perform transactions         // for its underlying target ConnectionFactory, else JMS access code won't see         // properly exposed transactions (i.e. transactions for the target ConnectionFactory).         this.connectionFactory = ((TransactionAwareConnectionFactoryProxy) cf).getTargetConnectionFactory().     } else {         this.connectionFactory = cf.     } }
true;public;0;4;/**  * Return the JMS ConnectionFactory that this instance should manage transactions for.  */ ;/**  * Return the JMS ConnectionFactory that this instance should manage transactions for.  */ @Nullable public ConnectionFactory getConnectionFactory() {     return this.connectionFactory. }
true;protected,final;0;5;/**  * Obtain the ConnectionFactory for actual use.  * @return the ConnectionFactory (never {@code null})  * @throws IllegalStateException in case of no ConnectionFactory set  * @since 5.0  */ ;/**  * Obtain the ConnectionFactory for actual use.  * @return the ConnectionFactory (never {@code null})  * @throws IllegalStateException in case of no ConnectionFactory set  * @since 5.0  */ protected final ConnectionFactory obtainConnectionFactory() {     ConnectionFactory connectionFactory = getConnectionFactory().     Assert.state(connectionFactory != null, "No ConnectionFactory set").     return connectionFactory. }
true;public;1;3;/**  * Specify whether this transaction manager should lazily retrieve a JMS  * Connection and Session on access within a transaction ({@code true}).  * By default, it will eagerly create a JMS Connection and Session at  * transaction begin ({@code false}).  * @since 5.1.6  * @see JmsResourceHolder#getConnection()  * @see JmsResourceHolder#getSession()  */ ;/**  * Specify whether this transaction manager should lazily retrieve a JMS  * Connection and Session on access within a transaction ({@code true}).  * By default, it will eagerly create a JMS Connection and Session at  * transaction begin ({@code false}).  * @since 5.1.6  * @see JmsResourceHolder#getConnection()  * @see JmsResourceHolder#getSession()  */ public void setLazyResourceRetrieval(boolean lazyResourceRetrieval) {     this.lazyResourceRetrieval = lazyResourceRetrieval. }
true;public;0;6;/**  * Make sure the ConnectionFactory has been set.  */ ;/**  * Make sure the ConnectionFactory has been set.  */ @Override public void afterPropertiesSet() {     if (getConnectionFactory() == null) {         throw new IllegalArgumentException("Property 'connectionFactory' is required").     } }
false;public;0;4;;@Override public Object getResourceFactory() {     return obtainConnectionFactory(). }
false;protected;0;7;;@Override protected Object doGetTransaction() {     JmsTransactionObject txObject = new JmsTransactionObject().     txObject.setResourceHolder((JmsResourceHolder) TransactionSynchronizationManager.getResource(obtainConnectionFactory())).     return txObject. }
false;protected;1;5;;@Override protected boolean isExistingTransaction(Object transaction) {     JmsTransactionObject txObject = (JmsTransactionObject) transaction.     return txObject.hasResourceHolder(). }
false;protected;2;51;;@Override protected void doBegin(Object transaction, TransactionDefinition definition) {     if (definition.getIsolationLevel() != TransactionDefinition.ISOLATION_DEFAULT) {         throw new InvalidIsolationLevelException("JMS does not support an isolation level concept").     }     ConnectionFactory connectionFactory = obtainConnectionFactory().     JmsTransactionObject txObject = (JmsTransactionObject) transaction.     Connection con = null.     Session session = null.     try {         JmsResourceHolder resourceHolder.         if (this.lazyResourceRetrieval) {             resourceHolder = new LazyJmsResourceHolder(connectionFactory).         } else {             con = createConnection().             session = createSession(con).             if (logger.isDebugEnabled()) {                 logger.debug("Created JMS transaction on Session [" + session + "] from Connection [" + con + "]").             }             resourceHolder = new JmsResourceHolder(connectionFactory, con, session).         }         resourceHolder.setSynchronizedWithTransaction(true).         int timeout = determineTimeout(definition).         if (timeout != TransactionDefinition.TIMEOUT_DEFAULT) {             resourceHolder.setTimeoutInSeconds(timeout).         }         txObject.setResourceHolder(resourceHolder).         TransactionSynchronizationManager.bindResource(connectionFactory, resourceHolder).     } catch (Throwable ex) {         if (session != null) {             try {                 session.close().             } catch (Throwable ex2) {             // ignore             }         }         if (con != null) {             try {                 con.close().             } catch (Throwable ex2) {             // ignore             }         }         throw new CannotCreateTransactionException("Could not create JMS transaction", ex).     } }
false;protected;1;6;;@Override protected Object doSuspend(Object transaction) {     JmsTransactionObject txObject = (JmsTransactionObject) transaction.     txObject.setResourceHolder(null).     return TransactionSynchronizationManager.unbindResource(obtainConnectionFactory()). }
