commented;modifiers;parameterAmount;loc;comment;code
true;public;1;3;/**  * Set the target ConnectionFactory which will be used to lazily  * create a single Connection.  */ ;/**  * Set the target ConnectionFactory which will be used to lazily  * create a single Connection.  */ public void setTargetConnectionFactory(@Nullable ConnectionFactory targetConnectionFactory) {     this.targetConnectionFactory = targetConnectionFactory. }
true;public;0;4;/**  * Return the target ConnectionFactory which will be used to lazily  * create a single Connection, if any.  */ ;/**  * Return the target ConnectionFactory which will be used to lazily  * create a single Connection, if any.  */ @Nullable public ConnectionFactory getTargetConnectionFactory() {     return this.targetConnectionFactory. }
true;public;1;3;/**  * Specify a JMS client ID for the single Connection created and exposed  * by this ConnectionFactory.  * <p>Note that client IDs need to be unique among all active Connections  * of the underlying JMS provider. Furthermore, a client ID can only be  * assigned if the original ConnectionFactory hasn't already assigned one.  * @see javax.jms.Connection#setClientID  * @see #setTargetConnectionFactory  */ ;/**  * Specify a JMS client ID for the single Connection created and exposed  * by this ConnectionFactory.  * <p>Note that client IDs need to be unique among all active Connections  * of the underlying JMS provider. Furthermore, a client ID can only be  * assigned if the original ConnectionFactory hasn't already assigned one.  * @see javax.jms.Connection#setClientID  * @see #setTargetConnectionFactory  */ public void setClientId(@Nullable String clientId) {     this.clientId = clientId. }
true;protected;0;4;/**  * Return a JMS client ID for the single Connection created and exposed  * by this ConnectionFactory, if any.  */ ;/**  * Return a JMS client ID for the single Connection created and exposed  * by this ConnectionFactory, if any.  */ @Nullable protected String getClientId() {     return this.clientId. }
true;public;1;3;/**  * Specify an JMS ExceptionListener implementation that should be  * registered with the single Connection created by this factory.  * @see #setReconnectOnException  */ ;/**  * Specify an JMS ExceptionListener implementation that should be  * registered with the single Connection created by this factory.  * @see #setReconnectOnException  */ public void setExceptionListener(@Nullable ExceptionListener exceptionListener) {     this.exceptionListener = exceptionListener. }
true;protected;0;4;/**  * Return the JMS ExceptionListener implementation that should be registered  * with the single Connection created by this factory, if any.  */ ;/**  * Return the JMS ExceptionListener implementation that should be registered  * with the single Connection created by this factory, if any.  */ @Nullable protected ExceptionListener getExceptionListener() {     return this.exceptionListener. }
true;public;1;3;/**  * Specify whether the single Connection should be reset (to be subsequently renewed)  * when a JMSException is reported by the underlying Connection.  * <p>Default is "false". Switch this to "true" to automatically trigger  * recovery based on your JMS provider's exception notifications.  * <p>Internally, this will lead to a special JMS ExceptionListener  * (this SingleConnectionFactory itself) being registered with the  * underlying Connection. This can also be combined with a  * user-specified ExceptionListener, if desired.  * @see #setExceptionListener  */ ;/**  * Specify whether the single Connection should be reset (to be subsequently renewed)  * when a JMSException is reported by the underlying Connection.  * <p>Default is "false". Switch this to "true" to automatically trigger  * recovery based on your JMS provider's exception notifications.  * <p>Internally, this will lead to a special JMS ExceptionListener  * (this SingleConnectionFactory itself) being registered with the  * underlying Connection. This can also be combined with a  * user-specified ExceptionListener, if desired.  * @see #setExceptionListener  */ public void setReconnectOnException(boolean reconnectOnException) {     this.reconnectOnException = reconnectOnException. }
true;protected;0;3;/**  * Return whether the single Connection should be renewed when  * a JMSException is reported by the underlying Connection.  */ ;/**  * Return whether the single Connection should be renewed when  * a JMSException is reported by the underlying Connection.  */ protected boolean isReconnectOnException() {     return this.reconnectOnException. }
true;public;0;6;/**  * Make sure a Connection or ConnectionFactory has been set.  */ ;/**  * Make sure a Connection or ConnectionFactory has been set.  */ @Override public void afterPropertiesSet() {     if (this.connection == null && getTargetConnectionFactory() == null) {         throw new IllegalArgumentException("Target Connection or ConnectionFactory is required").     } }
false;public;0;4;;@Override public Connection createConnection() throws JMSException {     return getSharedConnectionProxy(getConnection()). }
false;public;2;5;;@Override public Connection createConnection(String username, String password) throws JMSException {     throw new javax.jms.IllegalStateException("SingleConnectionFactory does not support custom username and password"). }
false;public;0;13;;@Override public QueueConnection createQueueConnection() throws JMSException {     Connection con.     synchronized (this.connectionMonitor) {         this.pubSubMode = Boolean.FALSE.         con = createConnection().     }     if (!(con instanceof QueueConnection)) {         throw new javax.jms.IllegalStateException("This SingleConnectionFactory does not hold a QueueConnection but rather: " + con).     }     return ((QueueConnection) con). }
false;public;2;5;;@Override public QueueConnection createQueueConnection(String username, String password) throws JMSException {     throw new javax.jms.IllegalStateException("SingleConnectionFactory does not support custom username and password"). }
false;public;0;13;;@Override public TopicConnection createTopicConnection() throws JMSException {     Connection con.     synchronized (this.connectionMonitor) {         this.pubSubMode = Boolean.TRUE.         con = createConnection().     }     if (!(con instanceof TopicConnection)) {         throw new javax.jms.IllegalStateException("This SingleConnectionFactory does not hold a TopicConnection but rather: " + con).     }     return ((TopicConnection) con). }
false;public;2;5;;@Override public TopicConnection createTopicConnection(String username, String password) throws JMSException {     throw new javax.jms.IllegalStateException("SingleConnectionFactory does not support custom username and password"). }
false;public;0;4;;@Override public JMSContext createContext() {     return obtainTargetConnectionFactory().createContext(). }
false;public;2;4;;@Override public JMSContext createContext(String userName, String password) {     return obtainTargetConnectionFactory().createContext(userName, password). }
false;public;3;4;;@Override public JMSContext createContext(String userName, String password, int sessionMode) {     return obtainTargetConnectionFactory().createContext(userName, password, sessionMode). }
false;public;1;4;;@Override public JMSContext createContext(int sessionMode) {     return obtainTargetConnectionFactory().createContext(sessionMode). }
false;private;0;5;;private ConnectionFactory obtainTargetConnectionFactory() {     ConnectionFactory target = getTargetConnectionFactory().     Assert.state(target != null, "'targetConnectionFactory' is required").     return target. }
true;protected;0;8;/**  * Obtain an initialized shared Connection.  * @return the Connection (never {@code null})  * @throws javax.jms.JMSException if thrown by JMS API methods  * @see #initConnection()  */ ;/**  * Obtain an initialized shared Connection.  * @return the Connection (never {@code null})  * @throws javax.jms.JMSException if thrown by JMS API methods  * @see #initConnection()  */ protected Connection getConnection() throws JMSException {     synchronized (this.connectionMonitor) {         if (this.connection == null) {             initConnection().         }         return this.connection.     } }
