commented;modifiers;parameterAmount;loc;comment;code
false;public;0;4;;@Override public String getSessionId() {     return this.sessionId. }
true;public;0;3;/**  * Return the configured session handler.  */ ;/**  * Return the configured session handler.  */ public StompSessionHandler getSessionHandler() {     return this.sessionHandler. }
false;public;0;4;;@Override public ListenableFuture<StompSession> getSessionFuture() {     return this.sessionFuture. }
true;public;1;4;/**  * Set the {@link MessageConverter} to use to convert the payload of incoming  * and outgoing messages to and from {@code byte[]} based on object type, or  * expected object type, and the "content-type" header.  * <p>By default, {@link SimpleMessageConverter} is configured.  * @param messageConverter the message converter to use  */ ;/**  * Set the {@link MessageConverter} to use to convert the payload of incoming  * and outgoing messages to and from {@code byte[]} based on object type, or  * expected object type, and the "content-type" header.  * <p>By default, {@link SimpleMessageConverter} is configured.  * @param messageConverter the message converter to use  */ public void setMessageConverter(MessageConverter messageConverter) {     Assert.notNull(messageConverter, "MessageConverter must not be null").     this.converter = messageConverter. }
true;public;0;3;/**  * Return the configured {@link MessageConverter}.  */ ;/**  * Return the configured {@link MessageConverter}.  */ public MessageConverter getMessageConverter() {     return this.converter. }
true;public;1;3;/**  * Configure the TaskScheduler to use for receipt tracking.  */ ;/**  * Configure the TaskScheduler to use for receipt tracking.  */ public void setTaskScheduler(@Nullable TaskScheduler taskScheduler) {     this.taskScheduler = taskScheduler. }
true;public;0;4;/**  * Return the configured TaskScheduler to use for receipt tracking.  */ ;/**  * Return the configured TaskScheduler to use for receipt tracking.  */ @Nullable public TaskScheduler getTaskScheduler() {     return this.taskScheduler. }
true;public;1;4;/**  * Configure the time in milliseconds before a receipt expires.  * <p>By default set to 15,000 (15 seconds).  */ ;/**  * Configure the time in milliseconds before a receipt expires.  * <p>By default set to 15,000 (15 seconds).  */ public void setReceiptTimeLimit(long receiptTimeLimit) {     Assert.isTrue(receiptTimeLimit > 0, "Receipt time limit must be larger than zero").     this.receiptTimeLimit = receiptTimeLimit. }
true;public;0;3;/**  * Return the configured time limit before a receipt expires.  */ ;/**  * Return the configured time limit before a receipt expires.  */ public long getReceiptTimeLimit() {     return this.receiptTimeLimit. }
false;public;1;4;;@Override public void setAutoReceipt(boolean autoReceiptEnabled) {     this.autoReceiptEnabled = autoReceiptEnabled. }
true;public;0;3;/**  * Whether receipt headers should be automatically added.  */ ;/**  * Whether receipt headers should be automatically added.  */ public boolean isAutoReceiptEnabled() {     return this.autoReceiptEnabled. }
false;public;0;4;;@Override public boolean isConnected() {     return (this.connection != null). }
false;public;2;6;;@Override public Receiptable send(String destination, Object payload) {     StompHeaders headers = new StompHeaders().     headers.setDestination(destination).     return send(headers, payload). }
