# id;timestamp;commentText;codeText;commentWords;codeWords
EnableTransactionManagement -> boolean proxyTargetClass() default false_;1328020251;Indicate whether subclass-based (CGLIB) proxies are to be created ({@code true}) as_opposed to standard Java interface-based proxies ({@code false}). The default is_{@code false}. <strong>Applicable only if {@link #mode()} is set to_{@link AdviceMode#PROXY}</strong>.__<p>Note that setting this attribute to {@code true} will affect <em>all</em>_Spring-managed beans requiring proxying, not just those marked with_{@code @Transactional}. For example, other beans marked with Spring's_{@code @Async} annotation will be upgraded to subclass proxying at the same_time. This approach has no negative impact in practice unless one is explicitly_expecting one type of proxy vs another, e.g. in tests.;boolean proxyTargetClass() default false_;indicate,whether,subclass,based,cglib,proxies,are,to,be,created,code,true,as,opposed,to,standard,java,interface,based,proxies,code,false,the,default,is,code,false,strong,applicable,only,if,link,mode,is,set,to,link,advice,mode,proxy,strong,p,note,that,setting,this,attribute,to,code,true,will,affect,em,all,em,spring,managed,beans,requiring,proxying,not,just,those,marked,with,code,transactional,for,example,other,beans,marked,with,spring,s,code,async,annotation,will,be,upgraded,to,subclass,proxying,at,the,same,time,this,approach,has,no,negative,impact,in,practice,unless,one,is,explicitly,expecting,one,type,of,proxy,vs,another,e,g,in,tests;boolean,proxy,target,class,default,false
EnableTransactionManagement -> boolean proxyTargetClass() default false_;1335774711;Indicate whether subclass-based (CGLIB) proxies are to be created ({@code true}) as_opposed to standard Java interface-based proxies ({@code false}). The default is_{@code false}. <strong>Applicable only if {@link #mode()} is set to_{@link AdviceMode#PROXY}</strong>.__<p>Note that setting this attribute to {@code true} will affect <em>all</em>_Spring-managed beans requiring proxying, not just those marked with_{@code @Transactional}. For example, other beans marked with Spring's_{@code @Async} annotation will be upgraded to subclass proxying at the same_time. This approach has no negative impact in practice unless one is explicitly_expecting one type of proxy vs another, e.g. in tests.;boolean proxyTargetClass() default false_;indicate,whether,subclass,based,cglib,proxies,are,to,be,created,code,true,as,opposed,to,standard,java,interface,based,proxies,code,false,the,default,is,code,false,strong,applicable,only,if,link,mode,is,set,to,link,advice,mode,proxy,strong,p,note,that,setting,this,attribute,to,code,true,will,affect,em,all,em,spring,managed,beans,requiring,proxying,not,just,those,marked,with,code,transactional,for,example,other,beans,marked,with,spring,s,code,async,annotation,will,be,upgraded,to,subclass,proxying,at,the,same,time,this,approach,has,no,negative,impact,in,practice,unless,one,is,explicitly,expecting,one,type,of,proxy,vs,another,e,g,in,tests;boolean,proxy,target,class,default,false
EnableTransactionManagement -> boolean proxyTargetClass() default false_;1385978426;Indicate whether subclass-based (CGLIB) proxies are to be created ({@code true}) as_opposed to standard Java interface-based proxies ({@code false}). The default is_{@code false}. <strong>Applicable only if {@link #mode()} is set to_{@link AdviceMode#PROXY}</strong>._<p>Note that setting this attribute to {@code true} will affect <em>all</em>_Spring-managed beans requiring proxying, not just those marked with_{@code @Transactional}. For example, other beans marked with Spring's_{@code @Async} annotation will be upgraded to subclass proxying at the same_time. This approach has no negative impact in practice unless one is explicitly_expecting one type of proxy vs another, e.g. in tests.;boolean proxyTargetClass() default false_;indicate,whether,subclass,based,cglib,proxies,are,to,be,created,code,true,as,opposed,to,standard,java,interface,based,proxies,code,false,the,default,is,code,false,strong,applicable,only,if,link,mode,is,set,to,link,advice,mode,proxy,strong,p,note,that,setting,this,attribute,to,code,true,will,affect,em,all,em,spring,managed,beans,requiring,proxying,not,just,those,marked,with,code,transactional,for,example,other,beans,marked,with,spring,s,code,async,annotation,will,be,upgraded,to,subclass,proxying,at,the,same,time,this,approach,has,no,negative,impact,in,practice,unless,one,is,explicitly,expecting,one,type,of,proxy,vs,another,e,g,in,tests;boolean,proxy,target,class,default,false
EnableTransactionManagement -> boolean proxyTargetClass() default false_;1460400578;Indicate whether subclass-based (CGLIB) proxies are to be created ({@code true}) as_opposed to standard Java interface-based proxies ({@code false}). The default is_{@code false}. <strong>Applicable only if {@link #mode()} is set to_{@link AdviceMode#PROXY}</strong>._<p>Note that setting this attribute to {@code true} will affect <em>all</em>_Spring-managed beans requiring proxying, not just those marked with_{@code @Transactional}. For example, other beans marked with Spring's_{@code @Async} annotation will be upgraded to subclass proxying at the same_time. This approach has no negative impact in practice unless one is explicitly_expecting one type of proxy vs another, e.g. in tests.;boolean proxyTargetClass() default false_;indicate,whether,subclass,based,cglib,proxies,are,to,be,created,code,true,as,opposed,to,standard,java,interface,based,proxies,code,false,the,default,is,code,false,strong,applicable,only,if,link,mode,is,set,to,link,advice,mode,proxy,strong,p,note,that,setting,this,attribute,to,code,true,will,affect,em,all,em,spring,managed,beans,requiring,proxying,not,just,those,marked,with,code,transactional,for,example,other,beans,marked,with,spring,s,code,async,annotation,will,be,upgraded,to,subclass,proxying,at,the,same,time,this,approach,has,no,negative,impact,in,practice,unless,one,is,explicitly,expecting,one,type,of,proxy,vs,another,e,g,in,tests;boolean,proxy,target,class,default,false
EnableTransactionManagement -> boolean proxyTargetClass() default false_;1467376008;Indicate whether subclass-based (CGLIB) proxies are to be created ({@code true}) as_opposed to standard Java interface-based proxies ({@code false}). The default is_{@code false}. <strong>Applicable only if {@link #mode()} is set to_{@link AdviceMode#PROXY}</strong>._<p>Note that setting this attribute to {@code true} will affect <em>all</em>_Spring-managed beans requiring proxying, not just those marked with_{@code @Transactional}. For example, other beans marked with Spring's_{@code @Async} annotation will be upgraded to subclass proxying at the same_time. This approach has no negative impact in practice unless one is explicitly_expecting one type of proxy vs another, e.g. in tests.;boolean proxyTargetClass() default false_;indicate,whether,subclass,based,cglib,proxies,are,to,be,created,code,true,as,opposed,to,standard,java,interface,based,proxies,code,false,the,default,is,code,false,strong,applicable,only,if,link,mode,is,set,to,link,advice,mode,proxy,strong,p,note,that,setting,this,attribute,to,code,true,will,affect,em,all,em,spring,managed,beans,requiring,proxying,not,just,those,marked,with,code,transactional,for,example,other,beans,marked,with,spring,s,code,async,annotation,will,be,upgraded,to,subclass,proxying,at,the,same,time,this,approach,has,no,negative,impact,in,practice,unless,one,is,explicitly,expecting,one,type,of,proxy,vs,another,e,g,in,tests;boolean,proxy,target,class,default,false
EnableTransactionManagement -> boolean proxyTargetClass() default false_;1508697274;Indicate whether subclass-based (CGLIB) proxies are to be created ({@code true}) as_opposed to standard Java interface-based proxies ({@code false}). The default is_{@code false}. <strong>Applicable only if {@link #mode()} is set to_{@link AdviceMode#PROXY}</strong>._<p>Note that setting this attribute to {@code true} will affect <em>all</em>_Spring-managed beans requiring proxying, not just those marked with_{@code @Transactional}. For example, other beans marked with Spring's_{@code @Async} annotation will be upgraded to subclass proxying at the same_time. This approach has no negative impact in practice unless one is explicitly_expecting one type of proxy vs another, e.g. in tests.;boolean proxyTargetClass() default false_;indicate,whether,subclass,based,cglib,proxies,are,to,be,created,code,true,as,opposed,to,standard,java,interface,based,proxies,code,false,the,default,is,code,false,strong,applicable,only,if,link,mode,is,set,to,link,advice,mode,proxy,strong,p,note,that,setting,this,attribute,to,code,true,will,affect,em,all,em,spring,managed,beans,requiring,proxying,not,just,those,marked,with,code,transactional,for,example,other,beans,marked,with,spring,s,code,async,annotation,will,be,upgraded,to,subclass,proxying,at,the,same,time,this,approach,has,no,negative,impact,in,practice,unless,one,is,explicitly,expecting,one,type,of,proxy,vs,another,e,g,in,tests;boolean,proxy,target,class,default,false
EnableTransactionManagement -> boolean proxyTargetClass() default false_;1530174524;Indicate whether subclass-based (CGLIB) proxies are to be created ({@code true}) as_opposed to standard Java interface-based proxies ({@code false}). The default is_{@code false}. <strong>Applicable only if {@link #mode()} is set to_{@link AdviceMode#PROXY}</strong>._<p>Note that setting this attribute to {@code true} will affect <em>all</em>_Spring-managed beans requiring proxying, not just those marked with_{@code @Transactional}. For example, other beans marked with Spring's_{@code @Async} annotation will be upgraded to subclass proxying at the same_time. This approach has no negative impact in practice unless one is explicitly_expecting one type of proxy vs another, e.g. in tests.;boolean proxyTargetClass() default false_;indicate,whether,subclass,based,cglib,proxies,are,to,be,created,code,true,as,opposed,to,standard,java,interface,based,proxies,code,false,the,default,is,code,false,strong,applicable,only,if,link,mode,is,set,to,link,advice,mode,proxy,strong,p,note,that,setting,this,attribute,to,code,true,will,affect,em,all,em,spring,managed,beans,requiring,proxying,not,just,those,marked,with,code,transactional,for,example,other,beans,marked,with,spring,s,code,async,annotation,will,be,upgraded,to,subclass,proxying,at,the,same,time,this,approach,has,no,negative,impact,in,practice,unless,one,is,explicitly,expecting,one,type,of,proxy,vs,another,e,g,in,tests;boolean,proxy,target,class,default,false
EnableTransactionManagement -> int order() default Ordered.LOWEST_PRECEDENCE_;1328020251;Indicate the ordering of the execution of the transaction advisor_when multiple advices are applied at a specific joinpoint._The default is {@link Ordered#LOWEST_PRECEDENCE}.;int order() default Ordered.LOWEST_PRECEDENCE_;indicate,the,ordering,of,the,execution,of,the,transaction,advisor,when,multiple,advices,are,applied,at,a,specific,joinpoint,the,default,is,link,ordered;int,order,default,ordered
EnableTransactionManagement -> int order() default Ordered.LOWEST_PRECEDENCE_;1335774711;Indicate the ordering of the execution of the transaction advisor_when multiple advices are applied at a specific joinpoint._The default is {@link Ordered#LOWEST_PRECEDENCE}.;int order() default Ordered.LOWEST_PRECEDENCE_;indicate,the,ordering,of,the,execution,of,the,transaction,advisor,when,multiple,advices,are,applied,at,a,specific,joinpoint,the,default,is,link,ordered;int,order,default,ordered
EnableTransactionManagement -> int order() default Ordered.LOWEST_PRECEDENCE_;1385978426;Indicate the ordering of the execution of the transaction advisor_when multiple advices are applied at a specific joinpoint._The default is {@link Ordered#LOWEST_PRECEDENCE}.;int order() default Ordered.LOWEST_PRECEDENCE_;indicate,the,ordering,of,the,execution,of,the,transaction,advisor,when,multiple,advices,are,applied,at,a,specific,joinpoint,the,default,is,link,ordered;int,order,default,ordered
