# id;timestamp;commentText;codeText;commentWords;codeWords
HttpMediaTypeException -> public List<MediaType> getSupportedMediaTypes();1328020251;Return the list of supported media types.;public List<MediaType> getSupportedMediaTypes() {_		return supportedMediaTypes__	};return,the,list,of,supported,media,types;public,list,media,type,get,supported,media,types,return,supported,media,types
HttpMediaTypeException -> public List<MediaType> getSupportedMediaTypes();1340015434;Return the list of supported media types.;public List<MediaType> getSupportedMediaTypes() {_		return supportedMediaTypes__	};return,the,list,of,supported,media,types;public,list,media,type,get,supported,media,types,return,supported,media,types
HttpMediaTypeException -> public List<MediaType> getSupportedMediaTypes();1356735495;Return the list of supported media types.;public List<MediaType> getSupportedMediaTypes() {_		return supportedMediaTypes__	};return,the,list,of,supported,media,types;public,list,media,type,get,supported,media,types,return,supported,media,types
HttpMediaTypeException -> public List<MediaType> getSupportedMediaTypes();1366717989;Return the list of supported media types.;public List<MediaType> getSupportedMediaTypes() {_		return this.supportedMediaTypes__	};return,the,list,of,supported,media,types;public,list,media,type,get,supported,media,types,return,this,supported,media,types
HttpMediaTypeException -> protected HttpMediaTypeException(String message);1328020251;Create a new MediaTypeException._@param message the exception message;protected HttpMediaTypeException(String message) {_		super(message)__		this.supportedMediaTypes = Collections.emptyList()__	};create,a,new,media,type,exception,param,message,the,exception,message;protected,http,media,type,exception,string,message,super,message,this,supported,media,types,collections,empty,list
HttpMediaTypeException -> protected HttpMediaTypeException(String message);1340015434;Create a new HttpMediaTypeException._@param message the exception message;protected HttpMediaTypeException(String message) {_		super(message)__		this.supportedMediaTypes = Collections.emptyList()__	};create,a,new,http,media,type,exception,param,message,the,exception,message;protected,http,media,type,exception,string,message,super,message,this,supported,media,types,collections,empty,list
HttpMediaTypeException -> protected HttpMediaTypeException(String message);1356735495;Create a new HttpMediaTypeException._@param message the exception message;protected HttpMediaTypeException(String message) {_		super(message)__		this.supportedMediaTypes = Collections.emptyList()__	};create,a,new,http,media,type,exception,param,message,the,exception,message;protected,http,media,type,exception,string,message,super,message,this,supported,media,types,collections,empty,list
HttpMediaTypeException -> protected HttpMediaTypeException(String message);1366717989;Create a new HttpMediaTypeException._@param message the exception message;protected HttpMediaTypeException(String message) {_		super(message)__		this.supportedMediaTypes = Collections.emptyList()__	};create,a,new,http,media,type,exception,param,message,the,exception,message;protected,http,media,type,exception,string,message,super,message,this,supported,media,types,collections,empty,list
HttpMediaTypeException -> protected HttpMediaTypeException(String message, List<MediaType> supportedMediaTypes);1328020251;Create a new HttpMediaTypeNotSupportedException._@param supportedMediaTypes the list of supported media types;protected HttpMediaTypeException(String message, List<MediaType> supportedMediaTypes) {_		super(message)__		this.supportedMediaTypes = supportedMediaTypes__	};create,a,new,http,media,type,not,supported,exception,param,supported,media,types,the,list,of,supported,media,types;protected,http,media,type,exception,string,message,list,media,type,supported,media,types,super,message,this,supported,media,types,supported,media,types
HttpMediaTypeException -> protected HttpMediaTypeException(String message, List<MediaType> supportedMediaTypes);1340015434;Create a new HttpMediaTypeException with a list of supported media types._@param supportedMediaTypes the list of supported media types;protected HttpMediaTypeException(String message, List<MediaType> supportedMediaTypes) {_		super(message)__		this.supportedMediaTypes = supportedMediaTypes__	};create,a,new,http,media,type,exception,with,a,list,of,supported,media,types,param,supported,media,types,the,list,of,supported,media,types;protected,http,media,type,exception,string,message,list,media,type,supported,media,types,super,message,this,supported,media,types,supported,media,types
HttpMediaTypeException -> protected HttpMediaTypeException(String message, List<MediaType> supportedMediaTypes);1356735495;Create a new HttpMediaTypeException with a list of supported media types._@param supportedMediaTypes the list of supported media types;protected HttpMediaTypeException(String message, List<MediaType> supportedMediaTypes) {_		super(message)__		this.supportedMediaTypes = supportedMediaTypes__	};create,a,new,http,media,type,exception,with,a,list,of,supported,media,types,param,supported,media,types,the,list,of,supported,media,types;protected,http,media,type,exception,string,message,list,media,type,supported,media,types,super,message,this,supported,media,types,supported,media,types
HttpMediaTypeException -> protected HttpMediaTypeException(String message, List<MediaType> supportedMediaTypes);1366717989;Create a new HttpMediaTypeException with a list of supported media types._@param supportedMediaTypes the list of supported media types;protected HttpMediaTypeException(String message, List<MediaType> supportedMediaTypes) {_		super(message)__		this.supportedMediaTypes = Collections.unmodifiableList(supportedMediaTypes)__	};create,a,new,http,media,type,exception,with,a,list,of,supported,media,types,param,supported,media,types,the,list,of,supported,media,types;protected,http,media,type,exception,string,message,list,media,type,supported,media,types,super,message,this,supported,media,types,collections,unmodifiable,list,supported,media,types
