# id;timestamp;commentText;codeText;commentWords;codeWords
HttpMediaTypeNotSupportedException -> @Nullable 	public MediaType getContentType();1498780456;Return the HTTP request content type method that caused the failure.;@Nullable_	public MediaType getContentType() {_		return this.contentType__	};return,the,http,request,content,type,method,that,caused,the,failure;nullable,public,media,type,get,content,type,return,this,content,type
HttpMediaTypeNotSupportedException -> @Nullable 	public MediaType getContentType();1508532146;Return the HTTP request content type method that caused the failure.;@Nullable_	public MediaType getContentType() {_		return this.contentType__	};return,the,http,request,content,type,method,that,caused,the,failure;nullable,public,media,type,get,content,type,return,this,content,type
HttpMediaTypeNotSupportedException -> public HttpMediaTypeNotSupportedException(MediaType contentType, List<MediaType> supportedMediaTypes);1328020251;Create a new HttpMediaTypeNotSupportedException._@param contentType the unsupported content type_@param supportedMediaTypes the list of supported media types;public HttpMediaTypeNotSupportedException(MediaType contentType, List<MediaType> supportedMediaTypes) {_		this(contentType, supportedMediaTypes, "Content type '" + contentType + "' not supported")__	};create,a,new,http,media,type,not,supported,exception,param,content,type,the,unsupported,content,type,param,supported,media,types,the,list,of,supported,media,types;public,http,media,type,not,supported,exception,media,type,content,type,list,media,type,supported,media,types,this,content,type,supported,media,types,content,type,content,type,not,supported
HttpMediaTypeNotSupportedException -> public HttpMediaTypeNotSupportedException(MediaType contentType, List<MediaType> supportedMediaTypes);1340398642;Create a new HttpMediaTypeNotSupportedException._@param contentType the unsupported content type_@param supportedMediaTypes the list of supported media types;public HttpMediaTypeNotSupportedException(MediaType contentType, List<MediaType> supportedMediaTypes) {_		this(contentType, supportedMediaTypes, "Content type '" + contentType + "' not supported")__	};create,a,new,http,media,type,not,supported,exception,param,content,type,the,unsupported,content,type,param,supported,media,types,the,list,of,supported,media,types;public,http,media,type,not,supported,exception,media,type,content,type,list,media,type,supported,media,types,this,content,type,supported,media,types,content,type,content,type,not,supported
HttpMediaTypeNotSupportedException -> public HttpMediaTypeNotSupportedException(MediaType contentType, List<MediaType> supportedMediaTypes);1356735495;Create a new HttpMediaTypeNotSupportedException._@param contentType the unsupported content type_@param supportedMediaTypes the list of supported media types;public HttpMediaTypeNotSupportedException(MediaType contentType, List<MediaType> supportedMediaTypes) {_		this(contentType, supportedMediaTypes, "Content type '" + contentType + "' not supported")__	};create,a,new,http,media,type,not,supported,exception,param,content,type,the,unsupported,content,type,param,supported,media,types,the,list,of,supported,media,types;public,http,media,type,not,supported,exception,media,type,content,type,list,media,type,supported,media,types,this,content,type,supported,media,types,content,type,content,type,not,supported
HttpMediaTypeNotSupportedException -> public HttpMediaTypeNotSupportedException(MediaType contentType, List<MediaType> supportedMediaTypes);1366717989;Create a new HttpMediaTypeNotSupportedException._@param contentType the unsupported content type_@param supportedMediaTypes the list of supported media types;public HttpMediaTypeNotSupportedException(MediaType contentType, List<MediaType> supportedMediaTypes) {_		this(contentType, supportedMediaTypes, "Content type '" + contentType + "' not supported")__	};create,a,new,http,media,type,not,supported,exception,param,content,type,the,unsupported,content,type,param,supported,media,types,the,list,of,supported,media,types;public,http,media,type,not,supported,exception,media,type,content,type,list,media,type,supported,media,types,this,content,type,supported,media,types,content,type,content,type,not,supported
HttpMediaTypeNotSupportedException -> public HttpMediaTypeNotSupportedException(@Nullable MediaType contentType, List<MediaType> supportedMediaTypes);1496837955;Create a new HttpMediaTypeNotSupportedException._@param contentType the unsupported content type_@param supportedMediaTypes the list of supported media types;public HttpMediaTypeNotSupportedException(@Nullable MediaType contentType, List<MediaType> supportedMediaTypes) {_		this(contentType, supportedMediaTypes, "Content type '" + (contentType != null ? contentType : "") + "' not supported")__	};create,a,new,http,media,type,not,supported,exception,param,content,type,the,unsupported,content,type,param,supported,media,types,the,list,of,supported,media,types;public,http,media,type,not,supported,exception,nullable,media,type,content,type,list,media,type,supported,media,types,this,content,type,supported,media,types,content,type,content,type,null,content,type,not,supported
HttpMediaTypeNotSupportedException -> public HttpMediaTypeNotSupportedException(@Nullable MediaType contentType, List<MediaType> supportedMediaTypes);1498780456;Create a new HttpMediaTypeNotSupportedException._@param contentType the unsupported content type_@param supportedMediaTypes the list of supported media types;public HttpMediaTypeNotSupportedException(@Nullable MediaType contentType, List<MediaType> supportedMediaTypes) {_		this(contentType, supportedMediaTypes, "Content type '" + (contentType != null ? contentType : "") + "' not supported")__	};create,a,new,http,media,type,not,supported,exception,param,content,type,the,unsupported,content,type,param,supported,media,types,the,list,of,supported,media,types;public,http,media,type,not,supported,exception,nullable,media,type,content,type,list,media,type,supported,media,types,this,content,type,supported,media,types,content,type,content,type,null,content,type,not,supported
HttpMediaTypeNotSupportedException -> public HttpMediaTypeNotSupportedException(@Nullable MediaType contentType, List<MediaType> supportedMediaTypes);1508532146;Create a new HttpMediaTypeNotSupportedException._@param contentType the unsupported content type_@param supportedMediaTypes the list of supported media types;public HttpMediaTypeNotSupportedException(@Nullable MediaType contentType, List<MediaType> supportedMediaTypes) {_		this(contentType, supportedMediaTypes, "Content type '" +_				(contentType != null ? contentType : "") + "' not supported")__	};create,a,new,http,media,type,not,supported,exception,param,content,type,the,unsupported,content,type,param,supported,media,types,the,list,of,supported,media,types;public,http,media,type,not,supported,exception,nullable,media,type,content,type,list,media,type,supported,media,types,this,content,type,supported,media,types,content,type,content,type,null,content,type,not,supported
HttpMediaTypeNotSupportedException -> public HttpMediaTypeNotSupportedException(MediaType contentType, List<MediaType> supportedMediaTypes, String msg);1328020251;Create a new HttpMediaTypeNotSupportedException._@param contentType the unsupported content type_@param supportedMediaTypes the list of supported media types_@param msg the detail message;public HttpMediaTypeNotSupportedException(MediaType contentType, List<MediaType> supportedMediaTypes, String msg) {_		super(msg, supportedMediaTypes)__		this.contentType = contentType__	};create,a,new,http,media,type,not,supported,exception,param,content,type,the,unsupported,content,type,param,supported,media,types,the,list,of,supported,media,types,param,msg,the,detail,message;public,http,media,type,not,supported,exception,media,type,content,type,list,media,type,supported,media,types,string,msg,super,msg,supported,media,types,this,content,type,content,type
HttpMediaTypeNotSupportedException -> public HttpMediaTypeNotSupportedException(MediaType contentType, List<MediaType> supportedMediaTypes, String msg);1340398642;Create a new HttpMediaTypeNotSupportedException._@param contentType the unsupported content type_@param supportedMediaTypes the list of supported media types_@param msg the detail message;public HttpMediaTypeNotSupportedException(MediaType contentType, List<MediaType> supportedMediaTypes, String msg) {_		super(msg, supportedMediaTypes)__		this.contentType = contentType__	};create,a,new,http,media,type,not,supported,exception,param,content,type,the,unsupported,content,type,param,supported,media,types,the,list,of,supported,media,types,param,msg,the,detail,message;public,http,media,type,not,supported,exception,media,type,content,type,list,media,type,supported,media,types,string,msg,super,msg,supported,media,types,this,content,type,content,type
HttpMediaTypeNotSupportedException -> public HttpMediaTypeNotSupportedException(MediaType contentType, List<MediaType> supportedMediaTypes, String msg);1356735495;Create a new HttpMediaTypeNotSupportedException._@param contentType the unsupported content type_@param supportedMediaTypes the list of supported media types_@param msg the detail message;public HttpMediaTypeNotSupportedException(MediaType contentType, List<MediaType> supportedMediaTypes, String msg) {_		super(msg, supportedMediaTypes)__		this.contentType = contentType__	};create,a,new,http,media,type,not,supported,exception,param,content,type,the,unsupported,content,type,param,supported,media,types,the,list,of,supported,media,types,param,msg,the,detail,message;public,http,media,type,not,supported,exception,media,type,content,type,list,media,type,supported,media,types,string,msg,super,msg,supported,media,types,this,content,type,content,type
HttpMediaTypeNotSupportedException -> public HttpMediaTypeNotSupportedException(MediaType contentType, List<MediaType> supportedMediaTypes, String msg);1366717989;Create a new HttpMediaTypeNotSupportedException._@param contentType the unsupported content type_@param supportedMediaTypes the list of supported media types_@param msg the detail message;public HttpMediaTypeNotSupportedException(MediaType contentType, List<MediaType> supportedMediaTypes, String msg) {_		super(msg, supportedMediaTypes)__		this.contentType = contentType__	};create,a,new,http,media,type,not,supported,exception,param,content,type,the,unsupported,content,type,param,supported,media,types,the,list,of,supported,media,types,param,msg,the,detail,message;public,http,media,type,not,supported,exception,media,type,content,type,list,media,type,supported,media,types,string,msg,super,msg,supported,media,types,this,content,type,content,type
HttpMediaTypeNotSupportedException -> public HttpMediaTypeNotSupportedException(@Nullable MediaType contentType, List<MediaType> supportedMediaTypes, String msg);1496837955;Create a new HttpMediaTypeNotSupportedException._@param contentType the unsupported content type_@param supportedMediaTypes the list of supported media types_@param msg the detail message;public HttpMediaTypeNotSupportedException(@Nullable MediaType contentType, List<MediaType> supportedMediaTypes, String msg) {_		super(msg, supportedMediaTypes)__		this.contentType = contentType__	};create,a,new,http,media,type,not,supported,exception,param,content,type,the,unsupported,content,type,param,supported,media,types,the,list,of,supported,media,types,param,msg,the,detail,message;public,http,media,type,not,supported,exception,nullable,media,type,content,type,list,media,type,supported,media,types,string,msg,super,msg,supported,media,types,this,content,type,content,type
