# id;timestamp;commentText;codeText;commentWords;codeWords
RequestAttributes -> Object getAttribute(String name, int scope)_;1328020251;Return the value for the scoped attribute of the given name, if any._@param name the name of the attribute_@param scope the scope identifier_@return the current attribute value, or <code>null</code> if not found;Object getAttribute(String name, int scope)_;return,the,value,for,the,scoped,attribute,of,the,given,name,if,any,param,name,the,name,of,the,attribute,param,scope,the,scope,identifier,return,the,current,attribute,value,or,code,null,code,if,not,found;object,get,attribute,string,name,int,scope
RequestAttributes -> Object getAttribute(String name, int scope)_;1356735495;Return the value for the scoped attribute of the given name, if any._@param name the name of the attribute_@param scope the scope identifier_@return the current attribute value, or {@code null} if not found;Object getAttribute(String name, int scope)_;return,the,value,for,the,scoped,attribute,of,the,given,name,if,any,param,name,the,name,of,the,attribute,param,scope,the,scope,identifier,return,the,current,attribute,value,or,code,null,if,not,found;object,get,attribute,string,name,int,scope
RequestAttributes -> Object getAttribute(String name, int scope)_;1363208506;Return the value for the scoped attribute of the given name, if any._@param name the name of the attribute_@param scope the scope identifier_@return the current attribute value, or {@code null} if not found;Object getAttribute(String name, int scope)_;return,the,value,for,the,scoped,attribute,of,the,given,name,if,any,param,name,the,name,of,the,attribute,param,scope,the,scope,identifier,return,the,current,attribute,value,or,code,null,if,not,found;object,get,attribute,string,name,int,scope
RequestAttributes -> Object getAttribute(String name, int scope)_;1467668027;Return the value for the scoped attribute of the given name, if any._@param name the name of the attribute_@param scope the scope identifier_@return the current attribute value, or {@code null} if not found;Object getAttribute(String name, int scope)_;return,the,value,for,the,scoped,attribute,of,the,given,name,if,any,param,name,the,name,of,the,attribute,param,scope,the,scope,identifier,return,the,current,attribute,value,or,code,null,if,not,found;object,get,attribute,string,name,int,scope
RequestAttributes -> String[] getAttributeNames(int scope)_;1328020251;Retrieve the names of all attributes in the scope._@param scope the scope identifier_@return the attribute names as String array;String[] getAttributeNames(int scope)_;retrieve,the,names,of,all,attributes,in,the,scope,param,scope,the,scope,identifier,return,the,attribute,names,as,string,array;string,get,attribute,names,int,scope
RequestAttributes -> String[] getAttributeNames(int scope)_;1356735495;Retrieve the names of all attributes in the scope._@param scope the scope identifier_@return the attribute names as String array;String[] getAttributeNames(int scope)_;retrieve,the,names,of,all,attributes,in,the,scope,param,scope,the,scope,identifier,return,the,attribute,names,as,string,array;string,get,attribute,names,int,scope
RequestAttributes -> String[] getAttributeNames(int scope)_;1363208506;Retrieve the names of all attributes in the scope._@param scope the scope identifier_@return the attribute names as String array;String[] getAttributeNames(int scope)_;retrieve,the,names,of,all,attributes,in,the,scope,param,scope,the,scope,identifier,return,the,attribute,names,as,string,array;string,get,attribute,names,int,scope
RequestAttributes -> String[] getAttributeNames(int scope)_;1467668027;Retrieve the names of all attributes in the scope._@param scope the scope identifier_@return the attribute names as String array;String[] getAttributeNames(int scope)_;retrieve,the,names,of,all,attributes,in,the,scope,param,scope,the,scope,identifier,return,the,attribute,names,as,string,array;string,get,attribute,names,int,scope
RequestAttributes -> String[] getAttributeNames(int scope)_;1495868221;Retrieve the names of all attributes in the scope._@param scope the scope identifier_@return the attribute names as String array;String[] getAttributeNames(int scope)_;retrieve,the,names,of,all,attributes,in,the,scope,param,scope,the,scope,identifier,return,the,attribute,names,as,string,array;string,get,attribute,names,int,scope
RequestAttributes -> String[] getAttributeNames(int scope)_;1496837955;Retrieve the names of all attributes in the scope._@param scope the scope identifier_@return the attribute names as String array;String[] getAttributeNames(int scope)_;retrieve,the,names,of,all,attributes,in,the,scope,param,scope,the,scope,identifier,return,the,attribute,names,as,string,array;string,get,attribute,names,int,scope
RequestAttributes -> String[] getAttributeNames(int scope)_;1527090734;Retrieve the names of all attributes in the scope._@param scope the scope identifier_@return the attribute names as String array;String[] getAttributeNames(int scope)_;retrieve,the,names,of,all,attributes,in,the,scope,param,scope,the,scope,identifier,return,the,attribute,names,as,string,array;string,get,attribute,names,int,scope
RequestAttributes -> void setAttribute(String name, Object value, int scope)_;1328020251;Set the value for the scoped attribute of the given name,_replacing an existing value (if any)._@param name the name of the attribute_@param scope the scope identifier_@param value the value for the attribute;void setAttribute(String name, Object value, int scope)_;set,the,value,for,the,scoped,attribute,of,the,given,name,replacing,an,existing,value,if,any,param,name,the,name,of,the,attribute,param,scope,the,scope,identifier,param,value,the,value,for,the,attribute;void,set,attribute,string,name,object,value,int,scope
RequestAttributes -> void setAttribute(String name, Object value, int scope)_;1356735495;Set the value for the scoped attribute of the given name,_replacing an existing value (if any)._@param name the name of the attribute_@param scope the scope identifier_@param value the value for the attribute;void setAttribute(String name, Object value, int scope)_;set,the,value,for,the,scoped,attribute,of,the,given,name,replacing,an,existing,value,if,any,param,name,the,name,of,the,attribute,param,scope,the,scope,identifier,param,value,the,value,for,the,attribute;void,set,attribute,string,name,object,value,int,scope
RequestAttributes -> void setAttribute(String name, Object value, int scope)_;1363208506;Set the value for the scoped attribute of the given name,_replacing an existing value (if any)._@param name the name of the attribute_@param scope the scope identifier_@param value the value for the attribute;void setAttribute(String name, Object value, int scope)_;set,the,value,for,the,scoped,attribute,of,the,given,name,replacing,an,existing,value,if,any,param,name,the,name,of,the,attribute,param,scope,the,scope,identifier,param,value,the,value,for,the,attribute;void,set,attribute,string,name,object,value,int,scope
