# id;timestamp;commentText;codeText;commentWords;codeWords
UriBuilder -> UriBuilder fragment(@Nullable String fragment)_;1495868221;Set the URI fragment. The given fragment may contain URI template variables,_and may also be {@code null} to clear the fragment of this builder._@param fragment the URI fragment;UriBuilder fragment(@Nullable String fragment)_;set,the,uri,fragment,the,given,fragment,may,contain,uri,template,variables,and,may,also,be,code,null,to,clear,the,fragment,of,this,builder,param,fragment,the,uri,fragment;uri,builder,fragment,nullable,string,fragment
UriBuilder -> UriBuilder fragment(@Nullable String fragment)_;1496837955;Set the URI fragment. The given fragment may contain URI template variables,_and may also be {@code null} to clear the fragment of this builder._@param fragment the URI fragment;UriBuilder fragment(@Nullable String fragment)_;set,the,uri,fragment,the,given,fragment,may,contain,uri,template,variables,and,may,also,be,code,null,to,clear,the,fragment,of,this,builder,param,fragment,the,uri,fragment;uri,builder,fragment,nullable,string,fragment
UriBuilder -> UriBuilder fragment(@Nullable String fragment)_;1530174524;Set the URI fragment. The given fragment may contain URI template variables,_and may also be {@code null} to clear the fragment of this builder._@param fragment the URI fragment;UriBuilder fragment(@Nullable String fragment)_;set,the,uri,fragment,the,given,fragment,may,contain,uri,template,variables,and,may,also,be,code,null,to,clear,the,fragment,of,this,builder,param,fragment,the,uri,fragment;uri,builder,fragment,nullable,string,fragment
UriBuilder -> UriBuilder queryParams(MultiValueMap<String, String> params)_;1485553611;Add the given query parameters._@param params the params;UriBuilder queryParams(MultiValueMap<String, String> params)_;add,the,given,query,parameters,param,params,the,params;uri,builder,query,params,multi,value,map,string,string,params
UriBuilder -> UriBuilder queryParams(MultiValueMap<String, String> params)_;1495868221;Add the given query parameters._@param params the params;UriBuilder queryParams(MultiValueMap<String, String> params)_;add,the,given,query,parameters,param,params,the,params;uri,builder,query,params,multi,value,map,string,string,params
UriBuilder -> UriBuilder queryParams(MultiValueMap<String, String> params)_;1496837955;Add the given query parameters._@param params the params;UriBuilder queryParams(MultiValueMap<String, String> params)_;add,the,given,query,parameters,param,params,the,params;uri,builder,query,params,multi,value,map,string,string,params
UriBuilder -> UriBuilder queryParams(MultiValueMap<String, String> params)_;1530174524;Add the given query parameters._@param params the params;UriBuilder queryParams(MultiValueMap<String, String> params)_;add,the,given,query,parameters,param,params,the,params;uri,builder,query,params,multi,value,map,string,string,params
UriBuilder -> UriBuilder userInfo(@Nullable String userInfo)_;1495868221;Set the URI user info which may contain URI template variables, and_may also be {@code null} to clear the user info of this builder._@param userInfo the URI user info;UriBuilder userInfo(@Nullable String userInfo)_;set,the,uri,user,info,which,may,contain,uri,template,variables,and,may,also,be,code,null,to,clear,the,user,info,of,this,builder,param,user,info,the,uri,user,info;uri,builder,user,info,nullable,string,user,info
UriBuilder -> UriBuilder userInfo(@Nullable String userInfo)_;1496837955;Set the URI user info which may contain URI template variables, and_may also be {@code null} to clear the user info of this builder._@param userInfo the URI user info;UriBuilder userInfo(@Nullable String userInfo)_;set,the,uri,user,info,which,may,contain,uri,template,variables,and,may,also,be,code,null,to,clear,the,user,info,of,this,builder,param,user,info,the,uri,user,info;uri,builder,user,info,nullable,string,user,info
UriBuilder -> UriBuilder userInfo(@Nullable String userInfo)_;1530174524;Set the URI user info which may contain URI template variables, and_may also be {@code null} to clear the user info of this builder._@param userInfo the URI user info;UriBuilder userInfo(@Nullable String userInfo)_;set,the,uri,user,info,which,may,contain,uri,template,variables,and,may,also,be,code,null,to,clear,the,user,info,of,this,builder,param,user,info,the,uri,user,info;uri,builder,user,info,nullable,string,user,info
UriBuilder -> UriBuilder replacePath(@Nullable String path)_;1495868221;Set the path of this builder overriding the existing path values._@param path the URI path or {@code null} for an empty path.;UriBuilder replacePath(@Nullable String path)_;set,the,path,of,this,builder,overriding,the,existing,path,values,param,path,the,uri,path,or,code,null,for,an,empty,path;uri,builder,replace,path,nullable,string,path
UriBuilder -> UriBuilder replacePath(@Nullable String path)_;1496837955;Set the path of this builder overriding the existing path values._@param path the URI path, or {@code null} for an empty path;UriBuilder replacePath(@Nullable String path)_;set,the,path,of,this,builder,overriding,the,existing,path,values,param,path,the,uri,path,or,code,null,for,an,empty,path;uri,builder,replace,path,nullable,string,path
UriBuilder -> UriBuilder replacePath(@Nullable String path)_;1530174524;Set the path of this builder overriding the existing path values._@param path the URI path, or {@code null} for an empty path;UriBuilder replacePath(@Nullable String path)_;set,the,path,of,this,builder,overriding,the,existing,path,values,param,path,the,uri,path,or,code,null,for,an,empty,path;uri,builder,replace,path,nullable,string,path
UriBuilder -> UriBuilder queryParam(String name, Object... values)_;1485553611;Append the given query parameter to the existing query parameters. The_given name or any of the values may contain URI template variables. If no_values are given, the resulting URI will contain the query parameter name_only (i.e. {@code ?foo} instead of {@code ?foo=bar}._@param name the query parameter name_@param values the query parameter values;UriBuilder queryParam(String name, Object... values)_;append,the,given,query,parameter,to,the,existing,query,parameters,the,given,name,or,any,of,the,values,may,contain,uri,template,variables,if,no,values,are,given,the,resulting,uri,will,contain,the,query,parameter,name,only,i,e,code,foo,instead,of,code,foo,bar,param,name,the,query,parameter,name,param,values,the,query,parameter,values;uri,builder,query,param,string,name,object,values
UriBuilder -> UriBuilder queryParam(String name, Object... values)_;1495868221;Append the given query parameter to the existing query parameters. The_given name or any of the values may contain URI template variables. If no_values are given, the resulting URI will contain the query parameter name_only (i.e. {@code ?foo} instead of {@code ?foo=bar}._@param name the query parameter name_@param values the query parameter values;UriBuilder queryParam(String name, Object... values)_;append,the,given,query,parameter,to,the,existing,query,parameters,the,given,name,or,any,of,the,values,may,contain,uri,template,variables,if,no,values,are,given,the,resulting,uri,will,contain,the,query,parameter,name,only,i,e,code,foo,instead,of,code,foo,bar,param,name,the,query,parameter,name,param,values,the,query,parameter,values;uri,builder,query,param,string,name,object,values
UriBuilder -> UriBuilder queryParam(String name, Object... values)_;1496837955;Append the given query parameter to the existing query parameters. The_given name or any of the values may contain URI template variables. If no_values are given, the resulting URI will contain the query parameter name_only (i.e. {@code ?foo} instead of {@code ?foo=bar}._@param name the query parameter name_@param values the query parameter values;UriBuilder queryParam(String name, Object... values)_;append,the,given,query,parameter,to,the,existing,query,parameters,the,given,name,or,any,of,the,values,may,contain,uri,template,variables,if,no,values,are,given,the,resulting,uri,will,contain,the,query,parameter,name,only,i,e,code,foo,instead,of,code,foo,bar,param,name,the,query,parameter,name,param,values,the,query,parameter,values;uri,builder,query,param,string,name,object,values
UriBuilder -> UriBuilder queryParam(String name, Object... values)_;1530174524;Append the given query parameter to the existing query parameters. The_given name or any of the values may contain URI template variables. If no_values are given, the resulting URI will contain the query parameter name_only (i.e. {@code ?foo} instead of {@code ?foo=bar}._@param name the query parameter name_@param values the query parameter values;UriBuilder queryParam(String name, Object... values)_;append,the,given,query,parameter,to,the,existing,query,parameters,the,given,name,or,any,of,the,values,may,contain,uri,template,variables,if,no,values,are,given,the,resulting,uri,will,contain,the,query,parameter,name,only,i,e,code,foo,instead,of,code,foo,bar,param,name,the,query,parameter,name,param,values,the,query,parameter,values;uri,builder,query,param,string,name,object,values
UriBuilder -> UriBuilder replaceQueryParam(String name, Object... values)_;1485553611;Set the query parameter values overriding all existing query values for_the same parameter. If no values are given, the query parameter is removed._@param name the query parameter name_@param values the query parameter values;UriBuilder replaceQueryParam(String name, Object... values)_;set,the,query,parameter,values,overriding,all,existing,query,values,for,the,same,parameter,if,no,values,are,given,the,query,parameter,is,removed,param,name,the,query,parameter,name,param,values,the,query,parameter,values;uri,builder,replace,query,param,string,name,object,values
