commented;modifiers;parameterAmount;loc;comment;code
true;;0;1;/**  * Return the entity that makes up this response.  */ ;/**  * Return the entity that makes up this response.  */ T entity().
true;;0;1;/**  * Return the {@code BodyInserter} that writes the entity to the output stream.  */ ;/**  * Return the {@code BodyInserter} that writes the entity to the output stream.  */ BodyInserter<T, ? super ServerHttpResponse> inserter().
true;static;1;3;/**  * Create a builder with the given object.  * @param t the object that represents the body of the response  * @param <T> the type of the elements contained in the publisher  * @return the created builder  */ ;// Static builder methods /**  * Create a builder with the given object.  * @param t the object that represents the body of the response  * @param <T> the type of the elements contained in the publisher  * @return the created builder  */ static <T> Builder<T> fromObject(T t) {     return new DefaultEntityResponseBuilder<>(t, BodyInserters.fromObject(t)). }
true;static;2;4;/**  * Create a builder with the given publisher.  * @param publisher the publisher that represents the body of the response  * @param elementClass the class of elements contained in the publisher  * @param <T> the type of the elements contained in the publisher  * @param <P> the type of the {@code Publisher}  * @return the created builder  */ ;/**  * Create a builder with the given publisher.  * @param publisher the publisher that represents the body of the response  * @param elementClass the class of elements contained in the publisher  * @param <T> the type of the elements contained in the publisher  * @param <P> the type of the {@code Publisher}  * @return the created builder  */ static <T, P extends Publisher<T>> Builder<P> fromPublisher(P publisher, Class<T> elementClass) {     return new DefaultEntityResponseBuilder<>(publisher, BodyInserters.fromPublisher(publisher, elementClass)). }
true;static;2;6;/**  * Create a builder with the given publisher.  * @param publisher the publisher that represents the body of the response  * @param typeReference the type of elements contained in the publisher  * @param <T> the type of the elements contained in the publisher  * @param <P> the type of the {@code Publisher}  * @return the created builder  */ ;/**  * Create a builder with the given publisher.  * @param publisher the publisher that represents the body of the response  * @param typeReference the type of elements contained in the publisher  * @param <T> the type of the elements contained in the publisher  * @param <P> the type of the {@code Publisher}  * @return the created builder  */ static <T, P extends Publisher<T>> Builder<P> fromPublisher(P publisher, ParameterizedTypeReference<T> typeReference) {     return new DefaultEntityResponseBuilder<>(publisher, BodyInserters.fromPublisher(publisher, typeReference)). }
true;;2;1;/**  * Add the given header value(s) under the given name.  * @param headerName   the header name  * @param headerValues the header value(s)  * @return this builder  * @see HttpHeaders#add(String, String)  */ ;/**  * Add the given header value(s) under the given name.  * @param headerName   the header name  * @param headerValues the header value(s)  * @return this builder  * @see HttpHeaders#add(String, String)  */ Builder<T> header(String headerName, String... headerValues).
true;;1;1;/**  * Copy the given headers into the entity's headers map.  * @param headers the existing HttpHeaders to copy from  * @return this builder  * @see HttpHeaders#add(String, String)  */ ;/**  * Copy the given headers into the entity's headers map.  * @param headers the existing HttpHeaders to copy from  * @return this builder  * @see HttpHeaders#add(String, String)  */ Builder<T> headers(HttpHeaders headers).
true;;1;1;/**  * Set the HTTP status.  * @param status the response status  * @return this builder  */ ;/**  * Set the HTTP status.  * @param status the response status  * @return this builder  */ Builder<T> status(HttpStatus status).
true;;1;1;/**  * Set the HTTP status.  * @param status the response status  * @return this builder  * @since 5.0.3  */ ;/**  * Set the HTTP status.  * @param status the response status  * @return this builder  * @since 5.0.3  */ Builder<T> status(int status).
true;;1;1;/**  * Add the given cookie to the response.  * @param cookie the cookie to add  * @return this builder  */ ;/**  * Add the given cookie to the response.  * @param cookie the cookie to add  * @return this builder  */ Builder<T> cookie(ResponseCookie cookie).
