commented;modifiers;parameterAmount;loc;comment;code
true;public;1;3;/**  * Whether to detect handler methods in beans in ancestor ApplicationContexts.  * <p>Default is "false": Only beans in the current ApplicationContext are  * considered, i.e. only in the context that this HandlerMapping itself  * is defined in (typically the current DispatcherServlet's context).  * <p>Switch this flag on to detect handler beans in ancestor contexts  * (typically the Spring root WebApplicationContext) as well.  * @see #getCandidateBeanNames()  */ ;/**  * Whether to detect handler methods in beans in ancestor ApplicationContexts.  * <p>Default is "false": Only beans in the current ApplicationContext are  * considered, i.e. only in the context that this HandlerMapping itself  * is defined in (typically the current DispatcherServlet's context).  * <p>Switch this flag on to detect handler beans in ancestor contexts  * (typically the Spring root WebApplicationContext) as well.  * @see #getCandidateBeanNames()  */ public void setDetectHandlerMethodsInAncestorContexts(boolean detectHandlerMethodsInAncestorContexts) {     this.detectHandlerMethodsInAncestorContexts = detectHandlerMethodsInAncestorContexts. }
true;public;1;3;/**  * Configure the naming strategy to use for assigning a default name to every  * mapped handler method.  * <p>The default naming strategy is based on the capital letters of the  * class name followed by "#" and then the method name, e.g. "TC#getFoo"  * for a class named TestController with method getFoo.  */ ;/**  * Configure the naming strategy to use for assigning a default name to every  * mapped handler method.  * <p>The default naming strategy is based on the capital letters of the  * class name followed by "#" and then the method name, e.g. "TC#getFoo"  * for a class named TestController with method getFoo.  */ public void setHandlerMethodMappingNamingStrategy(HandlerMethodMappingNamingStrategy<T> namingStrategy) {     this.namingStrategy = namingStrategy. }
true;public;0;4;/**  * Return the configured naming strategy or {@code null}.  */ ;/**  * Return the configured naming strategy or {@code null}.  */ @Nullable public HandlerMethodMappingNamingStrategy<T> getNamingStrategy() {     return this.namingStrategy. }
true;public;0;9;/**  * Return a (read-only) map with all mappings and HandlerMethod's.  */ ;/**  * Return a (read-only) map with all mappings and HandlerMethod's.  */ public Map<T, HandlerMethod> getHandlerMethods() {     this.mappingRegistry.acquireReadLock().     try {         return Collections.unmodifiableMap(this.mappingRegistry.getMappings()).     } finally {         this.mappingRegistry.releaseReadLock().     } }
true;public;1;4;/**  * Return the handler methods for the given mapping name.  * @param mappingName the mapping name  * @return a list of matching HandlerMethod's or {@code null}. the returned  * list will never be modified and is safe to iterate.  * @see #setHandlerMethodMappingNamingStrategy  */ ;/**  * Return the handler methods for the given mapping name.  * @param mappingName the mapping name  * @return a list of matching HandlerMethod's or {@code null}. the returned  * list will never be modified and is safe to iterate.  * @see #setHandlerMethodMappingNamingStrategy  */ @Nullable public List<HandlerMethod> getHandlerMethodsForMappingName(String mappingName) {     return this.mappingRegistry.getHandlerMethodsByMappingName(mappingName). }
true;;0;3;/**  * Return the internal mapping registry. Provided for testing purposes.  */ ;/**  * Return the internal mapping registry. Provided for testing purposes.  */ MappingRegistry getMappingRegistry() {     return this.mappingRegistry. }
true;public;3;6;/**  * Register the given mapping.  * <p>This method may be invoked at runtime after initialization has completed.  * @param mapping the mapping for the handler method  * @param handler the handler  * @param method the method  */ ;/**  * Register the given mapping.  * <p>This method may be invoked at runtime after initialization has completed.  * @param mapping the mapping for the handler method  * @param handler the handler  * @param method the method  */ public void registerMapping(T mapping, Object handler, Method method) {     if (logger.isTraceEnabled()) {         logger.trace("Register \"" + mapping + "\" to " + method.toGenericString()).     }     this.mappingRegistry.register(mapping, handler, method). }
true;public;1;6;/**  * Un-register the given mapping.  * <p>This method may be invoked at runtime after initialization has completed.  * @param mapping the mapping to unregister  */ ;/**  * Un-register the given mapping.  * <p>This method may be invoked at runtime after initialization has completed.  * @param mapping the mapping to unregister  */ public void unregisterMapping(T mapping) {     if (logger.isTraceEnabled()) {         logger.trace("Unregister mapping \"" + mapping + "\"").     }     this.mappingRegistry.unregister(mapping). }
true;public;0;4;/**  * Detects handler methods at initialization.  * @see #initHandlerMethods  */ ;// Handler method detection /**  * Detects handler methods at initialization.  * @see #initHandlerMethods  */ @Override public void afterPropertiesSet() {     initHandlerMethods(). }
true;protected;0;8;/**  * Scan beans in the ApplicationContext, detect and register handler methods.  * @see #getCandidateBeanNames()  * @see #processCandidateBean  * @see #handlerMethodsInitialized  */ ;/**  * Scan beans in the ApplicationContext, detect and register handler methods.  * @see #getCandidateBeanNames()  * @see #processCandidateBean  * @see #handlerMethodsInitialized  */ protected void initHandlerMethods() {     for (String beanName : getCandidateBeanNames()) {         if (!beanName.startsWith(SCOPED_TARGET_NAME_PREFIX)) {             processCandidateBean(beanName).         }     }     handlerMethodsInitialized(getHandlerMethods()). }
true;protected;0;5;/**  * Determine the names of candidate beans in the application context.  * @since 5.1  * @see #setDetectHandlerMethodsInAncestorContexts  * @see BeanFactoryUtils#beanNamesForTypeIncludingAncestors  */ ;/**  * Determine the names of candidate beans in the application context.  * @since 5.1  * @see #setDetectHandlerMethodsInAncestorContexts  * @see BeanFactoryUtils#beanNamesForTypeIncludingAncestors  */ protected String[] getCandidateBeanNames() {     return (this.detectHandlerMethodsInAncestorContexts ? BeanFactoryUtils.beanNamesForTypeIncludingAncestors(obtainApplicationContext(), Object.class) : obtainApplicationContext().getBeanNamesForType(Object.class)). }
true;protected;1;15;/**  * Determine the type of the specified candidate bean and call  * {@link #detectHandlerMethods} if identified as a handler type.  * <p>This implementation avoids bean creation through checking  * {@link org.springframework.beans.factory.BeanFactory#getType}  * and calling {@link #detectHandlerMethods} with the bean name.  * @param beanName the name of the candidate bean  * @since 5.1  * @see #isHandler  * @see #detectHandlerMethods  */ ;/**  * Determine the type of the specified candidate bean and call  * {@link #detectHandlerMethods} if identified as a handler type.  * <p>This implementation avoids bean creation through checking  * {@link org.springframework.beans.factory.BeanFactory#getType}  * and calling {@link #detectHandlerMethods} with the bean name.  * @param beanName the name of the candidate bean  * @since 5.1  * @see #isHandler  * @see #detectHandlerMethods  */ protected void processCandidateBean(String beanName) {     Class<?> beanType = null.     try {         beanType = obtainApplicationContext().getType(beanName).     } catch (Throwable ex) {         // An unresolvable bean type, probably from a lazy bean - let's ignore it.         if (logger.isTraceEnabled()) {             logger.trace("Could not resolve type for bean '" + beanName + "'", ex).         }     }     if (beanType != null && isHandler(beanType)) {         detectHandlerMethods(beanName).     } }
true;protected;1;25;/**  * Look for handler methods in the specified handler bean.  * @param handler either a bean name or an actual handler instance  * @see #getMappingForMethod  */ ;/**  * Look for handler methods in the specified handler bean.  * @param handler either a bean name or an actual handler instance  * @see #getMappingForMethod  */ protected void detectHandlerMethods(Object handler) {     Class<?> handlerType = (handler instanceof String ? obtainApplicationContext().getType((String) handler) : handler.getClass()).     if (handlerType != null) {         Class<?> userType = ClassUtils.getUserClass(handlerType).         Map<Method, T> methods = MethodIntrospector.selectMethods(userType, (MethodIntrospector.MetadataLookup<T>) method -> {             try {                 return getMappingForMethod(method, userType).             } catch (Throwable ex) {                 throw new IllegalStateException("Invalid mapping on handler class [" + userType.getName() + "]: " + method, ex).             }         }).         if (logger.isTraceEnabled()) {             logger.trace(formatMappings(userType, methods)).         }         methods.forEach((method, mapping) -> {             Method invocableMethod = AopUtils.selectInvocableMethod(method, userType).             registerHandlerMethod(handler, invocableMethod, mapping).         }).     } }
false;private;2;14;;private String formatMappings(Class<?> userType, Map<Method, T> methods) {     String formattedType = Arrays.stream(ClassUtils.getPackageName(userType).split("\\.")).map(p -> p.substring(0, 1)).collect(Collectors.joining(".", "", "." + userType.getSimpleName())).     Function<Method, String> methodFormatter = method -> Arrays.stream(method.getParameterTypes()).map(Class::getSimpleName).collect(Collectors.joining(",", "(", ")")).     return methods.entrySet().stream().map(e -> {         Method method = e.getKey().         return e.getValue() + ": " + method.getName() + methodFormatter.apply(method).     }).collect(Collectors.joining("\n\t", "\n\t" + formattedType + ":" + "\n\t", "")). }
